Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,70.1,64.4,360551,331605,28946,8.0
2010,Feb,70.1,64.4,360671,331758,28913,8.0
2010,Mar,70.1,64.5,360805,331968,28837,8.0
2010,Apr,70.0,64.4,360965,332248,28717,8.0
2010,May,69.9,64.4,361150,332605,28545,7.9
2010,Jun,69.8,64.3,361348,333011,28337,7.8
2010,Jul,69.7,64.3,361603,333436,28167,7.8
2010,Aug,69.6,64.2,361986,333880,28106,7.8
2010,Sep,69.6,64.2,362510,334353,28157,7.8
2010,Oct,69.6,64.2,363144,334876,28268,7.8
2010,Nov,69.6,64.2,363800,335426,28374,7.8
2010,Dec,69.6,64.2,364371,335950,28421,7.8
2011,Jan,69.6,64.2,364782,336406,28376,7.8
2011,Feb,69.5,64.2,365003,336768,28235,7.7
2011,Mar,69.4,64.1,365077,337045,28032,7.7
2011,Apr,69.3,64.1,365121,337303,27818,7.6
2011,May,69.3,64.0,365247,337610,27637,7.6
2011,Jun,69.2,64.0,365500,337993,27507,7.5
2011,Jul,69.1,64.0,365887,338432,27455,7.5
2011,Aug,69.1,64.0,366325,338848,27477,7.5
2011,Sep,69.1,64.0,366676,339160,27516,7.5
2011,Oct,69.1,63.9,366859,339342,27517,7.5
2011,Nov,69.0,63.9,366844,339398,27446,7.5
2011,Dec,68.9,63.8,366674,339373,27301,7.4
2012,Jan,68.8,63.7,366425,339328,27097,7.4
2012,Feb,68.7,63.7,366158,339301,26857,7.3
2012,Mar,68.6,63.6,365907,339291,26616,7.3
2012,Apr,68.5,63.6,365649,339247,26402,7.2
2012,May,68.4,63.5,365425,339189,26236,7.2
2012,Jun,68.3,63.4,365279,339191,26088,7.1
2012,Jul,68.2,63.4,365206,339296,25910,7.1
2012,Aug,68.2,63.4,365197,339480,25717,7.0
2012,Sep,68.2,63.4,365256,339678,25578,7.0
2012,Oct,68.2,63.4,365327,339822,25505,7.0
2012,Nov,68.1,63.4,365360,339883,25477,7.0
2012,Dec,68.1,63.3,365333,339858,25475,7.0
2013,Jan,68.0,63.3,365252,339758,25494,7.0
2013,Feb,68.0,63.2,365142,339624,25518,7.0
2013,Mar,67.9,63.2,365061,339539,25522,7.0
2013,Apr,67.9,63.2,365073,339583,25490,7.0
2013,May,67.9,63.2,365154,339715,25439,7.0
2013,Jun,67.9,63.2,365262,339843,25419,7.0
2013,Jul,67.9,63.1,365373,339939,25434,7.0
2013,Aug,67.8,63.1,365454,340011,25443,7.0
2013,Sep,67.8,63.1,365511,340073,25438,7.0
2013,Oct,67.8,63.1,365552,340102,25450,7.0
2013,Nov,67.8,63.1,365597,340104,25493,7.0
2013,Dec,67.8,63.1,365674,340129,25545,7.0
2014,Jan,67.8,63.1,365570,340015,25555,7.0
2014,Feb,67.9,63.1,365748,340179,25569,7.0
2014,Mar,67.9,63.1,365935,340355,25580,7.0
2014,Apr,67.9,63.1,366066,340463,25603,7.0
2014,May,67.9,63.1,366094,340486,25608,7.0
2014,Jun,67.8,63.1,365994,340451,25543,7.0
2014,Jul,67.8,63.1,365747,340360,25387,6.9
2014,Aug,67.7,63.0,365398,340264,25134,6.9
2014,Sep,67.6,63.0,365010,340227,24783,6.8
2014,Oct,67.5,62.9,364676,340294,24382,6.7
2014,Nov,67.4,63.0,364432,340430,24002,6.6
2014,Dec,67.4,63.0,364273,340562,23711,6.5
2015,Jan,67.3,63.0,364114,340583,23531,6.5
2015,Feb,67.3,62.9,364029,340541,23488,6.5
2015,Mar,67.3,62.9,363930,340425,23505,6.5
2015,Apr,67.2,62.9,363786,340270,23516,6.5
2015,May,67.2,62.8,363598,340103,23495,6.5
2015,Jun,67.1,62.7,363384,339916,23468,6.5
2015,Jul,67.0,62.7,363167,339696,23471,6.5
2015,Aug,66.9,62.6,362957,339431,23526,6.5
2015,Sep,66.8,62.5,362746,339113,23633,6.5
2015,Oct,66.8,62.4,362542,338763,23779,6.6
2015,Nov,66.7,62.3,362386,338440,23946,6.6
2015,Dec,66.7,62.2,362323,338198,24125,6.7
2016,Jan,66.5,62.1,362326,338026,24300,6.7
2016,Feb,66.5,62.0,362337,337879,24458,6.8
2016,Mar,66.5,62.0,362317,337721,24596,6.8
2016,Apr,66.4,61.9,362235,337520,24715,6.8
2016,May,66.4,61.8,362074,337261,24813,6.9
2016,Jun,66.3,61.7,361847,336972,24875,6.9
2016,Jul,66.2,61.6,361613,336707,24906,6.9
2016,Aug,66.1,61.6,361426,336495,24931,6.9
2016,Sep,66.1,61.5,361330,336361,24969,6.9
2016,Oct,66.1,61.5,361322,336309,25013,6.9
2016,Nov,66.1,61.5,361337,336280,25057,6.9
2016,Dec,66.1,61.5,361295,336208,25087,6.9
2017,Jan,66.1,61.5,361184,336091,25093,6.9
2017,Feb,66.0,61.4,360999,335923,25076,6.9
2017,Mar,66.0,61.4,360734,335685,25049,6.9
2017,Apr,65.9,61.4,360424,335404,25020,6.9
2017,May,65.9,61.3,360108,335115,24993,6.9
2017,Jun,65.8,61.2,359773,334812,24961,6.9
2017,Jul,65.8,61.2,359397,334477,24920,6.9
2017,Aug,65.7,61.1,358955,334099,24856,6.9
2017,Sep,65.6,61.0,358433,333676,24757,6.9
2017,Oct,65.5,61.0,357834,333225,24609,6.9
2017,Nov,65.3,60.9,357182,332767,24415,6.8
2017,Dec,65.2,60.8,356505,332314,24191,6.8
2018,Jan,65.1,60.7,355829,331874,23955,6.7
2018,Feb,65.0,60.7,355178,331455,23723,6.7
2018,Mar,64.9,60.6,354566,331070,23496,6.6
2018,Apr,64.8,60.6,353961,330684,23277,6.6
2018,May,64.7,60.5,353358,330286,23072,6.5
2018,Jun,64.6,60.4,352793,329915,22878,6.5
2018,Jul,64.5,60.4,352275,329595,22680,6.4
2018,Aug,64.4,60.3,351779,329316,22463,6.4
2018,Sep,64.4,60.3,351291,329057,22234,6.3
2018,Oct,64.3,60.2,350796,328786,22010,6.3
2018,Nov,64.2,60.2,350301,328499,21802,6.2
