Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,62.4,55.6,3114963,2775542,339421,10.9
2010,Feb,62.3,55.6,3114578,2777742,336836,10.8
2010,Mar,62.2,55.5,3112379,2779363,333016,10.7
2010,Apr,64.2,57.4,3107972,2779450,328522,10.6
2010,May,64.0,57.4,3101692,2778096,323596,10.4
2010,Jun,63.8,57.2,3094080,2775146,318934,10.3
2010,Jul,63.6,57.1,3086291,2770957,315334,10.2
2010,Aug,63.3,56.9,3079408,2766497,312911,10.2
2010,Sep,63.1,56.7,3073232,2762089,311143,10.1
2010,Oct,62.9,56.6,3067756,2758460,309296,10.1
2010,Nov,62.7,56.5,3062664,2755692,306972,10.0
2010,Dec,62.6,56.3,3057057,2753511,303546,9.9
2011,Jan,62.4,56.2,3051635,2751937,299698,9.8
2011,Feb,62.2,56.2,3047219,2750390,296829,9.7
2011,Mar,62.1,56.0,3043638,2748304,295334,9.7
2011,Apr,61.9,55.9,3040387,2745380,295007,9.7
2011,May,61.8,55.8,3037670,2742239,295431,9.7
2011,Jun,61.7,55.7,3035585,2740189,295396,9.7
2011,Jul,61.6,55.6,3034074,2740390,293684,9.7
2011,Aug,61.5,55.6,3032960,2742980,289980,9.6
2011,Sep,61.4,55.6,3032042,2747441,284601,9.4
2011,Oct,61.2,55.6,3031234,2752767,278467,9.2
2011,Nov,61.1,55.6,3030271,2757700,272571,9.0
2011,Dec,61.0,55.6,3029294,2761310,267984,8.8
2012,Jan,60.9,55.6,3028300,2763459,264841,8.7
2012,Feb,60.8,55.6,3027474,2764958,262516,8.7
2012,Mar,60.8,55.5,3027314,2766197,261117,8.6
2012,Apr,60.7,55.5,3027619,2767531,260088,8.6
2012,May,60.6,55.5,3028537,2769954,258583,8.5
2012,Jun,60.6,55.5,3029753,2773665,256088,8.5
2012,Jul,60.5,55.5,3030883,2778294,252589,8.3
2012,Aug,60.4,55.5,3031732,2783077,248655,8.2
2012,Sep,60.4,55.5,3032171,2787112,245059,8.1
2012,Oct,60.3,55.5,3031497,2789222,242275,8.0
2012,Nov,60.2,55.4,3029541,2788907,240634,7.9
2012,Dec,60.0,55.3,3026754,2786776,239978,7.9
2013,Jan,59.9,55.1,3023927,2783920,240007,7.9
2013,Feb,59.8,55.0,3021932,2781860,240072,7.9
2013,Mar,59.7,55.0,3021364,2781934,239430,7.9
2013,Apr,59.7,55.0,3023002,2784799,238203,7.9
2013,May,59.7,55.0,3025925,2788992,236933,7.8
2013,Jun,59.6,55.0,3028952,2792987,235965,7.8
2013,Jul,59.6,55.0,3031474,2796196,235278,7.8
2013,Aug,59.5,54.9,3032939,2798714,234225,7.7
2013,Sep,59.5,54.9,3033776,2801365,232411,7.7
2013,Oct,59.4,54.9,3035645,2805357,230288,7.6
2013,Nov,59.4,54.9,3039532,2811745,227787,7.5
2013,Dec,59.4,55.0,3045046,2820238,224808,7.4
2014,Jan,59.6,55.3,3061071,2839124,221947,7.3
2014,Feb,59.7,55.4,3067752,2849262,218490,7.1
2014,Mar,59.7,55.5,3074365,2858757,215608,7.0
2014,Apr,59.7,55.6,3080183,2866830,213353,6.9
2014,May,59.8,55.7,3085658,2874193,211465,6.9
2014,Jun,59.8,55.7,3092241,2882391,209850,6.8
2014,Jul,59.9,55.8,3100204,2891629,208575,6.7
2014,Aug,59.9,55.9,3109663,2901898,207765,6.7
2014,Sep,60.0,56.0,3119950,2912684,207266,6.6
2014,Oct,60.1,56.1,3129213,2922866,206347,6.6
2014,Nov,60.1,56.2,3136103,2931335,204768,6.5
2014,Dec,60.2,56.3,3141171,2938249,202922,6.5
2015,Jan,60.1,56.3,3143258,2941919,201339,6.4
2015,Feb,60.1,56.3,3146265,2947133,199132,6.3
2015,Mar,60.1,56.3,3149585,2952598,196987,6.3
2015,Apr,60.1,56.3,3153768,2958757,195011,6.2
2015,May,60.1,56.4,3158359,2965010,193349,6.1
2015,Jun,60.0,56.4,3162466,2970438,192028,6.1
2015,Jul,60.0,56.4,3165937,2974937,191000,6.0
2015,Aug,60.0,56.4,3169022,2979030,189992,6.0
2015,Sep,59.9,56.3,3172263,2983737,188526,5.9
2015,Oct,59.9,56.4,3176917,2990409,186508,5.9
2015,Nov,59.9,56.4,3183491,2999291,184200,5.8
2015,Dec,59.9,56.5,3191279,3009518,181761,5.7
2016,Jan,60.0,56.6,3199470,3019993,179477,5.6
2016,Feb,60.1,56.7,3207431,3029724,177707,5.5
2016,Mar,60.1,56.8,3214545,3038110,176435,5.5
2016,Apr,60.1,56.8,3220718,3045127,175591,5.5
2016,May,60.1,56.8,3226583,3051523,175060,5.4
2016,Jun,60.1,56.9,3232574,3058027,174547,5.4
2016,Jul,60.1,56.9,3238891,3065170,173721,5.4
2016,Aug,60.2,57.0,3245590,3072955,172635,5.3
2016,Sep,60.2,57.0,3252657,3081010,171647,5.3
2016,Oct,60.2,57.1,3259740,3088914,170826,5.2
2016,Nov,60.2,57.1,3266978,3097002,169976,5.2
2016,Dec,60.3,57.2,3274591,3105519,169072,5.2
2017,Jan,60.3,57.2,3282429,3114283,168146,5.1
2017,Feb,60.4,57.3,3290284,3123321,166963,5.1
2017,Mar,60.4,57.4,3297732,3132221,165511,5.0
2017,Apr,60.5,57.5,3305044,3141191,163853,5.0
2017,May,60.5,57.6,3312332,3150385,161947,4.9
2017,Jun,60.6,57.6,3319371,3159326,160045,4.8
2017,Jul,60.6,57.7,3326257,3167678,158579,4.8
2017,Aug,60.6,57.7,3332708,3174978,157730,4.7
2017,Sep,60.6,57.7,3338749,3181220,157529,4.7
2017,Oct,60.6,57.7,3344829,3186910,157919,4.7
2017,Nov,60.6,57.7,3351184,3192358,158826,4.7
2017,Dec,60.6,57.7,3358236,3198442,159794,4.8
2018,Jan,60.7,57.8,3366486,3205948,160538,4.8
2018,Feb,60.8,57.9,3376106,3215169,160937,4.8
2018,Mar,60.9,58.0,3386426,3225595,160831,4.7
2018,Apr,60.9,58.1,3396135,3235878,160257,4.7
2018,May,61.0,58.1,3404930,3245296,159634,4.7
2018,Jun,61.1,58.2,3413715,3254394,159321,4.7
2018,Jul,61.1,58.3,3423234,3263708,159526,4.7
2018,Aug,61.2,58.3,3434389,3273765,160624,4.7
2018,Sep,61.3,58.4,3447202,3284637,162565,4.7
2018,Oct,61.4,58.5,3460835,3295879,164956,4.8
2018,Nov,61.6,58.6,3474104,3306870,167234,4.8
2018,Dec,61.7,58.7,3485584,3316612,168972,4.8
2019,Jan,61.7,58.7,3494658,3324691,169967,4.9
2019,Feb,61.8,58.8,3501692,3331523,170169,4.9
2019,Mar,61.8,58.8,3508284,3338340,169944,4.8
2019,Apr,61.8,58.8,3516267,3346809,169458,4.8
2019,May,61.9,58.9,3526522,3357716,168806,4.8
2019,Jun,62.0,59.1,3539197,3371074,168123,4.8
2019,Jul,62.2,59.3,3555243,3388011,167232,4.7
2019,Aug,62.4,59.5,3571555,3405655,165900,4.6
2019,Sep,62.5,59.6,3585858,3421432,164426,4.6
2019,Oct,62.5,59.7,3595710,3432393,163317,4.5
2019,Nov,62.5,59.6,3596303,3433191,163112,4.5
2019,Dec,62.3,59.5,3594630,3431327,163303,4.5
2020,Jan,62.4,59.6,3604805,3442732,162073,4.5
2020,Feb,62.4,59.6,3613043,3451805,161238,4.5
2020,Mar,61.7,58.0,3578637,3359486,219151,6.1
2020,Apr,61.0,52.9,3543717,3069951,473766,13.4
2020,May,61.1,55.6,3552457,3233472,318985,9.0
2020,Jun,60.2,54.2,3509620,3158464,351156,10.0
2020,Jul,61.1,54.6,3565784,3185553,380231,10.7
2020,Aug,58.5(P),55.0(P),3420111(P),3217662(P),202449(P),5.9(P)
