Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,64.7,56.8,18214520,15997913,2216607,12.2
2010,Feb,64.8,56.9,18262083,16028580,2233503,12.2
2010,Mar,64.9,57.0,18304098,16061366,2242732,12.3
2010,Apr,64.2,56.4,18335653,16090440,2245213,12.2
2010,May,64.3,56.4,18353688,16112833,2240855,12.2
2010,Jun,64.2,56.4,18358525,16124135,2234390,12.2
2010,Jul,64.1,56.3,18356993,16123990,2233003,12.2
2010,Aug,64.1,56.3,18356485,16117692,2238793,12.2
2010,Sep,64.0,56.2,18358124,16110216,2247908,12.2
2010,Oct,63.9,56.1,18362121,16108305,2253816,12.3
2010,Nov,63.9,56.1,18365212,16114079,2251133,12.3
2010,Dec,63.8,56.0,18364493,16125892,2238601,12.2
2011,Jan,63.7,56.0,18363014,16142515,2220499,12.1
2011,Feb,63.7,56.1,18362012,16160153,2201859,12.0
2011,Mar,63.6,56.1,18360392,16174823,2185569,11.9
2011,Apr,63.6,56.0,18360297,16185015,2175282,11.8
2011,May,63.5,56.0,18367442,16194332,2173110,11.8
2011,Jun,63.5,56.0,18383605,16209240,2174365,11.8
2011,Jul,63.5,56.0,18407886,16235500,2172386,11.8
2011,Aug,63.6,56.1,18436089,16272656,2163433,11.7
2011,Sep,63.6,56.2,18461927,16316061,2145866,11.6
2011,Oct,63.6,56.3,18481109,16359672,2121437,11.5
2011,Nov,63.6,56.4,18489447,16396794,2092653,11.3
2011,Dec,63.5,56.4,18486653,16423914,2062739,11.2
2012,Jan,63.4,56.4,18478244,16442867,2035377,11.0
2012,Feb,63.3,56.4,18472694,16459497,2013197,10.9
2012,Mar,63.3,56.4,18474388,16476663,1997725,10.8
2012,Apr,63.2,56.4,18480818,16496074,1984744,10.7
2012,May,63.2,56.5,18491774,16522575,1969199,10.6
2012,Jun,63.2,56.5,18506306,16558495,1947811,10.5
2012,Jul,63.2,56.6,18522031,16602505,1919526,10.4
2012,Aug,63.2,56.7,18540096,16651465,1888631,10.2
2012,Sep,63.2,56.9,18563262,16702042,1861220,10.0
2012,Oct,63.2,57.0,18586398,16748317,1838081,9.9
2012,Nov,63.2,57.0,18605146,16786723,1818423,9.8
2012,Dec,63.2,57.1,18616736,16817255,1799481,9.7
2013,Jan,63.1,57.1,18615393,16835906,1779487,9.6
2013,Feb,63.1,57.1,18614456,16856557,1757899,9.4
2013,Mar,63.0,57.1,18614695,16880238,1734457,9.3
2013,Apr,63.0,57.2,18622241,16910983,1711258,9.2
2013,May,63.0,57.3,18634480,16942752,1691728,9.1
2013,Jun,63.0,57.3,18645876,16968882,1676994,9.0
2013,Jul,62.9,57.3,18652081,16987525,1664556,8.9
2013,Aug,62.8,57.3,18647231,17000090,1647141,8.8
2013,Sep,62.7,57.3,18632088,17010624,1621464,8.7
2013,Oct,62.6,57.2,18617976,17024977,1592999,8.6
2013,Nov,62.5,57.3,18614669,17048438,1566231,8.4
2013,Dec,62.5,57.3,18623953,17081350,1542603,8.3
2014,Jan,62.4,57.3,18603550,17086089,1517461,8.2
2014,Feb,62.4,57.4,18625521,17131337,1494184,8.0
2014,Mar,62.4,57.5,18646753,17175024,1471729,7.9
2014,Apr,62.4,57.6,18663311,17212512,1450799,7.8
2014,May,62.4,57.6,18676518,17246970,1429548,7.7
2014,Jun,62.4,57.7,18693090,17284748,1408342,7.5
2014,Jul,62.4,57.8,18714593,17325669,1388924,7.4
2014,Aug,62.4,57.9,18742319,17369725,1372594,7.3
2014,Sep,62.5,58.0,18773334,17415533,1357801,7.2
2014,Oct,62.5,58.0,18799130,17459211,1339919,7.1
2014,Nov,62.5,58.1,18813677,17496448,1317229,7.0
2014,Dec,62.5,58.2,18821145,17527359,1293786,6.9
2015,Jan,62.3,58.1,18805090,17534265,1270825,6.8
2015,Feb,62.3,58.2,18810534,17557274,1253260,6.7
2015,Mar,62.3,58.2,18818567,17581698,1236869,6.6
2015,Apr,62.3,58.2,18827074,17608247,1218827,6.5
2015,May,62.2,58.3,18831346,17633523,1197823,6.4
2015,Jun,62.2,58.3,18827709,17653880,1173829,6.2
2015,Jul,62.1,58.3,18820107,17670644,1149463,6.1
2015,Aug,62.0,58.3,18814621,17686845,1127776,6.0
2015,Sep,62.0,58.3,18815869,17706715,1109154,5.9
2015,Oct,62.0,58.4,18830096,17735420,1094676,5.8
2015,Nov,62.0,58.4,18858558,17773316,1085242,5.8
2015,Dec,62.1,58.5,18893485,17815446,1078039,5.7
2016,Jan,62.1,58.6,18926070,17855481,1070589,5.7
2016,Feb,62.2,58.7,18952145,17888925,1063220,5.6
2016,Mar,62.2,58.7,18970327,17914453,1055874,5.6
2016,Apr,62.2,58.7,18984487,17934428,1050059,5.5
2016,May,62.2,58.8,19000500,17953279,1047221,5.5
2016,Jun,62.2,58.8,19019232,17973079,1046153,5.5
2016,Jul,62.2,58.8,19038379,17994046,1044333,5.5
2016,Aug,62.2,58.8,19055895,18014599,1041296,5.5
2016,Sep,62.2,58.8,19070713,18032659,1038054,5.4
2016,Oct,62.2,58.8,19080636,18047896,1032740,5.4
2016,Nov,62.2,58.9,19087209,18064320,1022889,5.4
2016,Dec,62.2,58.9,19094492,18085431,1009061,5.3
2017,Jan,62.2,58.9,19105316,18112068,993248,5.2
2017,Feb,62.2,59.0,19119415,18143174,976241,5.1
2017,Mar,62.2,59.1,19134439,18173987,960452,5.0
