Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,61.9,55.0,9087605,8063166,1024439,11.3
2010,Feb,62.1,55.2,9121821,8097244,1024577,11.2
2010,Mar,62.3,55.4,9153821,8133092,1020729,11.2
2010,Apr,61.4,54.6,9181288,8165997,1015291,11.1
2010,May,61.5,54.7,9203212,8193577,1009635,11.0
2010,Jun,61.5,54.8,9219282,8212566,1006716,10.9
2010,Jul,61.5,54.8,9232148,8223052,1009096,10.9
2010,Aug,61.5,54.8,9244915,8229564,1015351,11.0
2010,Sep,61.5,54.7,9256982,8235424,1021558,11.0
2010,Oct,61.5,54.7,9268067,8244529,1023538,11.0
2010,Nov,61.5,54.8,9276191,8257764,1018427,11.0
2010,Dec,61.5,54.8,9280528,8273961,1006567,10.8
2011,Jan,61.4,54.9,9283526,8292155,991371,10.7
2011,Feb,61.4,54.9,9285256,8308758,976498,10.5
2011,Mar,61.3,54.9,9284110,8320238,963872,10.4
2011,Apr,61.2,54.9,9280607,8325905,954702,10.3
2011,May,61.1,54.9,9278592,8329364,949228,10.2
2011,Jun,61.1,54.9,9280695,8336498,944197,10.2
2011,Jul,61.1,54.9,9288470,8352288,936182,10.1
2011,Aug,61.1,55.0,9300806,8376656,924150,9.9
2011,Sep,61.1,55.1,9314616,8406567,908049,9.7
2011,Oct,61.1,55.2,9326979,8437925,889054,9.5
2011,Nov,61.0,55.4,9334508,8465438,869070,9.3
2011,Dec,61.0,55.4,9336389,8486105,850284,9.1
2012,Jan,60.9,55.4,9335794,8501196,834598,8.9
2012,Feb,60.8,55.5,9337939,8514717,823222,8.8
2012,Mar,60.8,55.5,9343664,8527026,816638,8.7
2012,Apr,60.8,55.5,9351008,8537711,813297,8.7
2012,May,60.8,55.5,9360799,8550238,810561,8.7
2012,Jun,60.8,55.6,9373314,8567330,805984,8.6
2012,Jul,60.8,55.6,9387003,8589132,797871,8.5
2012,Aug,60.8,55.7,9401895,8614461,787434,8.4
2012,Sep,60.8,55.8,9418399,8640972,777427,8.3
2012,Oct,60.8,55.9,9432438,8663920,768518,8.1
2012,Nov,60.8,55.9,9441024,8680395,760629,8.1
2012,Dec,60.7,55.9,9443197,8690289,752908,8.0
2013,Jan,60.6,55.8,9432835,8691192,741643,7.9
2013,Feb,60.5,55.8,9428334,8696035,732299,7.8
2013,Mar,60.5,55.8,9428809,8707601,721208,7.6
2013,Apr,60.5,55.9,9438181,8729119,709062,7.5
2013,May,60.5,56.0,9451917,8754618,697299,7.4
2013,Jun,60.5,56.1,9464347,8777249,687098,7.3
2013,Jul,60.4,56.1,9471902,8793877,678025,7.2
2013,Aug,60.4,56.1,9472085,8804454,667631,7.0
2013,Sep,60.2,56.1,9467499,8812072,655427,6.9
2013,Oct,60.1,56.0,9466257,8821673,644584,6.8
2013,Nov,60.1,56.0,9474475,8837186,637289,6.7
2013,Dec,60.1,56.1,9492133,8858395,633738,6.7
2014,Jan,60.1,56.1,9507295,8876713,630582,6.6
2014,Feb,60.2,56.2,9530587,8901874,628713,6.6
2014,Mar,60.2,56.3,9548725,8922770,625955,6.6
2014,Apr,60.2,56.3,9558358,8937039,621319,6.5
2014,May,60.1,56.3,9562152,8947972,614180,6.4
2014,Jun,60.1,56.3,9566095,8960512,605583,6.3
2014,Jul,60.0,56.3,9572055,8974837,597218,6.2
2014,Aug,60.0,56.3,9581024,8990701,590323,6.2
2014,Sep,59.9,56.3,9590936,9006338,584598,6.1
2014,Oct,59.9,56.3,9596758,9018580,578178,6.0
2014,Nov,59.7,56.2,9595288,9025213,570075,5.9
2014,Dec,59.6,56.1,9589346,9027644,561702,5.9
2015,Jan,59.4,56.0,9569905,9016407,553498,5.8
2015,Feb,59.3,55.9,9565203,9017363,547840,5.7
2015,Mar,59.2,55.8,9565556,9022257,543299,5.7
2015,Apr,59.1,55.8,9570756,9032096,538660,5.6
2015,May,59.1,55.8,9577677,9044418,533259,5.6
2015,Jun,59.0,55.8,9583120,9056301,526819,5.5
2015,Jul,58.9,55.8,9587977,9067857,520120,5.4
2015,Aug,58.9,55.7,9594182,9080367,513815,5.4
2015,Sep,58.8,55.7,9603770,9096410,507360,5.3
2015,Oct,58.8,55.7,9620273,9119357,500916,5.2
2015,Nov,58.8,55.8,9643903,9148790,495113,5.1
2015,Dec,58.9,55.9,9669925,9180636,489289,5.1
2016,Jan,58.9,56.0,9693636,9210489,483147,5.0
2016,Feb,58.9,56.1,9712896,9235561,477335,4.9
2016,Mar,58.9,56.1,9727593,9255436,472157,4.9
2016,Apr,58.9,56.1,9740951,9272309,468642,4.8
2016,May,58.9,56.1,9757831,9290270,467561,4.8
2016,Jun,58.9,56.1,9780140,9311839,468301,4.8
2016,Jul,59.0,56.2,9807134,9337571,469563,4.8
2016,Aug,59.1,56.3,9836968,9366121,470847,4.8
2016,Sep,59.2,56.3,9867303,9395114,472189,4.8
2016,Oct,59.2,56.4,9895233,9423034,472199,4.8
2016,Nov,59.3,56.5,9921043,9451798,469245,4.7
2016,Dec,59.3,56.6,9946734,9483247,463487,4.7
2017,Jan,59.4,56.7,9973240,9517115,456125,4.6
2017,Feb,59.5,56.8,10000028,9552058,447970,4.5
2017,Mar,59.5,56.9,10024862,9584532,440330,4.4
2017,Apr,59.6,57.0,10046850,9613039,433811,4.3
2017,May,59.6,57.1,10064912,9636809,428103,4.3
2017,Jun,59.6,57.1,10078216,9654802,423414,4.2
