Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,65.7,59.7,760445,690531,69914,9.2
2010,Feb,65.7,59.7,761252,691539,69713,9.2
2010,Mar,65.7,59.7,761819,692372,69447,9.1
2010,Apr,65.5,59.6,762064,692947,69117,9.1
2010,May,65.4,59.5,761960,693237,68723,9.0
2010,Jun,65.4,59.5,761585,693255,68330,9.0
2010,Jul,65.2,59.4,761044,693097,67947,8.9
2010,Aug,65.1,59.3,760533,692962,67571,8.9
2010,Sep,65.0,59.3,760283,693038,67245,8.8
2010,Oct,65.0,59.3,760379,693396,66983,8.8
2010,Nov,65.0,59.3,760770,693979,66791,8.8
2010,Dec,65.0,59.3,761301,694664,66637,8.8
2011,Jan,64.9,59.3,761874,695383,66491,8.7
2011,Feb,64.9,59.3,762426,696138,66288,8.7
2011,Mar,64.9,59.3,762885,696898,65987,8.6
2011,Apr,64.9,59.3,763277,697709,65568,8.6
2011,May,64.9,59.4,763681,698664,65017,8.5
2011,Jun,64.9,59.4,764152,699823,64329,8.4
2011,Jul,64.9,59.5,764838,701287,63551,8.3
2011,Aug,64.9,59.6,765743,703015,62728,8.2
2011,Sep,64.9,59.6,766702,704790,61912,8.1
2011,Oct,64.9,59.7,767579,706444,61135,8.0
2011,Nov,64.9,59.8,768213,707813,60400,7.9
2011,Dec,64.8,59.8,768550,708822,59728,7.8
2012,Jan,64.8,59.8,768709,709573,59136,7.7
2012,Feb,64.7,59.8,768779,710196,58583,7.6
2012,Mar,64.7,59.8,768782,710756,58026,7.5
2012,Apr,64.6,59.8,768761,711329,57432,7.5
2012,May,64.6,59.8,768829,712041,56788,7.4
2012,Jun,64.5,59.8,769041,712968,56073,7.3
2012,Jul,64.5,59.9,769362,714058,55304,7.2
2012,Aug,64.4,59.9,769680,715187,54493,7.1
2012,Sep,64.4,59.9,769874,716258,53616,7.0
2012,Oct,64.3,59.9,769801,717144,52657,6.8
2012,Nov,64.2,59.9,769414,717778,51636,6.7
2012,Dec,64.1,59.9,768790,718199,50591,6.6
2013,Jan,64.1,59.8,770127,718500,51627,6.7
2013,Feb,64.0,59.8,769533,718847,50686,6.6
2013,Mar,63.9,59.8,769256,719405,49851,6.5
2013,Apr,63.9,59.8,769331,720215,49116,6.4
2013,May,63.8,59.8,769668,721176,48492,6.3
2013,Jun,63.8,59.8,770199,722261,47938,6.2
2013,Jul,63.8,59.9,770775,723471,47304,6.1
2013,Aug,63.8,59.9,771321,724848,46473,6.0
2013,Sep,63.7,60.0,771895,726443,45452,5.9
2013,Oct,63.7,60.0,772545,728225,44320,5.7
2013,Nov,63.7,60.1,773304,730153,43151,5.6
2013,Dec,63.7,60.2,774133,732112,42021,5.4
2014,Jan,63.7,60.3,775854,734520,41334,5.3
2014,Feb,63.7,60.4,776782,736276,40506,5.2
2014,Mar,63.7,60.5,777573,737847,39726,5.1
2014,Apr,63.7,60.5,778228,739220,39008,5.0
2014,May,63.7,60.5,778783,740449,38334,4.9
2014,Jun,63.6,60.6,779297,741596,37701,4.8
2014,Jul,63.6,60.6,779834,742723,37111,4.8
2014,Aug,63.6,60.6,780526,743953,36573,4.7
2014,Sep,63.6,60.6,781459,745361,36098,4.6
2014,Oct,63.6,60.7,782667,746985,35682,4.6
2014,Nov,63.6,60.7,784103,748782,35321,4.5
2014,Dec,63.7,60.8,785742,750711,35031,4.5
2015,Jan,63.5,60.9,785111,752510,32601,4.2
2015,Feb,63.6,61.0,787185,754504,32681,4.2
2015,Mar,63.7,61.1,789169,756429,32740,4.1
2015,Apr,63.8,61.1,791024,758258,32766,4.1
2015,May,63.8,61.2,792745,759981,32764,4.1
2015,Jun,63.9,61.2,794299,761564,32735,4.1
2015,Jul,63.9,61.3,795741,763048,32693,4.1
2015,Aug,63.9,61.3,797114,764468,32646,4.1
2015,Sep,63.9,61.3,798498,765926,32572,4.1
2015,Oct,63.9,61.3,800030,767573,32457,4.1
2015,Nov,63.9,61.3,801806,769491,32315,4.0
2015,Dec,63.9,61.4,803771,771627,32144,4.0
2016,Jan,64.0,61.4,805747,773795,31952,4.0
2016,Feb,64.0,61.5,807602,775843,31759,3.9
2016,Mar,64.0,61.5,809281,777715,31566,3.9
2016,Apr,64.0,61.5,810859,779465,31394,3.9
2016,May,64.0,61.6,812420,781168,31252,3.8
2016,Jun,64.0,61.6,814052,782932,31120,3.8
2016,Jul,64.0,61.6,815730,784782,30948,3.8
2016,Aug,64.0,61.6,817380,786677,30703,3.8
2016,Sep,64.0,61.6,818907,788528,30379,3.7
2016,Oct,64.0,61.6,820248,790265,29983,3.7
2016,Nov,63.9,61.6,821434,791916,29518,3.6
