Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,65.1,59.8,694243,637259,56984,8.2
2010,Feb,65.1,59.8,694475,637568,56907,8.2
2010,Mar,65.1,59.8,694551,637804,56747,8.2
2010,Apr,64.6,59.4,694445,637892,56553,8.1
2010,May,64.6,59.4,694263,637898,56365,8.1
2010,Jun,64.6,59.4,694172,637919,56253,8.1
2010,Jul,64.6,59.4,694326,638068,56258,8.1
2010,Aug,64.6,59.4,694797,638446,56351,8.1
2010,Sep,64.7,59.4,695496,639030,56466,8.1
2010,Oct,64.7,59.4,696286,639773,56513,8.1
2010,Nov,64.7,59.5,697017,640546,56471,8.1
2010,Dec,64.8,59.5,697569,641170,56399,8.1
2011,Jan,64.8,59.6,697917,641581,56336,8.1
2011,Feb,64.8,59.6,698122,641876,56246,8.1
2011,Mar,64.8,59.6,698290,642192,56098,8.0
2011,Apr,64.8,59.6,698498,642590,55908,8.0
2011,May,64.8,59.6,698778,643077,55701,8.0
2011,Jun,64.8,59.6,699095,643643,55452,7.9
2011,Jul,64.8,59.7,699417,644275,55142,7.9
2011,Aug,64.8,59.7,699732,644926,54806,7.8
2011,Sep,64.8,59.8,700037,645554,54483,7.8
2011,Oct,64.8,59.8,700335,646109,54226,7.7
2011,Nov,64.8,59.8,700617,646574,54043,7.7
2011,Dec,64.8,59.9,700893,646996,53897,7.7
2012,Jan,64.9,59.9,701198,647429,53769,7.7
2012,Feb,64.9,59.9,701539,647863,53676,7.7
2012,Mar,64.9,60.0,701851,648248,53603,7.6
2012,Apr,64.9,60.0,702059,648582,53477,7.6
2012,May,64.9,60.0,702207,648947,53260,7.6
2012,Jun,64.9,60.0,702345,649410,52935,7.5
2012,Jul,64.9,60.1,702503,649989,52514,7.5
2012,Aug,64.9,60.1,702735,650687,52048,7.4
2012,Sep,64.9,60.2,703085,651471,51614,7.3
2012,Oct,65.0,60.2,703508,652278,51230,7.3
2012,Nov,65.0,60.3,703960,653061,50899,7.2
2012,Dec,65.0,60.3,704418,653833,50585,7.2
2013,Jan,65.0,60.4,704819,654594,50225,7.1
2013,Feb,65.1,60.5,705153,655387,49766,7.1
2013,Mar,65.1,60.6,705438,656261,49177,7.0
2013,Apr,65.1,60.6,705741,657244,48497,6.9
2013,May,65.1,60.7,706045,658276,47769,6.8
2013,Jun,65.1,60.8,706309,659246,47063,6.7
2013,Jul,65.1,60.9,706447,660040,46407,6.6
2013,Aug,65.1,60.9,706313,660549,45764,6.5
2013,Sep,65.0,60.9,705866,660735,45131,6.4
2013,Oct,64.9,60.8,705193,660665,44528,6.3
2013,Nov,64.8,60.8,704399,660416,43983,6.2
2013,Dec,64.7,60.7,703514,660016,43498,6.2
2014,Jan,64.6,60.7,702680,659873,42807,6.1
2014,Feb,64.5,60.6,701531,659353,42178,6.0
2014,Mar,64.4,60.6,700411,658894,41517,5.9
2014,Apr,64.3,60.5,699286,658458,40828,5.8
2014,May,64.2,60.5,698114,657984,40130,5.7
2014,Jun,64.0,60.4,696914,657472,39442,5.7
2014,Jul,63.9,60.3,695717,656942,38775,5.6
2014,Aug,63.8,60.3,694591,656458,38133,5.5
2014,Sep,63.7,60.2,693527,656034,37493,5.4
2014,Oct,63.5,60.2,692411,655612,36799,5.3
2014,Nov,63.4,60.1,691163,655154,36009,5.2
2014,Dec,63.3,60.1,689844,654716,35128,5.1
2015,Jan,63.2,60.0,688572,654375,34197,5.0
2015,Feb,63.1,60.0,687279,653991,33288,4.8
2015,Mar,62.9,60.0,686056,653650,32406,4.7
