Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,71.1,67.4,441836,419084,22752,5.1
2010,Feb,71.0,67.3,441620,418975,22645,5.1
2010,Mar,70.9,67.3,441460,419069,22391,5.1
2010,Apr,71.6,68.0,441349,419274,22075,5.0
2010,May,71.6,68.0,441263,419478,21785,4.9
2010,Jun,71.5,68.0,441191,419615,21576,4.9
2010,Jul,71.4,67.9,441139,419657,21482,4.9
2010,Aug,71.3,67.9,441133,419628,21505,4.9
2010,Sep,71.3,67.8,441175,419549,21626,4.9
2010,Oct,71.2,67.7,441234,419429,21805,4.9
2010,Nov,71.2,67.6,441279,419273,22006,5.0
2010,Dec,71.1,67.6,441300,419108,22192,5.0
2011,Jan,71.1,67.5,441272,418997,22275,5.0
2011,Feb,71.0,67.4,441179,418972,22207,5.0
2011,Mar,70.9,67.4,441026,419051,21975,5.0
2011,Apr,70.9,67.4,440858,419228,21630,4.9
2011,May,70.8,67.4,440727,419481,21246,4.8
2011,Jun,70.7,67.4,440642,419761,20881,4.7
2011,Jul,70.7,67.4,440627,420059,20568,4.7
2011,Aug,70.6,67.3,440691,420389,20302,4.6
2011,Sep,70.5,67.3,440813,420740,20073,4.6
2011,Oct,70.4,67.3,440931,421072,19859,4.5
2011,Nov,70.4,67.3,441021,421389,19632,4.5
2011,Dec,70.3,67.2,441098,421695,19403,4.4
2012,Jan,70.3,67.2,441209,422007,19202,4.4
2012,Feb,70.2,67.2,441386,422317,19069,4.3
2012,Mar,70.2,67.2,441604,422584,19020,4.3
2012,Apr,70.2,67.1,441843,422801,19042,4.3
2012,May,70.1,67.1,442106,422989,19117,4.3
2012,Jun,70.1,67.0,442401,423183,19218,4.3
2012,Jul,70.1,67.0,442705,423437,19268,4.4
2012,Aug,70.0,67.0,442971,423775,19196,4.3
2012,Sep,70.0,67.0,443188,424200,18988,4.3
2012,Oct,69.9,67.0,443337,424686,18651,4.2
2012,Nov,69.9,67.0,443353,425088,18265,4.1
2012,Dec,69.8,67.0,443215,425308,17907,4.0
2013,Jan,69.7,66.9,442860,425254,17606,4.0
2013,Feb,69.6,66.9,442604,425231,17373,3.9
2013,Mar,69.5,66.8,442425,425222,17203,3.9
2013,Apr,69.5,66.8,442384,425312,17072,3.9
2013,May,69.4,66.7,442478,425520,16958,3.8
2013,Jun,69.4,66.7,442689,425837,16852,3.8
2013,Jul,69.3,66.7,442951,426207,16744,3.8
2013,Aug,69.3,66.7,443230,426610,16620,3.7
2013,Sep,69.3,66.8,443529,427061,16468,3.7
2013,Oct,69.3,66.8,443854,427557,16297,3.7
2013,Nov,69.4,66.8,444225,428094,16131,3.6
2013,Dec,69.4,66.9,444624,428645,15979,3.6
2014,Jan,69.4,66.9,445072,429208,15864,3.6
2014,Feb,69.4,67.0,445400,429618,15782,3.5
2014,Mar,69.4,67.0,445688,429987,15701,3.5
2014,Apr,69.4,67.0,445936,430343,15593,3.5
2014,May,69.4,67.0,446170,430747,15423,3.5
2014,Jun,69.4,67.0,446417,431207,15210,3.4
2014,Jul,69.4,67.1,446714,431682,15032,3.4
2014,Aug,69.4,67.1,447072,432127,14945,3.3
2014,Sep,69.4,67.1,447431,432494,14937,3.3
2014,Oct,69.4,67.1,447762,432790,14972,3.3
2014,Nov,69.4,67.1,448053,433078,14975,3.3
2014,Dec,69.5,67.1,448322,433416,14906,3.3
2015,Jan,69.5,67.2,448587,433802,14785,3.3
2015,Feb,69.5,67.2,448926,434288,14638,3.3
2015,Mar,69.5,67.3,449292,434793,14499,3.2
2015,Apr,69.6,67.3,449621,435239,14382,3.2
2015,May,69.5,67.3,449854,435572,14282,3.2
2015,Jun,69.5,67.3,449963,435802,14161,3.1
2015,Jul,69.5,67.3,449992,436011,13981,3.1
2015,Aug,69.4,67.3,450016,436266,13750,3.1
2015,Sep,69.4,67.3,450107,436606,13501,3.0
2015,Oct,69.3,67.3,450291,437020,13271,2.9
2015,Nov,69.3,67.3,450559,437475,13084,2.9
2015,Dec,69.3,67.3,450862,437914,12948,2.9
2016,Jan,69.3,67.3,451130,438270,12860,2.9
2016,Feb,69.3,67.3,451361,438525,12836,2.8
2016,Mar,69.3,67.3,451611,438723,12888,2.9
2016,Apr,69.3,67.3,451947,438929,13018,2.9
2016,May,69.3,67.2,452368,439160,13208,2.9
2016,Jun,69.3,67.2,452822,439405,13417,3.0
2016,Jul,69.3,67.2,453237,439630,13607,3.0
2016,Aug,69.3,67.2,453555,439790,13765,3.0
2016,Sep,69.2,67.1,453770,439870,13900,3.1
2016,Oct,69.2,67.0,453880,439859,14021,3.1
2016,Nov,69.1,66.9,453963,439833,14130,3.1
2016,Dec,69.1,66.9,454122,439900,14222,3.1
2017,Jan,69.0,66.9,454425,440134,14291,3.1
2017,Feb,69.0,66.9,454822,440485,14337,3.2
2017,Mar,69.0,66.9,455220,440838,14382,3.2
2017,Apr,69.0,66.9,455580,441133,14447,3.2
2017,May,69.0,66.8,455900,441358,14542,3.2
2017,Jun,69.0,66.8,456183,441520,14663,3.2
2017,Jul,69.0,66.7,456433,441644,14789,3.2
2017,Aug,69.0,66.7,456677,441802,14875,3.3
2017,Sep,68.9,66.7,456949,442057,14892,3.3
2017,Oct,68.9,66.7,457283,442454,14829,3.2
2017,Nov,68.9,66.7,457627,442897,14730,3.2
2017,Dec,68.9,66.7,457922,443288,14634,3.2
2018,Jan,69.0,66.8,458170,443624,14546,3.2
2018,Feb,68.9,66.8,458394,443930,14464,3.2
2018,Mar,68.9,66.8,458607,444237,14370,3.1
2018,Apr,68.9,66.8,458801,444552,14249,3.1
2018,May,68.9,66.8,459001,444878,14123,3.1
2018,Jun,68.9,66.8,459232,445222,14010,3.1
2018,Jul,68.9,66.8,459510,445595,13915,3.0
2018,Aug,68.9,66.8,459843,445991,13852,3.0
2018,Sep,68.9,66.8,460219,446385,13834,3.0
2018,Oct,68.9,66.8,460622,446743,13879,3.0
2018,Nov,68.9,66.8,461020,447039,13981,3.0
2018,Dec,68.9,66.8,461384,447254,14130,3.1
2019,Jan,68.9,66.8,461674,447348,14326,3.1
2019,Feb,68.9,66.8,461922,447375,14547,3.1
2019,Mar,68.9,66.7,462185,447414,14771,3.2
2019,Apr,68.9,66.7,462504,447528,14976,3.2
2019,May,68.9,66.7,462916,447776,15140,3.3
2019,Jun,69.0,66.7,463467,448192,15275,3.3
2019,Jul,69.0,66.7,464203,448786,15417,3.3
2019,Aug,69.1,66.8,464900,449335,15565,3.3
2019,Sep,69.1,66.8,465518,449811,15707,3.4
2019,Oct,69.1,66.8,465907,450107,15800,3.4
2019,Nov,69.0,66.7,465885,450090,15795,3.4
2019,Dec,69.0,66.7,465805,450033,15772,3.4
2020,Jan,69.0,66.7,466500,450689,15811,3.4
2020,Feb,69.1,66.8,467108,451498,15610,3.3
2020,Mar,69.2,67.1,468175,453878,14297,3.1
2020,Apr,69.5,61.9,470300,419024,51276,10.9
2020,May,68.5,62.1,464195,420530,43665,9.4
2020,Jun,69.2,64.2,468994,435141,33853,7.2
2020,Jul,68.7,64.3,466239,436284,29955,6.4
2020,Aug,67.6(P),64.4(P),459418(P),437371(P),22047(P),4.8(P)
