Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,67.7,60.6,3530511,3163087,367424,10.4
2010,Feb,67.6,60.6,3529820,3163688,366132,10.4
2010,Mar,67.5,60.5,3528642,3165760,362882,10.3
2010,Apr,67.4,60.5,3526005,3167824,358181,10.2
2010,May,67.2,60.5,3521607,3168900,352707,10.0
2010,Jun,67.1,60.4,3516112,3168197,347915,9.9
2010,Jul,66.9,60.3,3510442,3165672,344770,9.8
2010,Aug,66.7,60.2,3505035,3161962,343073,9.8
2010,Sep,66.6,60.0,3499873,3157493,342380,9.8
2010,Oct,66.4,59.9,3494542,3152803,341739,9.8
2010,Nov,66.2,59.7,3488162,3148027,340135,9.8
2010,Dec,66.0,59.6,3480699,3143385,337314,9.7
2011,Jan,65.8,59.4,3473305,3139432,333873,9.6
2011,Feb,65.6,59.3,3466972,3136312,330660,9.5
2011,Mar,65.4,59.2,3462169,3134099,328070,9.5
2011,Apr,65.3,59.2,3458969,3132796,326173,9.4
2011,May,65.2,59.1,3457455,3132444,325011,9.4
2011,Jun,65.2,59.0,3457160,3133149,324011,9.4
2011,Jul,65.1,59.0,3457441,3134999,322442,9.3
2011,Aug,65.0,59.0,3458076,3138052,320024,9.3
2011,Sep,65.0,59.0,3459142,3142610,316532,9.2
2011,Oct,64.9,59.1,3461153,3148737,312416,9.0
2011,Nov,64.9,59.1,3464012,3155902,308110,8.9
2011,Dec,64.9,59.2,3467287,3163381,303906,8.8
2012,Jan,64.9,59.3,3470587,3170602,299985,8.6
2012,Feb,64.9,59.3,3473802,3177049,296753,8.5
2012,Mar,64.9,59.4,3476293,3181677,294616,8.5
2012,Apr,64.8,59.3,3477069,3183933,293136,8.4
2012,May,64.7,59.3,3476271,3184854,291417,8.4
2012,Jun,64.6,59.2,3474422,3185871,288551,8.3
2012,Jul,64.5,59.2,3472005,3188024,283981,8.2
2012,Aug,64.4,59.2,3469717,3191534,278183,8.0
2012,Sep,64.3,59.3,3468162,3196070,272092,7.8
2012,Oct,64.2,59.3,3466906,3200714,266192,7.7
2012,Nov,64.1,59.3,3465690,3204626,261064,7.5
2012,Dec,64.1,59.3,3464263,3207318,256945,7.4
2013,Jan,64.0,59.3,3465517,3208679,256838,7.4
2013,Feb,63.9,59.3,3463646,3209467,254179,7.3
2013,Mar,63.9,59.2,3462290,3210734,251556,7.3
2013,Apr,63.8,59.2,3462153,3213298,248855,7.2
2013,May,63.8,59.2,3462821,3216430,246391,7.1
2013,Jun,63.7,59.2,3463764,3219285,244479,7.1
2013,Jul,63.7,59.2,3464802,3221747,243055,7.0
2013,Aug,63.6,59.2,3465091,3223955,241136,7.0
2013,Sep,63.5,59.2,3464302,3226128,238174,6.9
2013,Oct,63.4,59.1,3463476,3228657,234819,6.8
2013,Nov,63.3,59.1,3463397,3231944,231453,6.7
2013,Dec,63.3,59.1,3464000,3235814,228186,6.6
2014,Jan,63.2,59.1,3466069,3241018,225051,6.5
2014,Feb,63.2,59.1,3467365,3245636,221729,6.4
2014,Mar,63.1,59.2,3469314,3250620,218694,6.3
2014,Apr,63.1,59.2,3472139,3255934,216205,6.2
2014,May,63.1,59.2,3476356,3262188,214168,6.2
2014,Jun,63.2,59.3,3482697,3270052,212645,6.1
2014,Jul,63.2,59.4,3490819,3279108,211711,6.1
2014,Aug,63.3,59.5,3500118,3288804,211314,6.0
2014,Sep,63.4,59.5,3509426,3298343,211083,6.0
2014,Oct,63.4,59.6,3516923,3306734,210189,6.0
2014,Nov,63.4,59.6,3521640,3313329,208311,5.9
2014,Dec,63.3,59.6,3524615,3318563,206052,5.8
2015,Jan,63.3,59.7,3527423,3323927,203496,5.8
2015,Feb,63.3,59.7,3530769,3328459,202310,5.7
2015,Mar,63.3,59.7,3534762,3333200,201562,5.7
2015,Apr,63.3,59.7,3539214,3338296,200918,5.7
2015,May,63.3,59.7,3543453,3343245,200208,5.7
2015,Jun,63.2,59.7,3546806,3347419,199387,5.6
2015,Jul,63.2,59.6,3549667,3350958,198709,5.6
2015,Aug,63.1,59.6,3552953,3354575,198378,5.6
2015,Sep,63.1,59.6,3557770,3359519,198251,5.6
2015,Oct,63.1,59.6,3565501,3367152,198349,5.6
2015,Nov,63.2,59.7,3576422,3377702,198720,5.6
2015,Dec,63.3,59.8,3588994,3390015,198979,5.5
2016,Jan,63.4,59.9,3601379,3402586,198793,5.5
2016,Feb,63.5,60.0,3612356,3414157,198199,5.5
2016,Mar,63.6,60.1,3621268,3424072,197196,5.4
2016,Apr,63.6,60.2,3628467,3432445,196022,5.4
2016,May,63.6,60.2,3635018,3440149,194869,5.4
2016,Jun,63.6,60.3,3641664,3448020,193644,5.3
2016,Jul,63.6,60.3,3648670,3456538,192132,5.3
2016,Aug,63.7,60.3,3655911,3465572,190339,5.2
2016,Sep,63.7,60.4,3663038,3474601,188437,5.1
2016,Oct,63.7,60.4,3669448,3483118,186330,5.1
2016,Nov,63.7,60.5,3675229,3491362,183867,5.0
2016,Dec,63.7,60.5,3681023,3499749,181274,4.9
2017,Jan,63.7,60.6,3687410,3508427,178983,4.9
2017,Feb,63.7,60.6,3694700,3517567,177133,4.8
2017,Mar,63.7,60.7,3702713,3526769,175944,4.8
2017,Apr,63.8,60.8,3711308,3535824,175484,4.7
2017,May,63.8,60.8,3719971,3544553,175418,4.7
2017,Jun,63.9,60.9,3727894,3552475,175419,4.7
2017,Jul,63.9,60.9,3734579,3559278,175301,4.7
2017,Aug,63.9,60.9,3739701,3564798,174903,4.7
2017,Sep,63.9,60.9,3743691,3569425,174266,4.7
2017,Oct,63.8,60.9,3747458,3573959,173499,4.6
2017,Nov,63.8,60.9,3751607,3578825,172782,4.6
2017,Dec,63.8,60.9,3756630,3584565,172065,4.6
2018,Jan,63.9,60.9,3762893,3591510,171383,4.6
2018,Feb,63.9,61.0,3770387,3599592,170795,4.5
2018,Mar,64.0,61.1,3778474,3608360,170114,4.5
2018,Apr,64.0,61.2,3785883,3616762,169121,4.5
2018,May,64.0,61.2,3792258,3624247,168011,4.4
2018,Jun,64.1,61.2,3798610,3631464,167146,4.4
2018,Jul,64.1,61.3,3805825,3639106,166719,4.4
2018,Aug,64.2,61.4,3814864,3647826,167038,4.4
2018,Sep,64.3,61.4,3825717,3657561,168156,4.4
2018,Oct,64.4,61.5,3837511,3667579,169932,4.4
2018,Nov,64.5,61.6,3849304,3677322,171982,4.5
2018,Dec,64.6,61.7,3860043,3686298,173745,4.5
2019,Jan,64.7,61.8,3868946,3694229,174717,4.5
2019,Feb,64.7,61.8,3875991,3701364,174627,4.5
2019,Mar,64.8,61.9,3882393,3708611,173782,4.5
2019,Apr,64.8,61.9,3889585,3717134,172451,4.4
2019,May,64.9,62.0,3898166,3727376,170790,4.4
2019,Jun,65.0,62.2,3908037,3739115,168922,4.3
2019,Jul,65.1,62.3,3919719,3753135,166584,4.2
2019,Aug,65.2,62.5,3930722,3766907,163815,4.2
2019,Sep,65.3,62.6,3940112,3779057,161055,4.1
2019,Oct,65.3,62.6,3946416,3787504,158912,4.0
2019,Nov,65.2,62.6,3946541,3788021,158520,4.0
2019,Dec,65.1,62.5,3945375,3786562,158813,4.0
2020,Jan,65.2,62.6,3955240,3799772,155468,3.9
2020,Feb,65.3,62.8,3962518,3810985,151533,3.8
2020,Mar,64.0,60.7,3890678,3692118,198560,5.1
2020,Apr,65.1,54.5,3963317,3318207,645110,16.3
2020,May,64.8,55.0,3945467,3351584,593883,15.1
2020,Jun,63.8,57.4,3893247,3503448,389799,10.0
