State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,total,lon,lat,
Alabama,10/24/20,7126,10/17/20,35544,1939059,2,42670,32.31823,-86.902298,
Alaska,10/24/20,4388,10/17/20,18974,308959,6,23362,66.160507,-153.369141,Alabama
Arkansas,10/24/20,4019,10/17/20,26311,1199243,2,30330,34.799999,-92.199997,
Arizona,10/24/20,6813,10/17/20,125852,2927942,4,132665,34.048927,-111.093735,
California,10/24/20,152176,10/17/20,1653245,17473068,9,1805421,36.778259,-119.417931,
Colorado,10/24/20,6071,10/17/20,105759,2692685,4,111830,39.113014,-105.358887,
Connecticut,10/24/20,6016,10/17/20,101110,1651883,6,107126,41.599998,-72.699997,
Delaware,10/24/20,1657,10/17/20,17349,451429,4,19006,39,-75.5,
District of Columbia,10/24/20,1473,10/17/20,41417,583160,7,42890,38.89511,-77.03637,
Florida,10/24/20,33542,10/17/20,282261,8769716,3,315803,27.994402,-81.760254,
Georgia,10/24/20,43695,10/17/20,336738,4419929,8,380433,33.247875,-83.441162,
Hawaii,10/24/20,4906,10/17/20,70497,621065,11,75403,19.741755,-155.844437,
Idaho,10/24/20,3863,10/17/20,8024,744780,1,11887,44.068203,-114.742043,
Illinois,10/24/20,53138,10/17/20,379952,5919664,6,433090,40,-89,
Indiana,10/24/20,13407,10/17/20,103977,3034402,3,117384,40.273502,-86.126976,
Iowa,10/24/20,4351,10/17/20,39825,1535919,3,44176,42.032974,-93.581543,
Kansas,10/24/20,15972,10/17/20,43902,1369508,3,59874,38.5,-98,
Kentucky,10/24/20,5325,10/17/20,61867,1899546,3,67192,37.839333,-84.27002,
Louisiana,10/24/20,9943,10/17/20,128378,1887456,7,138321,30.39183,-92.329102,
Maine,10/24/20,1479,10/17/20,15286,605947,3,16765,45.367584,-68.972168,
Maryland,10/24/20,10743,10/17/20,83240,2466552,3,93983,39.045753,-76.641273,
Massachusetts,10/24/20,47887,10/17/20,249005,3589092,7,296892,42.407211,-71.382439,
Michigan,10/24/20,18082,10/17/20,235256,4304929,5,253338,44.182205,-84.506836,
Minnesota,10/24/20,11681,10/17/20,116856,2871418,4,128537,46.39241,-94.63623,
Mississippi,10/24/20,3231,10/17/20,46448,1110495,4,49679,33,-90,
Missouri,10/24/20,7802,10/17/20,56392,2748342,2,64194,38.573936,-92.60376,
Montana,10/24/20,3181,10/17/20,14996,458857,3,18177,46.96526,-109.533691,
North Carolina,10/24/20,9903,10/17/20,96919,4437138,2,106822,35.782169,-80.793457,
North Dakota,10/24/20,1223,10/17/20,7297,413795,2,8520,47.650589,-100.437012,
Nebraska,10/24/20,2421,10/17/20,13742,966634,1,16163,41.5,-100,
New Hampshire,10/24/20,2028,10/17/20,26153,658755,4,28181,44,-71.5,
New Jersey,10/24/20,27203,10/17/20,203663,4042393,5,230866,39.833851,-74.871826,
New Mexico,10/24/20,4091,10/17/20,72805,810264,9,76896,34.307144,-106.018066,
Nevada,10/24/20,9036,10/17/20,127673,1395097,9,136709,39.876019,-117.224121,
New York,10/24/20,51599,10/17/20,580124,9443613,6,631723,43,-75,
Ohio,10/24/20,17587,10/17/20,169784,5359821,3,187371,40.367474,-82.996216,
Oklahoma,10/24/20,5015,10/17/20,67861,1569855,4,72876,36.084621,-96.921387,
Oregon,10/24/20,4529,10/17/20,95814,1928744,5,100343,44,-120.5,
Pennsylvania,10/24/20,19974,10/17/20,334369,5764460,6,354343,41.203323,-77.194527,
Puerto Rico,10/24/20,1200,10/17/20,65498,861782,8,66698,18.200178,-66.66451,
Rhode Island,10/24/20,3127,10/17/20,17947,474882,4,21074,41.700001,-71.5,
South Carolina,10/24/20,3675,10/17/20,61400,2095065,3,65075,33.836082,-81.163727,
South Dakota,10/24/20,482,10/17/20,4539,419422,1,5021,44.5,-100,
Tennessee,10/24/20,8113,10/17/20,80068,3322994,2,88181,35.860119,-86.660156,
Texas,10/24/20,35195,10/17/20,607655,12428366,5,642850,31,-100,
Utah,10/24/20,2371,10/17/20,17474,1486205,1,19845,39.41922,-111.950684,
Vermont,10/24/20,706,10/17/20,12535,302674,4,13241,44,-72.699997,
Virgin Islands,10/24/20,127,10/17/20,3586,37542,10,3713,18.3434,-64.8672,
Virginia,10/24/20,12352,10/17/20,127621,3762558,3,139973,37.926868,-78.024902,
Washington,10/24/20,18025,10/17/20,165664,3403434,5,183689,47.751076,-120.740135,
West Virginia,10/24/20,2091,10/17/20,24485,662540,4,26576,39,-80.5,
Wisconsin,10/24/20,13540,10/17/20,100438,2857433,4,113978,44.5,-89.5,
Wyoming,10/24/20,1129,10/17/20,5793,262767,2,6922,43.07597,-107.290283,
