Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,62.2,56.8,429710,392087,37623,8.8
2010,Feb,62.3,56.8,430100,392564,37536,8.7
2010,Mar,62.3,56.9,430874,393526,37348,8.7
2010,Apr,61.6,56.3,431940,394829,37111,8.6
2010,May,61.7,56.4,433161,396298,36863,8.5
2010,Jun,61.8,56.6,434360,397725,36635,8.4
2010,Jul,61.9,56.7,435388,398956,36432,8.4
2010,Aug,62.0,56.8,436206,399954,36252,8.3
2010,Sep,62.0,56.9,436872,400796,36076,8.3
2010,Oct,62.0,56.9,437508,401654,35854,8.2
2010,Nov,62.0,57.0,438229,402670,35559,8.1
2010,Dec,62.1,57.1,439063,403877,35186,8.0
2011,Jan,62.2,57.3,439961,405199,34762,7.9
2011,Feb,62.2,57.4,440818,406489,34329,7.8
2011,Mar,62.3,57.5,441523,407596,33927,7.7
2011,Apr,62.3,57.6,442053,408447,33606,7.6
2011,May,62.3,57.6,442477,409083,33394,7.5
2011,Jun,62.3,57.6,442907,409638,33269,7.5
2011,Jul,62.3,57.7,443436,410268,33168,7.5
2011,Aug,62.4,57.7,444069,411041,33028,7.4
2011,Sep,62.4,57.8,444727,411921,32806,7.4
2011,Oct,62.4,57.8,445322,412809,32513,7.3
2011,Nov,62.4,57.9,445777,413575,32202,7.2
2011,Dec,62.4,57.9,446079,414139,31940,7.2
2012,Jan,62.4,57.9,446257,414481,31776,7.1
2012,Feb,62.3,57.9,446336,414607,31729,7.1
2012,Mar,62.3,57.8,446320,414526,31794,7.1
2012,Apr,62.2,57.8,446198,414272,31926,7.2
2012,May,62.1,57.7,445997,413923,32074,7.2
2012,Jun,62.1,57.6,445764,413567,32197,7.2
2012,Jul,62.0,57.5,445538,413259,32279,7.2
2012,Aug,61.9,57.4,445340,413013,32327,7.3
2012,Sep,61.8,57.3,445164,412814,32350,7.3
2012,Oct,61.7,57.2,444940,412600,32340,7.3
2012,Nov,61.6,57.1,444605,412320,32285,7.3
2012,Dec,61.4,57.0,444127,411957,32170,7.2
2013,Jan,61.3,56.9,443397,411523,31874,7.2
2013,Feb,61.1,56.8,442719,411093,31626,7.1
2013,Mar,61.0,56.7,442088,410795,31293,7.1
2013,Apr,60.9,56.6,441632,410760,30872,7.0
2013,May,60.8,56.6,441417,411042,30375,6.9
2013,Jun,60.8,56.6,441465,411635,29830,6.8
2013,Jul,60.7,56.7,441767,412491,29276,6.6
2013,Aug,60.7,56.8,442276,413528,28748,6.5
2013,Sep,60.7,56.9,442934,414644,28290,6.4
2013,Oct,60.8,57.0,443679,415741,27938,6.3
2013,Nov,60.8,57.0,444459,416768,27691,6.2
2013,Dec,60.9,57.1,445267,417747,27520,6.2
2014,Jan,60.8,57.1,445213,417878,27335,6.1
2014,Feb,60.9,57.2,446233,419053,27180,6.1
2014,Mar,61.0,57.3,447463,420458,27005,6.0
2014,Apr,61.1,57.5,448871,422058,26813,6.0
2014,May,61.3,57.6,450377,423782,26595,5.9
2014,Jun,61.4,57.8,451889,425554,26335,5.8
2014,Jul,61.5,58.0,453306,427300,26006,5.7
2014,Aug,61.6,58.2,454580,428982,25598,5.6
2014,Sep,61.7,58.3,455694,430577,25117,5.5
2014,Oct,61.8,58.4,456682,432090,24592,5.4
2014,Nov,61.8,58.6,457601,433528,24073,5.3
2014,Dec,61.9,58.7,458527,434900,23627,5.2
2015,Jan,61.9,58.8,459337,436031,23306,5.1
2015,Feb,62.0,58.9,460361,437278,23083,5.0
2015,Mar,62.1,59.0,461462,438529,22933,5.0
2015,Apr,62.2,59.2,462628,439812,22816,4.9
2015,May,62.3,59.3,463834,441121,22713,4.9
2015,Jun,62.4,59.4,465051,442431,22620,4.9
2015,Jul,62.5,59.5,466269,443723,22546,4.8
2015,Aug,62.6,59.6,467458,444976,22482,4.8
2015,Sep,62.7,59.7,468575,446170,22405,4.8
2015,Oct,62.8,59.8,469587,447293,22294,4.7
2015,Nov,62.8,59.9,470458,448325,22133,4.7
2015,Dec,62.9,60.0,471140,449216,21924,4.7
2016,Jan,62.9,60.0,471595,449898,21697,4.6
2016,Feb,62.9,60.0,471837,450340,21497,4.6
2016,Mar,62.8,60.0,471918,450572,21346,4.5
2016,Apr,62.8,59.9,471907,450661,21246,4.5
2016,May,62.7,59.9,471862,450673,21189,4.5
2016,Jun,62.6,59.8,471801,450639,21162,4.5
2016,Jul,62.6,59.8,471737,450581,21156,4.5
2016,Aug,62.5,59.7,471709,450537,21172,4.5
2016,Sep,62.5,59.7,471784,450555,21229,4.5
2016,Oct,62.4,59.6,471996,450665,21331,4.5
2016,Nov,62.4,59.6,472358,450888,21470,4.5
2016,Dec,62.4,59.6,472852,451229,21623,4.6
2017,Jan,62.4,59.6,473437,451676,21761,4.6
2017,Feb,62.5,59.6,474041,452188,21853,4.6
2017,Mar,62.5,59.6,474607,452714,21893,4.6
2017,Apr,62.5,59.7,475140,453265,21875,4.6
2017,May,62.5,59.7,475650,453866,21784,4.6
2017,Jun,62.6,59.7,476148,454517,21631,4.5
2017,Jul,62.6,59.8,476641,455201,21440,4.5
2017,Aug,62.6,59.8,477114,455884,21230,4.4
2017,Sep,62.6,59.8,477547,456544,21003,4.4
2017,Oct,62.5,59.8,477946,457190,20756,4.3
2017,Nov,62.5,59.9,478329,457847,20482,4.3
2017,Dec,62.5,59.9,478746,458573,20173,4.2
2018,Jan,62.5,60.0,479247,459416,19831,4.1
2018,Feb,62.6,60.0,479842,460368,19474,4.1
2018,Mar,62.6,60.1,480470,461344,19126,4.0
2018,Apr,62.6,60.2,481017,462207,18810,3.9
2018,May,62.6,60.2,481433,462894,18539,3.9
2018,Jun,62.6,60.2,481729,463440,18289,3.8
2018,Jul,62.6,60.2,481958,463926,18032,3.7
2018,Aug,62.5,60.2,482212,464441,17771,3.7
2018,Sep,62.5,60.3,482562,465046,17516,3.6
2018,Oct,62.5,60.3,483047,465754,17293,3.6
2018,Nov,62.5,60.3,483656,466524,17132,3.5
2018,Dec,62.6,60.4,484314,467252,17062,3.5
