Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,66.9,59.3,6629263,5879062,750201,11.3
2010,Feb,67.0,59.5,6646430,5898678,747752,11.3
2010,Mar,67.1,59.7,6655359,5917703,737656,11.1
2010,Apr,67.3,60.0,6654739,5932888,721851,10.8
2010,May,67.2,60.1,6645625,5943454,702171,10.6
2010,Jun,67.1,60.1,6631747,5948816,682931,10.3
2010,Jul,66.9,60.1,6618603,5950375,668228,10.1
2010,Aug,66.8,60.1,6609418,5950971,658447,10.0
2010,Sep,66.6,60.1,6603128,5951512,651616,9.9
2010,Oct,66.6,60.0,6598069,5952925,645144,9.8
2010,Nov,66.5,60.0,6591482,5954456,637026,9.7
2010,Dec,66.3,60.0,6582389,5954441,627948,9.5
2011,Jan,66.2,60.0,6573539,5952822,620717,9.4
2011,Feb,66.1,59.9,6566762,5949580,617182,9.4
2011,Mar,66.1,59.8,6562927,5944798,618129,9.4
2011,Apr,66.0,59.8,6563289,5938760,624529,9.5
2011,May,66.1,59.7,6569329,5933281,636048,9.7
2011,Jun,66.1,59.6,6579893,5930717,649176,9.9
2011,Jul,66.2,59.6,6592480,5932875,659605,10.0
2011,Aug,66.3,59.7,6603943,5939511,664432,10.1
2011,Sep,66.4,59.7,6610989,5949295,661694,10.0
2011,Oct,66.3,59.8,6611838,5960203,651635,9.9
2011,Nov,66.3,59.9,6605805,5969807,635998,9.6
2011,Dec,66.1,59.9,6594308,5976406,617902,9.4
2012,Jan,66.0,59.9,6581090,5979812,601278,9.1
2012,Feb,65.9,59.9,6571177,5981308,589869,9.0
2012,Mar,65.8,59.9,6567040,5981313,585727,8.9
2012,Apr,65.8,59.9,6567372,5980357,587015,8.9
2012,May,65.8,59.9,6571517,5980993,590524,9.0
2012,Jun,65.8,59.9,6577714,5984744,592970,9.0
2012,Jul,65.9,60.0,6584040,5991553,592487,9.0
2012,Aug,65.9,60.0,6590143,5999586,590557,9.0
2012,Sep,65.9,60.0,6596052,6006010,590042,8.9
2012,Oct,66.0,60.0,6599251,6007289,591962,9.0
2012,Nov,65.9,60.0,6597998,6001762,596236,9.0
2012,Dec,65.8,59.8,6592027,5990669,601358,9.1
