Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,71.5,66.0,2931636,2705380,226256,7.7
2010,Feb,71.5,66.0,2934157,2709231,224926,7.7
2010,Mar,71.5,66.1,2936270,2713397,222873,7.6
2010,Apr,71.5,66.1,2937670,2717445,220225,7.5
2010,May,71.5,66.2,2938435,2721066,217369,7.4
2010,Jun,71.4,66.2,2938805,2723778,215027,7.3
2010,Jul,71.4,66.2,2939250,2725306,213944,7.3
2010,Aug,71.4,66.2,2940138,2725971,214167,7.3
2010,Sep,71.3,66.1,2941269,2726480,214789,7.3
2010,Oct,71.3,66.1,2942146,2727688,214458,7.3
2010,Nov,71.3,66.1,2942245,2729932,212313,7.2
2010,Dec,71.2,66.1,2941809,2733191,208618,7.1
2011,Jan,71.1,66.2,2941435,2737393,204042,6.9
2011,Feb,71.1,66.3,2941838,2741696,200142,6.8
2011,Mar,71.1,66.3,2943124,2745212,197912,6.7
2011,Apr,71.1,66.3,2945087,2747838,197249,6.7
2011,May,71.1,66.3,2947426,2749971,197455,6.7
2011,Jun,71.1,66.4,2949387,2752143,197244,6.7
2011,Jul,71.1,66.4,2950563,2755094,195469,6.6
2011,Aug,71.0,66.4,2950646,2758898,191748,6.5
2011,Sep,70.9,66.5,2949489,2762924,186565,6.3
2011,Oct,70.8,66.5,2947613,2766525,181088,6.1
2011,Nov,70.8,66.5,2945429,2769210,176219,6.0
2011,Dec,70.7,66.5,2943191,2770778,172413,5.9
2012,Jan,70.6,66.5,2941312,2771438,169874,5.8
2012,Feb,70.5,66.5,2940126,2771941,168185,5.7
2012,Mar,70.4,66.4,2939631,2772639,166992,5.7
2012,Apr,70.4,66.4,2939742,2773408,166334,5.7
2012,May,70.4,66.4,2940579,2774614,165965,5.6
2012,Jun,70.4,66.4,2942474,2776729,165745,5.6
2012,Jul,70.4,66.4,2945136,2779732,165404,5.6
2012,Aug,70.4,66.5,2948475,2783485,164990,5.6
2012,Sep,70.4,66.5,2952420,2787876,164544,5.6
2012,Oct,70.5,66.6,2955833,2792315,163518,5.5
2012,Nov,70.5,66.6,2958006,2796171,161835,5.5
2012,Dec,70.4,66.6,2958803,2799077,159726,5.4
2013,Jan,70.4,66.6,2958448,2801058,157390,5.3
2013,Feb,70.3,66.6,2957536,2802512,155024,5.2
2013,Mar,70.3,66.6,2956696,2803957,152739,5.2
2013,Apr,70.2,66.7,2956563,2805906,150657,5.1
2013,May,70.2,66.7,2957110,2808169,148941,5.0
2013,Jun,70.2,66.7,2957938,2810445,147493,5.0
2013,Jul,70.1,66.7,2958811,2812690,146121,4.9
2013,Aug,70.1,66.7,2959293,2814962,144331,4.9
2013,Sep,70.0,66.7,2959346,2817257,142089,4.8
2013,Oct,70.0,66.7,2959868,2819676,140192,4.7
2013,Nov,70.0,66.7,2961337,2822308,139029,4.7
2013,Dec,70.0,66.7,2963292,2825014,138278,4.7
2014,Jan,70.0,66.7,2964752,2827317,137435,4.6
2014,Feb,70.0,66.8,2966238,2830253,135985,4.6
2014,Mar,70.0,66.8,2967430,2833677,133753,4.5
