Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,63.2,58.7,1762129,1637478,124651,7.1
2010,Feb,63.2,58.8,1765089,1640106,124983,7.1
2010,Mar,63.3,58.8,1768033,1643404,124629,7.0
2010,Apr,62.4,58.1,1770146,1646616,123530,7.0
2010,May,62.4,58.1,1771014,1649251,121763,6.9
2010,Jun,62.3,58.1,1770646,1650800,119846,6.8
2010,Jul,62.2,58.0,1769672,1651238,118434,6.7
2010,Aug,62.1,58.0,1768714,1651115,117599,6.6
2010,Sep,62.0,57.9,1767697,1650791,116906,6.6
2010,Oct,62.0,57.9,1766887,1650941,115946,6.6
2010,Nov,61.9,57.9,1766457,1651964,114493,6.5
2010,Dec,61.9,57.9,1766175,1653805,112370,6.4
2011,Jan,61.8,58.0,1766062,1656299,109763,6.2
2011,Feb,61.8,58.0,1765950,1658841,107109,6.1
2011,Mar,61.7,58.1,1765628,1660769,104859,5.9
2011,Apr,61.7,58.1,1765413,1662020,103393,5.9
2011,May,61.7,58.1,1765957,1663035,102922,5.8
2011,Jun,61.7,58.1,1767483,1664294,103189,5.8
2011,Jul,61.7,58.1,1770025,1666276,103749,5.9
2011,Aug,61.8,58.2,1773419,1669161,104258,5.9
2011,Sep,61.9,58.2,1777402,1673050,104352,5.9
2011,Oct,62.0,58.3,1781588,1677833,103755,5.8
2011,Nov,62.0,58.5,1785444,1683016,102428,5.7
2011,Dec,62.1,58.6,1788652,1688127,100525,5.6
2012,Jan,62.2,58.7,1791292,1692991,98301,5.5
2012,Feb,62.2,58.9,1793798,1697668,96130,5.4
2012,Mar,62.2,59.0,1796310,1701839,94471,5.3
2012,Apr,62.3,59.0,1798586,1705050,93536,5.2
2012,May,62.3,59.1,1800770,1707487,93283,5.2
2012,Jun,62.3,59.1,1803132,1709691,93441,5.2
2012,Jul,62.4,59.1,1805752,1712096,93656,5.2
2012,Aug,62.4,59.2,1808483,1714606,93877,5.2
2012,Sep,62.4,59.2,1810949,1716687,94262,5.2
2012,Oct,62.4,59.2,1812407,1717573,94834,5.2
2012,Nov,62.4,59.1,1812407,1716847,95560,5.3
2012,Dec,62.3,59.0,1811131,1714754,96377,5.3
2013,Jan,62.1,58.8,1807341,1711853,95488,5.3
2013,Feb,62.0,58.7,1805240,1709016,96224,5.3
2013,Mar,61.9,58.6,1803826,1707237,96589,5.4
2013,Apr,61.9,58.6,1803639,1707121,96518,5.4
2013,May,61.8,58.5,1804215,1708011,96204,5.3
2013,Jun,61.8,58.5,1804808,1708896,95912,5.3
2013,Jul,61.8,58.5,1804774,1709059,95715,5.3
2013,Aug,61.7,58.4,1803680,1708323,95357,5.3
2013,Sep,61.6,58.3,1801696,1707017,94679,5.3
2013,Oct,61.4,58.2,1799409,1705549,93860,5.2
2013,Nov,61.3,58.2,1797259,1704363,92896,5.2
2013,Dec,61.2,58.1,1795219,1703571,91648,5.1
2014,Jan,61.2,58.1,1794594,1704523,90071,5.0
2014,Feb,61.1,58.1,1792744,1704867,87877,4.9
2014,Mar,61.0,58.1,1791189,1705585,85604,4.8
2014,Apr,60.9,58.1,1790041,1706533,83508,4.7
2014,May,60.9,58.1,1789757,1708164,81593,4.6
2014,Jun,60.8,58.1,1790984,1711052,79932,4.5
2014,Jul,60.9,58.2,1793663,1715072,78591,4.4
2014,Aug,61.0,58.3,1797684,1720105,77579,4.3
2014,Sep,61.1,58.5,1802671,1725867,76804,4.3
2014,Oct,61.2,58.6,1807931,1731847,76084,4.2
2014,Nov,61.3,58.8,1812911,1737409,75502,4.2
2014,Dec,61.5,58.9,1817675,1742235,75440,4.2
2015,Jan,61.5,59.0,1821827,1745942,75885,4.2
2015,Feb,61.7,59.0,1826108,1748834,77274,4.2
2015,Mar,61.7,59.1,1829902,1750933,78969,4.3
2015,Apr,61.8,59.1,1832855,1752373,80482,4.4
2015,May,61.8,59.1,1834597,1753129,81468,4.4
