Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,62.4,55.9,3054356,2735355,319001,10.4
2010,Feb,62.6,56.2,3066213,2750126,316087,10.3
2010,Mar,62.7,56.4,3075346,2764750,310596,10.1
2010,Apr,62.7,56.5,3081216,2777976,303240,9.8
2010,May,62.7,56.7,3084496,2789401,295095,9.6
2010,Jun,62.7,56.8,3086643,2798311,288332,9.3
2010,Jul,62.7,56.9,3089678,2804779,284899,9.2
2010,Aug,62.7,56.9,3094806,2809696,285110,9.2
2010,Sep,62.8,57.0,3101550,2813356,288194,9.3
2010,Oct,62.9,57.0,3109106,2816726,292380,9.4
2010,Nov,63.0,57.0,3115946,2820233,295713,9.5
2010,Dec,63.0,57.0,3120787,2823808,296979,9.5
2011,Jan,63.1,57.1,3124117,2827712,296405,9.5
2011,Feb,63.1,57.1,3126043,2831472,294571,9.4
2011,Mar,63.0,57.1,3126059,2834304,291755,9.3
2011,Apr,63.0,57.1,3124545,2835688,288857,9.2
2011,May,62.9,57.1,3123126,2836330,286796,9.2
2011,Jun,62.8,57.1,3122863,2837671,285192,9.1
2011,Jul,62.8,57.1,3124288,2841152,283136,9.1
2011,Aug,62.8,57.2,3126729,2846814,279915,9.0
2011,Sep,62.8,57.3,3128516,2853571,274945,8.8
2011,Oct,62.7,57.3,3128135,2859767,268368,8.6
2011,Nov,62.6,57.4,3124159,2863611,260548,8.3
2011,Dec,62.4,57.3,3116606,2864164,252442,8.1
2012,Jan,62.2,57.3,3107367,2861807,245560,7.9
2012,Feb,62.0,57.1,3099614,2858152,241462,7.8
2012,Mar,61.8,57.0,3095423,2854380,241043,7.8
2012,Apr,61.8,56.9,3094396,2851425,242971,7.9
2012,May,61.8,56.9,3096056,2850683,245373,7.9
2012,Jun,61.8,56.9,3099123,2852564,246559,8.0
2012,Jul,61.8,56.9,3101941,2856431,245510,7.9
2012,Aug,61.8,56.9,3104165,2861135,243030,7.8
2012,Sep,61.8,57.0,3106102,2865405,240697,7.7
2012,Oct,61.7,57.0,3106890,2867305,239585,7.7
2012,Nov,61.7,56.9,3106236,2865816,240420,7.7
2012,Dec,61.6,56.8,3104212,2861299,242913,7.8
2013,Jan,61.5,56.6,3100704,2854608,246096,7.9
2013,Feb,61.4,56.4,3096126,2847440,248686,8.0
2013,Mar,61.2,56.3,3091218,2841783,249435,8.1
2013,Apr,61.1,56.2,3087054,2838906,248148,8.0
2013,May,61.0,56.1,3082793,2837130,245663,8.0
2013,Jun,60.8,56.0,3077449,2834469,242980,7.9
2013,Jul,60.6,55.9,3070706,2830075,240631,7.8
2013,Aug,60.4,55.7,3061555,2824144,237411,7.8
2013,Sep,60.1,55.6,3050317,2817923,232394,7.6
2013,Oct,59.9,55.4,3039438,2813191,226247,7.4
2013,Nov,59.7,55.3,3030812,2811106,219706,7.2
2013,Dec,59.5,55.3,3024807,2811443,213364,7.1
2014,Jan,59.4,55.4,3022944,2815933,207011,6.8
2014,Feb,59.4,55.4,3021307,2818558,202749,6.7
2014,Mar,59.3,55.4,3020503,2819891,200612,6.6
2014,Apr,59.2,55.3,3019514,2818976,200538,6.6
2014,May,59.2,55.2,3018414,2817145,201269,6.7
2014,Jun,59.1,55.2,3018281,2816610,201671,6.7
2014,Jul,59.1,55.2,3019151,2817933,201218,6.7
2014,Aug,59.1,55.2,3021685,2821566,200119,6.6
2014,Sep,59.1,55.3,3026100,2827381,198719,6.6
2014,Oct,59.2,55.3,3031307,2834731,196576,6.5
2014,Nov,59.2,55.5,3036539,2842886,193653,6.4
2014,Dec,59.3,55.6,3042288,2851565,190723,6.3
2015,Jan,59.3,55.6,3044305,2855925,188380,6.2
2015,Feb,59.4,55.7,3050181,2863732,186449,6.1
2015,Mar,59.4,55.8,3055134,2870784,184350,6.0
2015,Apr,59.5,55.9,3058341,2876668,181673,5.9
2015,May,59.4,56.0,3059076,2880667,178409,5.8
2015,Jun,59.3,55.9,3057336,2882651,174685,5.7
2015,Jul,59.2,55.9,3054771,2883967,170804,5.6
2015,Aug,59.2,55.9,3053271,2886391,166880,5.5
2015,Sep,59.1,56.0,3054163,2891506,162657,5.3
2015,Oct,59.1,56.1,3058683,2900304,158379,5.2
2015,Nov,59.2,56.3,3066564,2912026,154538,5.0
2015,Dec,59.4,56.5,3075769,2924671,151098,4.9
2016,Jan,59.5,56.6,3084435,2936397,148038,4.8
2016,Feb,59.6,56.8,3091802,2946061,145741,4.7
2016,Mar,59.7,56.9,3098004,2953586,144418,4.7
2016,Apr,59.7,56.9,3104148,2959792,144356,4.7
2016,May,59.8,57.0,3111430,2965923,145507,4.7
2016,Jun,59.9,57.1,3120065,2972794,147271,4.7
2016,Jul,60.1,57.2,3129351,2980473,148878,4.8
2016,Aug,60.2,57.3,3138109,2988032,150077,4.8
2016,Sep,60.2,57.3,3145290,2994393,150897,4.8
2016,Oct,60.3,57.4,3150157,2999227,150930,4.8
2016,Nov,60.3,57.4,3153153,3003560,149593,4.7
2016,Dec,60.2,57.4,3155303,3008622,146681,4.6
2017,Jan,60.2,57.5,3157342,3014969,142373,4.5
2017,Feb,60.2,57.6,3159650,3022805,136845,4.3
2017,Mar,60.2,57.7,3162582,3031826,130756,4.1
2017,Apr,60.3,57.9,3167000,3042293,124707,3.9
2017,May,60.3,58.1,3173238,3054059,119179,3.8
2017,Jun,60.4,58.2,3180801,3065895,114906,3.6
2017,Jul,60.5,58.4,3189009,3076714,112295,3.5
2017,Aug,60.6,58.5,3196661,3085631,111030,3.5
2017,Sep,60.7,58.6,3202968,3092243,110725,3.5
2017,Oct,60.7,58.6,3207815,3096685,111130,3.5
2017,Nov,60.7,58.6,3211390,3099333,112057,3.5
2017,Dec,60.7,58.6,3214570,3101384,113186,3.5
2018,Jan,60.7,58.6,3218699,3104315,114384,3.6
2018,Feb,60.8,58.6,3224656,3109171,115485,3.6
2018,Mar,60.9,58.7,3231944,3115677,116267,3.6
2018,Apr,61.0,58.8,3238744,3122149,116595,3.6
2018,May,61.0,58.8,3244194,3127605,116589,3.6
2018,Jun,61.1,58.9,3248953,3132762,116191,3.6
2018,Jul,61.1,58.9,3253724,3138439,115285,3.5
2018,Aug,61.1,59.0,3259658,3145441,114217,3.5
2018,Sep,61.2,59.1,3267423,3154263,113160,3.5
2018,Oct,61.4,59.3,3276966,3164697,112269,3.4
2018,Nov,61.5,59.4,3287799,3176027,111772,3.4
2018,Dec,61.7,59.6,3298883,3187014,111869,3.4
2019,Jan,61.8,59.7,3309011,3196491,112520,3.4
2019,Feb,61.9,59.8,3317224,3203692,113532,3.4
2019,Mar,62.0,59.8,3323775,3209094,114681,3.5
2019,Apr,62.0,59.9,3329501,3214083,115418,3.5
2019,May,62.1,59.9,3334950,3219522,115428,3.5
2019,Jun,62.1,60.0,3340529,3225744,114785,3.4
2019,Jul,62.2,60.1,3347516,3233754,113762,3.4
2019,Aug,62.3,60.2,3354688,3242107,112581,3.4
2019,Sep,62.3,60.3,3361680,3249964,111716,3.3
2019,Oct,62.4,60.3,3366977,3255560,111417,3.3
2019,Nov,62.3,60.3,3367604,3256017,111587,3.3
2019,Dec,62.3,60.2,3366970,3255159,111811,3.3
2020,Jan,62.2,60.2,3367254,3255324,111930,3.3
2020,Feb,62.2,60.0,3365849,3251528,114321,3.4
2020,Mar,62.3,60.2,3375134,3262392,112742,3.3
2020,Apr,59.4,50.2,3222468,2722847,499621,15.5
2020,May,60.6,53.9,3292225,2928570,363655,11.0
2020,Jun,58.3,52.6,3165539,2860166,305373,9.6
2020,Jul,57.9,52.3,3148062,2843697,304365,9.7
2020,Aug,62.4(P),57.1(P),3398828(P),3110408(P),288420(P),8.5(P)
