Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,59.0,52.1,2144182,1893169,251013,11.7
2010,Feb,58.9,52.1,2143881,1895920,247961,11.6
2010,Mar,58.9,52.2,2142133,1898914,243219,11.4
2010,Apr,59.6,53.2,2202028,1964959,237069,10.8
2010,May,59.9,53.7,2215715,1985529,230186,10.4
2010,Jun,59.8,53.8,2215606,1991532,224074,10.1
2010,Jul,59.7,53.8,2212806,1992510,220296,10.0
2010,Aug,59.6,53.7,2211477,1991908,219569,9.9
2010,Sep,59.6,53.7,2212523,1990948,221575,10.0
2010,Oct,59.7,53.6,2215139,1990369,224770,10.1
2010,Nov,59.7,53.6,2217545,1990270,227275,10.2
2010,Dec,59.7,53.6,2218306,1990304,228002,10.3
2011,Jan,59.7,53.5,2217245,1990151,227094,10.2
2011,Feb,59.6,53.5,2214781,1989525,225256,10.2
2011,Mar,59.5,53.5,2211546,1988337,223209,10.1
2011,Apr,59.4,53.4,2208494,1986912,221582,10.0
2011,May,59.3,53.4,2206536,1985926,220610,10.0
2011,Jun,59.2,53.3,2205399,1985894,219505,10.0
2011,Jul,59.2,53.4,2204490,1987195,217295,9.9
2011,Aug,59.1,53.4,2202706,1989639,213067,9.7
2011,Sep,59.0,53.4,2198917,1992593,206324,9.4
2011,Oct,58.8,53.5,2193291,1995331,197960,9.0
2011,Nov,58.6,53.5,2186335,1997246,189089,8.6
2011,Dec,58.4,53.5,2179075,1998090,180985,8.3
2012,Jan,58.2,53.5,2173177,1998157,175020,8.1
2012,Feb,58.1,53.5,2170249,1998044,172205,7.9
2012,Mar,58.1,53.4,2170701,1997949,172752,8.0
2012,Apr,58.1,53.4,2173301,1997920,175381,8.1
2012,May,58.2,53.4,2176682,1998414,178268,8.2
2012,Jun,58.2,53.4,2179696,1999858,179838,8.3
2012,Jul,58.2,53.5,2181117,2002056,179061,8.2
2012,Aug,58.2,53.5,2181066,2004772,176294,8.1
2012,Sep,58.2,53.6,2180876,2008050,172826,7.9
2012,Oct,58.1,53.6,2181018,2011534,169484,7.8
2012,Nov,58.1,53.7,2181645,2014832,166813,7.6
2012,Dec,58.1,53.7,2182661,2017815,164846,7.6
2013,Jan,58.1,53.7,2181055,2017941,163114,7.5
2013,Feb,58.0,53.7,2180812,2019734,161078,7.4
2013,Mar,58.0,53.8,2179552,2021069,158483,7.3
2013,Apr,57.9,53.8,2178107,2022206,155901,7.2
2013,May,57.9,53.8,2176524,2022526,153998,7.1
2013,Jun,57.8,53.7,2174765,2021523,153242,7.0
2013,Jul,57.7,53.6,2173167,2019444,153723,7.1
2013,Aug,57.6,53.5,2171405,2016769,154636,7.1
2013,Sep,57.6,53.4,2169270,2013925,155345,7.2
2013,Oct,57.5,53.3,2167625,2011611,156014,7.2
2013,Nov,57.5,53.3,2167180,2010357,156823,7.2
2013,Dec,57.4,53.3,2167665,2010100,157565,7.3
2014,Jan,57.4,53.3,2167589,2010442,157147,7.2
2014,Feb,57.4,53.3,2168122,2011318,156804,7.2
2014,Mar,57.4,53.3,2167611,2011797,155814,7.2
