Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,60.8,55.8,1344729,1234457,110272,8.2
2010,Feb,60.7,55.8,1345101,1234769,110332,8.2
2010,Mar,60.8,55.8,1346699,1236603,110096,8.2
2010,Apr,60.5,55.5,1349305,1239491,109814,8.1
2010,May,60.6,55.6,1352246,1242672,109574,8.1
2010,Jun,60.6,55.7,1354708,1245193,109515,8.1
2010,Jul,60.6,55.7,1356281,1246536,109745,8.1
2010,Aug,60.6,55.7,1357229,1246897,110332,8.1
2010,Sep,60.6,55.6,1357956,1246675,111281,8.2
2010,Oct,60.6,55.6,1358740,1246341,112399,8.3
2010,Nov,60.6,55.5,1359844,1246324,113520,8.3
2010,Dec,60.6,55.5,1361151,1246683,114468,8.4
2011,Jan,60.6,55.5,1362117,1246936,115181,8.5
2011,Feb,60.6,55.5,1362339,1246677,115662,8.5
2011,Mar,60.5,55.4,1361797,1245986,115811,8.5
2011,Apr,60.5,55.3,1360729,1245118,115611,8.5
2011,May,60.4,55.3,1359781,1244596,115185,8.5
2011,Jun,60.3,55.2,1359520,1244978,114542,8.4
2011,Jul,60.3,55.3,1360317,1246599,113718,8.4
2011,Aug,60.4,55.4,1361993,1249276,112717,8.3
2011,Sep,60.4,55.5,1363951,1252523,111428,8.2
2011,Oct,60.5,55.6,1365660,1255728,109932,8.0
2011,Nov,60.5,55.7,1366313,1258015,108298,7.9
2011,Dec,60.4,55.7,1365422,1258774,106648,7.8
2012,Jan,60.3,55.6,1363322,1258194,105128,7.7
2012,Feb,60.1,55.5,1360430,1256572,103858,7.6
2012,Mar,60.0,55.4,1357024,1254064,102960,7.6
2012,Apr,59.8,55.3,1353406,1250988,102418,7.6
2012,May,59.6,55.1,1349774,1247651,102123,7.6
2012,Jun,59.4,54.9,1345970,1244049,101921,7.6
2012,Jul,59.2,54.7,1341588,1239998,101590,7.6
2012,Aug,58.9,54.5,1336800,1235720,101080,7.6
2012,Sep,58.7,54.3,1332413,1231885,100528,7.5
2012,Oct,58.5,54.1,1328909,1228964,99945,7.5
2012,Nov,58.4,54.0,1326628,1227266,99362,7.5
2012,Dec,58.4,54.0,1325703,1226880,98823,7.5
2013,Jan,58.3,54.0,1325721,1227306,98415,7.4
2013,Feb,58.4,54.0,1326140,1227981,98159,7.4
2013,Mar,58.4,54.0,1326434,1228455,97979,7.4
2013,Apr,58.3,54.0,1326202,1228419,97783,7.4
2013,May,58.3,54.0,1325281,1227772,97509,7.4
2013,Jun,58.2,53.9,1324000,1226874,97126,7.3
2013,Jul,58.1,53.9,1322766,1226174,96592,7.3
2013,Aug,58.0,53.8,1321408,1225720,95688,7.2
2013,Sep,57.9,53.8,1319612,1225301,94311,7.1
2013,Oct,57.8,53.7,1317651,1224973,92678,7.0
2013,Nov,57.7,53.7,1315812,1224887,90925,6.9
2013,Dec,57.6,53.7,1314233,1225176,89057,6.8
2014,Jan,57.6,53.7,1313361,1226351,87010,6.6
2014,Feb,57.5,53.8,1312912,1227953,84959,6.5
2014,Mar,57.5,53.9,1312795,1229772,83023,6.3
2014,Apr,57.5,53.9,1312909,1231554,81355,6.2
2014,May,57.5,54.0,1313181,1233243,79938,6.1
2014,Jun,57.5,54.0,1313710,1234973,78737,6.0
2014,Jul,57.5,54.1,1314665,1236927,77738,5.9
2014,Aug,57.5,54.2,1316300,1239340,76960,5.8
2014,Sep,57.6,54.3,1318569,1242232,76337,5.8
2014,Oct,57.7,54.4,1321016,1245304,75712,5.7
2014,Nov,57.8,54.5,1323148,1248056,75092,5.7
2014,Dec,57.8,54.5,1324880,1250267,74613,5.6
2015,Jan,57.8,54.6,1326036,1252085,73951,5.6
2015,Feb,57.9,54.7,1327114,1253507,73607,5.5
