Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,70.1,64.3,2714266,2488218,226048,8.3
2010,Feb,70.1,64.2,2718865,2488580,230285,8.5
2010,Mar,70.2,64.1,2722791,2489213,233578,8.6
2010,Apr,70.8,64.7,2725446,2489593,235853,8.7
2010,May,70.8,64.6,2726694,2489552,237142,8.7
2010,Jun,70.7,64.5,2726542,2488575,237967,8.7
2010,Jul,70.6,64.4,2725775,2486711,239064,8.8
2010,Aug,70.5,64.3,2725309,2484727,240582,8.8
2010,Sep,70.4,64.1,2725176,2483000,242176,8.9
2010,Oct,70.3,64.0,2725408,2482187,243221,8.9
2010,Nov,70.2,63.9,2725575,2482569,243006,8.9
2010,Dec,70.1,63.9,2725739,2484035,241704,8.9
2011,Jan,70.0,63.8,2726142,2486606,239536,8.8
2011,Feb,69.9,63.8,2726295,2489803,236492,8.7
2011,Mar,69.8,63.8,2725870,2492959,232911,8.5
2011,Apr,69.7,63.8,2725243,2495652,229591,8.4
2011,May,69.6,63.8,2725485,2498260,227225,8.3
2011,Jun,69.6,63.8,2727538,2501595,225943,8.3
2011,Jul,69.6,63.8,2731838,2506281,225557,8.3
2011,Aug,69.6,63.9,2737851,2512064,225787,8.2
2011,Sep,69.7,63.9,2744437,2518200,226237,8.2
2011,Oct,69.7,64.0,2750277,2523717,226560,8.2
2011,Nov,69.7,64.0,2754113,2527589,226524,8.2
2011,Dec,69.6,63.9,2755211,2529433,225778,8.2
2012,Jan,69.5,63.8,2754132,2529588,224544,8.2
2012,Feb,69.4,63.7,2752543,2529062,223481,8.1
2012,Mar,69.3,63.7,2751340,2528560,222780,8.1
2012,Apr,69.2,63.6,2750712,2528512,222200,8.1
2012,May,69.1,63.5,2751221,2529773,221448,8.0
2012,Jun,69.0,63.5,2753000,2532746,220254,8.0
2012,Jul,69.0,63.5,2755737,2537362,218375,7.9
2012,Aug,69.0,63.6,2759167,2543095,216072,7.8
2012,Sep,68.9,63.6,2763026,2549191,213835,7.7
2012,Oct,68.9,63.6,2766298,2554638,211660,7.7
2012,Nov,68.9,63.6,2768164,2558745,209419,7.6
2012,Dec,68.8,63.6,2768370,2561350,207020,7.5
2013,Jan,68.6,63.6,2767274,2562697,204577,7.4
2013,Feb,68.5,63.5,2765868,2563642,202226,7.3
2013,Mar,68.4,63.5,2765227,2565296,199931,7.2
2013,Apr,68.3,63.5,2766087,2568489,197598,7.1
2013,May,68.3,63.5,2767770,2572419,195351,7.1
2013,Jun,68.2,63.5,2769223,2576118,193105,7.0
2013,Jul,68.1,63.4,2769763,2579207,190556,6.9
2013,Aug,68.0,63.4,2769026,2581863,187163,6.8
2013,Sep,67.8,63.4,2767659,2584827,182832,6.6
2013,Oct,67.7,63.4,2767060,2588943,178117,6.4
2013,Nov,67.7,63.4,2768743,2595010,173733,6.3
2013,Dec,67.7,63.5,2772991,2603132,169859,6.1
2014,Jan,67.8,63.7,2781177,2615291,165886,6.0
2014,Feb,67.8,63.9,2787334,2625732,161602,5.8
2014,Mar,67.9,64.0,2792856,2636069,156787,5.6
2014,Apr,67.9,64.2,2796938,2645435,151503,5.4
2014,May,67.8,64.3,2799663,2653932,145731,5.2
2014,Jun,67.8,64.4,2801950,2662096,139854,5.0
2014,Jul,67.7,64.5,2804294,2669823,134471,4.8
2014,Aug,67.6,64.5,2807159,2677061,130098,4.6
2014,Sep,67.6,64.5,2810417,2683613,126804,4.5
2014,Oct,67.5,64.5,2813456,2689100,124356,4.4
2014,Nov,67.4,64.5,2815523,2693174,122349,4.3
2014,Dec,67.4,64.5,2816915,2696168,120747,4.3
