Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,68.8,62.6,1896872,1726968,169904,9.0
2010,Feb,68.9,62.6,1899771,1728256,171515,9.0
2010,Mar,69.0,62.7,1903190,1730684,172506,9.1
2010,Apr,68.0,61.9,1906859,1733838,173021,9.1
2010,May,68.1,61.9,1910490,1737260,173230,9.1
2010,Jun,68.2,62.0,1913669,1740215,173454,9.1
2010,Jul,68.2,62.0,1916044,1742076,173968,9.1
2010,Aug,68.2,62.0,1917663,1742854,174809,9.1
2010,Sep,68.2,61.9,1918752,1742905,175847,9.2
2010,Oct,68.2,61.9,1919693,1742799,176894,9.2
2010,Nov,68.2,61.9,1920583,1742922,177661,9.3
2010,Dec,68.2,61.8,1921281,1743364,177917,9.3
2011,Jan,68.1,61.8,1921839,1744160,177679,9.2
2011,Feb,68.1,61.8,1921980,1744996,176984,9.2
2011,Mar,68.1,61.8,1921262,1745441,175821,9.2
2011,Apr,68.0,61.8,1919579,1745305,174274,9.1
2011,May,67.8,61.7,1917323,1744842,172481,9.0
2011,Jun,67.7,61.7,1915006,1744519,170487,8.9
2011,Jul,67.6,61.7,1913148,1744791,168357,8.8
2011,Aug,67.5,61.7,1911831,1745675,166156,8.7
2011,Sep,67.4,61.7,1910755,1746903,163852,8.6
2011,Oct,67.4,61.7,1909728,1748159,161569,8.5
2011,Nov,67.3,61.7,1908451,1748916,159535,8.4
2011,Dec,67.2,61.6,1906593,1748647,157946,8.3
2012,Jan,67.1,61.6,1904057,1747131,156926,8.2
2012,Feb,67.0,61.4,1901053,1744475,156578,8.2
2012,Mar,66.8,61.3,1897790,1740795,156995,8.3
2012,Apr,66.7,61.1,1894278,1736266,158012,8.3
2012,May,66.5,60.9,1890828,1731589,159239,8.4
2012,Jun,66.4,60.7,1887726,1727535,160191,8.5
2012,Jul,66.2,60.6,1885184,1724752,160432,8.5
2012,Aug,66.1,60.5,1883167,1723301,159866,8.5
2012,Sep,66.1,60.5,1881296,1722549,158747,8.4
2012,Oct,65.9,60.4,1878778,1721522,157256,8.4
2012,Nov,65.8,60.3,1875155,1719640,155515,8.3
2012,Dec,65.6,60.2,1870703,1716939,153764,8.2
2013,Jan,65.4,60.1,1866104,1713860,152244,8.2
2013,Feb,65.3,60.0,1862393,1711389,151004,8.1
2013,Mar,65.2,60.0,1860344,1710431,149913,8.1
2013,Apr,65.2,60.0,1860317,1711456,148861,8.0
2013,May,65.2,60.0,1861705,1713811,147894,7.9
2013,Jun,65.3,60.1,1863418,1716463,146955,7.9
2013,Jul,65.3,60.2,1864609,1718658,145951,7.8
2013,Aug,65.3,60.2,1864989,1720349,144640,7.8
2013,Sep,65.2,60.2,1865002,1722150,142852,7.7
2013,Oct,65.2,60.3,1865500,1724658,140842,7.5
2013,Nov,65.3,60.4,1867073,1728285,138788,7.4
2013,Dec,65.3,60.6,1869727,1733041,136686,7.3
2014,Jan,65.3,60.7,1870139,1736172,133967,7.2
2014,Feb,65.4,60.8,1873306,1741488,131818,7.0
2014,Mar,65.5,61.0,1876503,1746729,129774,6.9
2014,Apr,65.6,61.2,1879504,1751638,127866,6.8
2014,May,65.7,61.3,1882429,1756345,126084,6.7
2014,Jun,65.8,61.4,1885754,1761165,124589,6.6
2014,Jul,65.9,61.6,1889431,1765985,123446,6.5
2014,Aug,66.0,61.7,1893216,1770665,122551,6.5
2014,Sep,66.1,61.9,1896814,1775082,121732,6.4
2014,Oct,66.2,62.0,1899772,1779108,120664,6.4
2014,Nov,66.3,62.1,1901754,1782489,119265,6.3
2014,Dec,66.3,62.2,1902795,1785104,117691,6.2
2015,Jan,66.3,62.3,1902592,1786748,115844,6.1
2015,Feb,66.3,62.3,1901733,1787720,114013,6.0
2015,Mar,66.2,62.3,1899832,1787695,112137,5.9
2015,Apr,66.1,62.3,1896966,1786668,110298,5.8
2015,May,66.0,62.2,1893306,1784745,108561,5.7
2015,Jun,65.8,62.1,1889106,1782120,106986,5.7
2015,Jul,65.7,62.0,1885082,1779287,105795,5.6
2015,Aug,65.5,61.9,1881888,1776763,105125,5.6
2015,Sep,65.5,61.8,1879744,1774936,104808,5.6
2015,Oct,65.4,61.8,1878867,1774216,104651,5.6
2015,Nov,65.4,61.8,1879195,1774740,104455,5.6
2015,Dec,65.5,61.8,1880209,1776264,103945,5.5
2016,Jan,65.5,61.9,1881587,1778448,103139,5.5
2016,Feb,65.6,62.0,1883269,1781074,102195,5.4
2016,Mar,65.6,62.1,1885281,1784062,101219,5.4
2016,Apr,65.7,62.2,1887611,1787256,100355,5.3
2016,May,65.8,62.3,1890173,1790551,99622,5.3
2016,Jun,65.9,62.4,1892592,1793792,98800,5.2
2016,Jul,65.9,62.5,1894467,1796841,97626,5.2
2016,Aug,66.0,62.6,1895782,1799624,96158,5.1
2016,Sep,66.0,62.7,1896838,1802158,94680,5.0
2016,Oct,66.0,62.8,1897845,1804511,93334,4.9
2016,Nov,66.1,62.8,1899217,1806906,92311,4.9
2016,Dec,66.1,62.9,1901230,1809412,91818,4.8
2017,Jan,66.2,63.0,1903526,1811745,91781,4.8
2017,Feb,66.3,63.1,1905362,1813502,91860,4.8
2017,Mar,66.3,63.1,1905939,1814156,91783,4.8
2017,Apr,66.2,63.1,1905002,1813667,91335,4.8
2017,May,66.2,63.0,1902767,1812276,90491,4.8
2017,Jun,66.0,62.9,1899739,1810231,89508,4.7
2017,Jul,65.9,62.8,1896542,1807896,88646,4.7
2017,Aug,65.8,62.7,1893535,1805569,87966,4.6
2017,Sep,65.7,62.7,1891058,1803573,87485,4.6
2017,Oct,65.6,62.6,1889371,1802204,87167,4.6
2017,Nov,65.6,62.6,1888351,1801515,86836,4.6
2017,Dec,65.6,62.6,1887951,1801694,86257,4.6
2018,Jan,65.6,62.6,1888333,1802920,85413,4.5
2018,Feb,65.6,62.7,1889624,1805271,84353,4.5
2018,Mar,65.7,62.8,1891731,1808623,83108,4.4
2018,Apr,65.7,62.9,1894234,1812494,81740,4.3
2018,May,65.8,63.0,1896821,1816459,80362,4.2
2018,Jun,65.9,63.2,1899539,1820549,78990,4.2
2018,Jul,66.0,63.3,1902384,1824743,77641,4.1
2018,Aug,66.1,63.4,1905267,1828804,76463,4.0
2018,Sep,66.2,63.5,1907801,1832288,75513,4.0
2018,Oct,66.2,63.6,1909496,1834684,74812,3.9
2018,Nov,66.2,63.7,1909960,1835758,74202,3.9
2018,Dec,66.2,63.6,1908987,1835491,73496,3.9
2019,Jan,66.1,63.6,1906788,1834176,72612,3.8
2019,Feb,66.0,63.6,1904004,1832424,71580,3.8
2019,Mar,66.0,63.5,1901736,1831118,70618,3.7
2019,Apr,65.9,63.5,1901072,1831159,69913,3.7
2019,May,66.0,63.6,1902550,1832938,69612,3.7
2019,Jun,66.1,63.7,1906099,1836251,69848,3.7
2019,Jul,66.3,63.9,1911681,1841106,70575,3.7
2019,Aug,66.5,64.0,1917687,1846263,71424,3.7
2019,Sep,66.7,64.2,1923109,1851012,72097,3.7
2019,Oct,66.8,64.3,1926753,1854295,72458,3.8
2019,Nov,66.8,64.3,1926916,1854543,72373,3.8
2019,Dec,66.8,64.3,1926276,1853997,72279,3.8
2020,Jan,66.9,64.4,1929340,1857116,72224,3.7
2020,Feb,66.9,64.4,1930453,1857872,72581,3.8
2020,Mar,66.9,64.6,1930836,1865216,65620,3.4
2020,Apr,61.6,56.5,1776603,1629265,147338,8.3
2020,May,61.6,55.7,1777004,1606697,170307,9.6
2020,Jun,65.1,58.6,1879811,1690747,189064,10.1
2020,Jul,65.8,59.1,1900497,1706203,194294,10.2
2020,Aug,64.7(P),59.4(P),1866891(P),1715951(P),150940(P),8.1(P)
