Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,65.1,58.3,4792496,4289733,502763,10.5
2010,Feb,63.8,57.0,4699011,4199161,499850,10.6
2010,Mar,63.4,56.7,4674480,4179456,495024,10.6
2010,Apr,64.2,57.4,4669893,4179931,489962,10.5
2010,May,64.1,57.5,4670823,4185382,485441,10.4
2010,Jun,64.1,57.5,4673422,4190456,482966,10.3
2010,Jul,64.1,57.4,4677782,4193763,484019,10.3
2010,Aug,64.1,57.4,4684376,4195887,488489,10.4
2010,Sep,64.1,57.4,4691739,4197433,494306,10.5
2010,Oct,64.2,57.3,4698737,4199836,498901,10.6
2010,Nov,64.2,57.3,4704274,4203785,500489,10.6
2010,Dec,64.2,57.4,4708131,4209434,498697,10.6
2011,Jan,64.2,57.4,4711909,4216993,494916,10.5
2011,Feb,64.2,57.5,4716445,4225541,490904,10.4
2011,Mar,64.2,57.6,4721391,4233713,487678,10.3
2011,Apr,64.2,57.6,4727041,4240677,486364,10.3
2011,May,64.3,57.6,4734686,4246820,487866,10.3
2011,Jun,64.3,57.7,4744120,4253512,490608,10.3
2011,Jul,64.4,57.7,4754219,4262111,492108,10.4
2011,Aug,64.5,57.8,4763808,4272812,490996,10.3
2011,Sep,64.5,57.9,4771878,4284901,486977,10.2
2011,Oct,64.5,58.0,4778084,4297025,481059,10.1
2011,Nov,64.5,58.1,4781837,4307505,474332,9.9
2011,Dec,64.4,58.1,4783117,4315397,467720,9.8
2012,Jan,64.4,58.1,4783176,4321220,461956,9.7
2012,Feb,64.3,58.2,4784093,4326397,457696,9.6
2012,Mar,64.3,58.2,4786203,4331046,455157,9.5
2012,Apr,64.2,58.1,4787780,4334976,452804,9.5
2012,May,64.2,58.1,4788509,4339280,449229,9.4
2012,Jun,64.1,58.1,4788789,4344755,444034,9.3
2012,Jul,64.0,58.2,4788888,4351369,437519,9.1
2012,Aug,64.0,58.2,4789528,4358490,431038,9.0
2012,Sep,63.9,58.2,4791180,4365122,426058,8.9
2012,Oct,63.9,58.2,4791998,4369522,422476,8.8
2012,Nov,63.8,58.2,4790509,4370629,419880,8.8
2012,Dec,63.7,58.1,4786110,4368574,417536,8.7
2013,Jan,63.6,58.1,4784092,4368873,415219,8.7
2013,Feb,63.5,58.0,4776080,4363850,412230,8.6
2013,Mar,63.3,57.9,4769314,4361032,408282,8.6
2013,Apr,63.2,57.9,4765488,4362061,403427,8.5
2013,May,63.1,57.9,4763632,4365206,398426,8.4
2013,Jun,63.1,57.8,4761816,4368131,393685,8.3
2013,Jul,63.0,57.8,4758794,4369634,389160,8.2
2013,Aug,62.8,57.7,4753285,4369676,383609,8.1
2013,Sep,62.7,57.7,4745704,4369134,376570,7.9
2013,Oct,62.5,57.6,4739064,4369491,369573,7.8
2013,Nov,62.4,57.6,4735656,4372080,363576,7.7
2013,Dec,62.3,57.6,4735546,4376785,358761,7.6
2014,Jan,62.1,57.5,4726956,4373230,353726,7.5
2014,Feb,62.1,57.5,4729303,4379438,349865,7.4
2014,Mar,62.1,57.5,4731773,4384441,347332,7.3
2014,Apr,62.1,57.5,4733556,4387243,346313,7.3
2014,May,62.0,57.5,4734814,4389356,345458,7.3
2014,Jun,62.0,57.5,4736889,4393203,343686,7.3
2014,Jul,61.9,57.5,4739528,4399189,340339,7.2
2014,Aug,61.9,57.5,4742889,4407516,335373,7.1
2014,Sep,61.9,57.6,4746854,4417659,329195,6.9
2014,Oct,61.8,57.6,4749902,4428148,321754,6.8
2014,Nov,61.8,57.7,4751105,4437331,313774,6.6
2014,Dec,61.7,57.7,4752078,4445016,307062,6.5
2015,Jan,61.6,57.7,4748803,4445723,303080,6.4
2015,Feb,61.6,57.7,4751772,4451188,300584,6.3
2015,Mar,61.6,57.7,4755537,4456948,298589,6.3
2015,Apr,61.5,57.7,4759405,4463390,296015,6.2
2015,May,61.5,57.7,4762195,4469733,292462,6.1
2015,Jun,61.4,57.7,4763178,4475201,287977,6.0
2015,Jul,61.4,57.7,4763659,4480434,283225,5.9
2015,Aug,61.3,57.7,4765560,4486687,278873,5.9
2015,Sep,61.3,57.8,4770601,4495676,274925,5.8
2015,Oct,61.3,57.9,4780898,4509137,271761,5.7
2015,Nov,61.5,58.0,4796810,4526995,269815,5.6
2015,Dec,61.6,58.2,4815799,4547331,268468,5.6
2016,Jan,61.8,58.4,4834723,4567840,266883,5.5
2016,Feb,61.9,58.5,4851945,4586811,265134,5.5
2016,Mar,62.0,58.7,4866685,4603473,263212,5.4
2016,Apr,62.1,58.8,4879584,4618035,261549,5.4
2016,May,62.2,58.9,4892540,4631611,260929,5.3
2016,Jun,62.3,59.0,4906531,4644985,261546,5.3
2016,Jul,62.4,59.1,4921529,4658552,262977,5.3
2016,Aug,62.5,59.2,4936866,4671982,264884,5.4
2016,Sep,62.6,59.2,4951558,4684588,266970,5.4
2016,Oct,62.7,59.3,4964333,4696231,268102,5.4
2016,Nov,62.8,59.4,4975347,4708188,267159,5.4
2016,Dec,62.8,59.5,4985686,4721455,264231,5.3
2017,Jan,62.9,59.6,4996271,4736145,260126,5.2
2017,Feb,63.0,59.8,5007182,4751931,255251,5.1
2017,Mar,63.0,59.9,5017944,4767674,250270,5.0
2017,Apr,63.1,60.0,5029137,4783506,245631,4.9
2017,May,63.2,60.2,5040587,4799555,241032,4.8
2017,Jun,63.2,60.3,5051610,4814938,236672,4.7
2017,Jul,63.3,60.4,5061746,4828823,232923,4.6
2017,Aug,63.3,60.5,5069767,4840222,229545,4.5
2017,Sep,63.3,60.5,5075111,4848794,226317,4.5
2017,Oct,63.3,60.5,5078141,4854838,223303,4.4
2017,Nov,63.3,60.5,5079195,4858501,220694,4.3
2017,Dec,63.2,60.5,5079132,4861087,218045,4.3
2018,Jan,63.1,60.5,5079500,4864151,215349,4.2
2018,Feb,63.1,60.5,5081503,4868724,212779,4.2
2018,Mar,63.1,60.5,5084498,4874374,210124,4.1
2018,Apr,63.0,60.5,5085773,4878845,206928,4.1
2018,May,62.9,60.4,5083973,4880642,203331,4.0
2018,Jun,62.8,60.4,5080086,4880535,199551,3.9
2018,Jul,62.7,60.3,5075575,4879741,195834,3.9
2018,Aug,62.6,60.2,5072981,4879769,193212,3.8
2018,Sep,62.5,60.2,5073808,4881688,192120,3.8
2018,Oct,62.5,60.1,5077828,4885507,192321,3.8
2018,Nov,62.5,60.1,5083564,4890498,193066,3.8
2018,Dec,62.5,60.1,5088671,4895143,193528,3.8
2019,Jan,62.5,60.1,5091021,4898096,192925,3.8
