Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,64.3,59.7,633386,588348,45038,7.1
2010,Feb,64.5,59.9,635460,590772,44688,7.0
2010,Mar,64.7,60.2,638106,593618,44488,7.0
2010,Apr,61.7,57.4,641085,596613,44472,6.9
2010,May,61.9,57.6,644088,599477,44611,6.9
2010,Jun,62.1,57.8,646940,602056,44884,6.9
2010,Jul,62.2,57.9,649539,604352,45187,7.0
2010,Aug,62.3,58.0,651813,606417,45396,7.0
2010,Sep,62.5,58.1,653823,608354,45469,7.0
2010,Oct,62.6,58.3,655746,610345,45401,6.9
2010,Nov,62.7,58.4,657619,612429,45190,6.9
2010,Dec,62.8,58.5,659367,614455,44912,6.8
2011,Jan,62.9,58.6,660878,616210,44668,6.8
2011,Feb,63.0,58.7,661975,617480,44495,6.7
2011,Mar,62.9,58.7,662537,618118,44419,6.7
2011,Apr,62.9,58.7,662598,618126,44472,6.7
2011,May,62.8,58.6,662280,617623,44657,6.7
2011,Jun,62.7,58.5,661708,616779,44929,6.8
2011,Jul,62.6,58.3,661013,615789,45224,6.8
2011,Aug,62.5,58.2,660222,614761,45461,6.9
2011,Sep,62.3,58.0,659208,613689,45519,6.9
2011,Oct,62.1,57.8,657897,612521,45376,6.9
2011,Nov,61.9,57.7,656316,611242,45074,6.9
2011,Dec,61.7,57.5,654557,609940,44617,6.8
2012,Jan,61.5,57.4,652737,608722,44015,6.7
2012,Feb,61.3,57.2,650981,607650,43331,6.7
2012,Mar,61.1,57.1,649380,606805,42575,6.6
2012,Apr,60.9,57.0,648004,606292,41712,6.4
2012,May,60.8,57.0,646905,606172,40733,6.3
2012,Jun,60.7,56.9,646109,606476,39633,6.1
2012,Jul,60.6,57.0,645600,607153,38447,6.0
2012,Aug,60.5,57.0,645340,608092,37248,5.8
2012,Sep,60.5,57.1,645309,609187,36122,5.6
2012,Oct,60.4,57.2,645403,610281,35122,5.4
2012,Nov,60.4,57.2,645533,611255,34278,5.3
2012,Dec,60.4,57.2,645678,612064,33614,5.2
2013,Jan,60.3,57.2,645877,612783,33094,5.1
2013,Feb,60.3,57.3,646236,613585,32651,5.1
2013,Mar,60.4,57.3,646805,614550,32255,5.0
2013,Apr,60.4,57.4,647585,615685,31900,4.9
2013,May,60.4,57.5,648595,616980,31615,4.9
2013,Jun,60.5,57.6,649820,618374,31446,4.8
2013,Jul,60.6,57.7,651268,619844,31424,4.8
2013,Aug,60.7,57.8,652939,621437,31502,4.8
2013,Sep,60.9,57.9,654749,623139,31610,4.8
2013,Oct,61.0,58.1,656561,624895,31666,4.8
2013,Nov,61.2,58.2,658284,626679,31605,4.8
2013,Dec,61.3,58.4,659842,628445,31397,4.8
2014,Jan,61.3,58.4,660487,629478,31009,4.7
2014,Feb,61.4,58.6,661607,630998,30609,4.6
2014,Mar,61.5,58.7,662647,632399,30248,4.6
2014,Apr,61.5,58.8,663661,633712,29949,4.5
2014,May,61.6,58.9,664619,634978,29641,4.5
2014,Jun,61.7,59.0,665525,636257,29268,4.4
2014,Jul,61.7,59.0,666335,637494,28841,4.3
2014,Aug,61.7,59.1,667034,638632,28402,4.3
2014,Sep,61.8,59.2,667668,639674,27994,4.2
2014,Oct,61.8,59.2,668290,640647,27643,4.1
2014,Nov,61.8,59.3,668912,641566,27346,4.1
2014,Dec,61.8,59.3,669552,642477,27075,4.0
2015,Jan,61.9,59.4,670037,643262,26775,4.0
2015,Feb,61.9,59.4,670669,644276,26393,3.9
2015,Mar,61.9,59.5,671270,645400,25870,3.9
2015,Apr,62.0,59.6,671883,646611,25272,3.8
2015,May,62.0,59.7,672531,647848,24683,3.7
2015,Jun,62.0,59.8,673202,649060,24142,3.6
2015,Jul,62.1,59.9,673942,650288,23654,3.5
2015,Aug,62.1,59.9,674760,651571,23189,3.4
2015,Sep,62.1,60.0,675591,652891,22700,3.4
2015,Oct,62.2,60.1,676414,654236,22178,3.3
2015,Nov,62.2,60.2,677189,655529,21660,3.2
