Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,71.6,67.1,1677700,1571136,106564,6.4
2010,Feb,71.7,67.1,1678413,1572916,105497,6.3
2010,Mar,71.6,67.2,1678977,1574961,104016,6.2
2010,Apr,71.2,66.9,1679141,1576713,102428,6.1
2010,May,71.2,66.9,1678850,1577916,100934,6.0
2010,Jun,71.1,66.9,1678125,1578456,99669,5.9
2010,Jul,71.0,66.8,1677463,1578577,98886,5.9
2010,Aug,71.0,66.8,1677309,1578729,98580,5.9
2010,Sep,70.9,66.8,1677717,1579134,98583,5.9
2010,Oct,70.9,66.8,1678395,1579883,98512,5.9
2010,Nov,70.9,66.8,1678737,1580655,98082,5.8
2010,Dec,70.9,66.7,1678150,1580931,97219,5.8
2011,Jan,70.7,66.7,1676439,1580360,96079,5.7
2011,Feb,70.6,66.6,1673701,1578838,94863,5.7
2011,Mar,70.4,66.5,1670235,1576542,93693,5.6
2011,Apr,70.2,66.3,1666505,1573767,92738,5.6
2011,May,70.1,66.2,1663044,1570898,92146,5.5
2011,Jun,69.9,66.0,1660285,1568386,91899,5.5
2011,Jul,69.8,65.9,1658330,1566490,91840,5.5
2011,Aug,69.7,65.8,1657051,1565320,91731,5.5
2011,Sep,69.6,65.8,1656336,1564954,91382,5.5
2011,Oct,69.6,65.8,1656036,1565346,90690,5.5
2011,Nov,69.5,65.8,1655845,1566263,89582,5.4
2011,Dec,69.5,65.8,1655530,1567422,88108,5.3
2012,Jan,69.4,65.8,1655012,1568570,86442,5.2
2012,Feb,69.4,65.8,1654386,1569426,84960,5.1
2012,Mar,69.3,65.8,1653639,1569640,83999,5.1
2012,Apr,69.3,65.8,1652667,1569155,83512,5.1
2012,May,69.2,65.7,1651738,1568358,83380,5.0
2012,Jun,69.1,65.7,1651144,1567733,83411,5.1
2012,Jul,69.1,65.6,1651019,1567718,83301,5.0
2012,Aug,69.1,65.6,1651397,1568392,83005,5.0
2012,Sep,69.1,65.6,1652163,1569562,82601,5.0
2012,Oct,69.0,65.6,1653077,1570981,82096,5.0
2012,Nov,69.1,65.6,1654247,1572489,81758,4.9
2012,Dec,69.1,65.7,1655811,1574099,81712,4.9
2013,Jan,69.1,65.7,1657808,1575926,81882,4.9
2013,Feb,69.2,65.8,1660293,1578214,82079,4.9
2013,Mar,69.3,65.9,1663533,1581458,82075,4.9
2013,Apr,69.5,66.1,1667620,1585820,81800,4.9
2013,May,69.6,66.2,1671900,1590692,81208,4.9
2013,Jun,69.7,66.4,1675671,1595295,80376,4.8
2013,Jul,69.8,66.5,1678587,1599183,79404,4.7
2013,Aug,69.8,66.6,1680556,1602276,78280,4.7
2013,Sep,69.8,66.6,1681833,1604751,77082,4.6
2013,Oct,69.9,66.7,1682991,1606869,76122,4.5
2013,Nov,69.9,66.7,1684516,1609032,75484,4.5
2013,Dec,69.9,66.8,1686595,1611506,75089,4.5
2014,Jan,70.1,67.0,1690171,1615429,74742,4.4
2014,Feb,70.1,67.1,1693232,1618872,74360,4.4
2014,Mar,70.2,67.2,1696024,1622076,73948,4.4
2014,Apr,70.3,67.3,1698282,1624783,73499,4.3
2014,May,70.3,67.3,1700176,1627201,72975,4.3
2014,Jun,70.4,67.4,1701958,1629585,72373,4.3
2014,Jul,70.4,67.4,1703586,1631795,71791,4.2
2014,Aug,70.4,67.5,1705121,1633789,71332,4.2
2014,Sep,70.4,67.5,1706417,1635553,70864,4.2
2014,Oct,70.4,67.5,1707224,1637013,70211,4.1
2014,Nov,70.4,67.6,1707293,1638022,69271,4.1
2014,Dec,70.4,67.6,1706704,1638498,68206,4.0
2015,Jan,70.2,67.4,1702933,1635995,66938,3.9
2015,Feb,70.1,67.4,1701472,1635417,66055,3.9
2015,Mar,70.1,67.4,1700140,1634796,65344,3.8
2015,Apr,70.0,67.3,1698873,1634174,64699,3.8
2015,May,69.9,67.3,1697547,1633463,64084,3.8
2015,Jun,69.8,67.2,1696284,1632769,63515,3.7
2015,Jul,69.8,67.2,1695446,1632401,63045,3.7
2015,Aug,69.7,67.1,1695235,1632568,62667,3.7
2015,Sep,69.7,67.1,1695724,1633276,62448,3.7
2015,Oct,69.7,67.2,1696828,1634445,62383,3.7
2015,Nov,69.8,67.2,1698179,1635792,62387,3.7
2015,Dec,69.8,67.2,1699220,1636901,62319,3.7
2016,Jan,69.8,67.2,1699371,1637272,62099,3.7
2016,Feb,69.7,67.2,1698432,1636572,61860,3.6
2016,Mar,69.6,67.1,1696676,1634926,61750,3.6
2016,Apr,69.5,67.0,1694652,1632809,61843,3.6
2016,May,69.4,66.9,1692845,1630753,62092,3.7
2016,Jun,69.3,66.8,1691281,1628985,62296,3.7
2016,Jul,69.2,66.7,1689795,1627571,62224,3.7
2016,Aug,69.1,66.6,1688153,1626330,61823,3.7
2016,Sep,69.0,66.5,1686120,1624950,61170,3.6
2016,Oct,68.9,66.4,1683490,1623220,60270,3.6
2016,Nov,68.7,66.3,1680460,1621291,59169,3.5
2016,Dec,68.6,66.2,1677455,1619471,57984,3.5
2017,Jan,68.5,66.1,1674974,1618128,56846,3.4
2017,Feb,68.4,66.1,1673335,1617568,55767,3.3
2017,Mar,68.3,66.1,1672548,1617761,54787,3.3
2017,Apr,68.3,66.1,1672630,1618631,53999,3.2
2017,May,68.3,66.1,1673258,1619914,53344,3.2
2017,Jun,68.3,66.2,1673834,1621084,52750,3.2
2017,Jul,68.3,66.2,1673930,1621789,52141,3.1
2017,Aug,68.2,66.1,1673330,1621979,51351,3.1
2017,Sep,68.2,66.1,1672334,1621984,50350,3.0
2017,Oct,68.1,66.1,1671496,1622236,49260,2.9
2017,Nov,68.1,66.1,1671300,1623003,48297,2.9
2017,Dec,68.1,66.2,1672136,1624632,47504,2.8
2018,Jan,68.2,66.3,1674204,1627347,46857,2.8
2018,Feb,68.3,66.4,1677313,1630983,46330,2.8
2018,Mar,68.4,66.6,1680761,1634987,45774,2.7
2018,Apr,68.5,66.7,1683698,1638661,45037,2.7
2018,May,68.6,66.8,1685939,1641741,44198,2.6
2018,Jun,68.7,66.9,1687908,1644528,43380,2.6
2018,Jul,68.7,67.0,1690078,1647349,42729,2.5
2018,Aug,68.8,67.1,1692987,1650533,42454,2.5
2018,Sep,68.9,67.2,1696884,1654354,42530,2.5
2018,Oct,69.1,67.4,1701781,1658789,42992,2.5
2018,Nov,69.3,67.5,1707325,1663548,43777,2.6
2018,Dec,69.5,67.7,1712768,1668076,44692,2.6
2019,Jan,69.7,67.9,1717459,1671886,45573,2.7
2019,Feb,69.8,68.0,1721176,1674918,46258,2.7
2019,Mar,70.0,68.1,1724319,1677562,46757,2.7
2019,Apr,70.1,68.2,1727448,1680404,47044,2.7
2019,May,70.2,68.3,1730994,1683850,47144,2.7
2019,Jun,70.3,68.4,1735299,1688059,47240,2.7
2019,Jul,70.5,68.6,1740791,1693248,47543,2.7
2019,Aug,70.7,68.8,1746330,1698273,48057,2.8
2019,Sep,70.9,68.9,1751217,1702476,48741,2.8
2019,Oct,71.0,69.0,1754370,1705063,49307,2.8
2019,Nov,71.0,69.0,1754287,1704890,49397,2.8
2019,Dec,70.9,68.9,1753614,1704276,49338,2.8
2020,Jan,71.0,68.9,1754704,1704978,49726,2.8
2020,Feb,70.9,68.9,1752621,1703351,49270,2.8
2020,Mar,69.6,67.3,1722018,1665444,56574,3.3
2020,Apr,69.2,61.6,1712643,1524636,188007,11.0
2020,May,68.4,61.5,1694125,1521154,172971,10.2
2020,Jun,66.4,60.8,1644151,1506501,137650,8.4
2020,Jul,65.7,61.2,1626512,1516177,110335,6.8
2020,Aug,65.3(P),61.4(P),1616784(P),1520248(P),96536(P),6.0(P)
