Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,61.4,54.9,2053600,1835448,218152,10.6
2010,Feb,61.4,54.9,2054417,1836904,217513,10.6
2010,Mar,61.4,54.9,2054433,1839003,215430,10.5
2010,Apr,61.5,55.1,2053563,1841330,212233,10.3
2010,May,61.4,55.1,2052134,1843647,208487,10.2
2010,Jun,61.3,55.1,2050773,1845449,205324,10.0
2010,Jul,61.2,55.1,2050339,1846533,203806,9.9
2010,Aug,61.2,55.1,2051438,1847365,204073,9.9
2010,Sep,61.2,55.1,2053705,1848429,205276,10.0
2010,Oct,61.3,55.1,2056574,1850281,206293,10.0
2010,Nov,61.3,55.2,2059204,1852855,206349,10.0
2010,Dec,61.3,55.2,2060696,1855585,205111,10.0
2011,Jan,61.3,55.3,2060919,1858039,202880,9.8
2011,Feb,61.3,55.3,2059995,1859617,200378,9.7
2011,Mar,61.2,55.3,2058006,1859950,198056,9.6
2011,Apr,61.1,55.2,2055557,1859186,196371,9.6
2011,May,61.0,55.2,2053682,1858070,195612,9.5
2011,Jun,60.9,55.1,2052956,1857634,195322,9.5
2011,Jul,60.9,55.1,2053577,1858686,194891,9.5
2011,Aug,60.9,55.2,2055093,1861265,193828,9.4
2011,Sep,60.9,55.3,2056518,1864979,191539,9.3
2011,Oct,60.9,55.4,2057166,1869247,187919,9.1
2011,Nov,60.9,55.5,2056412,1873315,183097,8.9
2011,Dec,60.8,55.5,2054227,1876666,177561,8.6
2012,Jan,60.7,55.6,2051531,1879304,172227,8.4
2012,Feb,60.6,55.6,2049670,1881633,168037,8.2
2012,Mar,60.6,55.7,2049449,1883676,165773,8.1
2012,Apr,60.6,55.7,2050796,1885257,165539,8.1
2012,May,60.7,55.7,2053571,1886909,166662,8.1
2012,Jun,60.8,55.8,2057239,1889104,168135,8.2
2012,Jul,60.8,55.8,2061007,1891934,169073,8.2
2012,Aug,60.9,55.9,2064542,1895210,169332,8.2
2012,Sep,60.9,56.0,2067604,1898510,169094,8.2
2012,Oct,61.0,56.0,2069503,1901055,168448,8.1
2012,Nov,60.9,56.0,2070146,1902389,167757,8.1
2012,Dec,60.9,56.0,2069797,1902547,167250,8.1
2013,Jan,60.8,55.9,2068663,1901562,167101,8.1
2013,Feb,60.8,55.8,2067151,1899823,167328,8.1
2013,Mar,60.7,55.8,2065749,1898143,167606,8.1
2013,Apr,60.6,55.7,2064835,1897226,167609,8.1
2013,May,60.6,55.7,2063856,1896406,167450,8.1
2013,Jun,60.5,55.6,2062221,1894931,167290,8.1
2013,Jul,60.4,55.5,2059502,1892618,166884,8.1
2013,Aug,60.2,55.4,2055073,1889503,165570,8.1
2013,Sep,60.0,55.2,2049298,1885919,163379,8.0
2013,Oct,59.8,55.1,2043395,1882493,160902,7.9
2013,Nov,59.6,55.0,2038240,1879846,158394,7.8
2013,Dec,59.5,54.9,2034037,1878144,155893,7.7
2014,Jan,59.5,55.0,2032998,1879860,153138,7.5
2014,Feb,59.3,55.0,2029474,1879662,149812,7.4
2014,Mar,59.2,54.9,2025290,1879379,145911,7.2
2014,Apr,59.0,54.9,2019835,1878378,141457,7.0
2014,May,58.8,54.8,2013293,1876977,136316,6.8
2014,Jun,58.6,54.8,2006638,1875888,130750,6.5
2014,Jul,58.4,54.7,2000517,1875130,125387,6.3
2014,Aug,58.2,54.7,1995672,1874877,120795,6.1
2014,Sep,58.1,54.7,1992168,1875166,117002,5.9
2014,Oct,58.0,54.7,1989425,1875702,113723,5.7
2014,Nov,57.9,54.7,1986947,1876002,110945,5.6
2014,Dec,57.8,54.6,1984783,1875956,108827,5.5
2015,Jan,57.8,54.6,1984321,1876851,107470,5.4
2015,Feb,57.7,54.6,1982924,1876338,106586,5.4
2015,Mar,57.7,54.6,1981815,1875794,106021,5.3
2015,Apr,57.6,54.6,1980734,1875318,105416,5.3
2015,May,57.6,54.5,1979359,1874740,104619,5.3
2015,Jun,57.5,54.5,1977617,1873955,103662,5.2
2015,Jul,57.4,54.4,1976275,1873403,102872,5.2
2015,Aug,57.4,54.4,1976141,1873529,102612,5.2
2015,Sep,57.4,54.4,1977742,1874780,102962,5.2
2015,Oct,57.5,54.5,1981380,1877563,103817,5.2
2015,Nov,57.6,54.6,1986433,1881634,104799,5.3
2015,Dec,57.7,54.7,1991683,1886244,105439,5.3
2016,Jan,57.8,54.8,1996063,1890603,105460,5.3
2016,Feb,57.9,54.9,1999099,1894362,104737,5.2
2016,Mar,57.9,55.0,2001105,1897720,103385,5.2
2016,Apr,58.0,55.0,2003121,1901107,102014,5.1
2016,May,58.0,55.1,2006195,1904989,101206,5.0
2016,Jun,58.2,55.2,2010546,1909451,101095,5.0
2016,Jul,58.3,55.3,2015731,1914274,101457,5.0
2016,Aug,58.4,55.4,2021173,1918965,102208,5.1
2016,Sep,58.5,55.5,2026369,1923054,103315,5.1
2016,Oct,58.6,55.6,2030929,1926438,104491,5.1
2016,Nov,58.7,55.7,2035072,1929618,105454,5.2
2016,Dec,58.8,55.8,2039044,1933014,106030,5.2
2017,Jan,58.9,55.9,2042918,1936729,106189,5.2
2017,Feb,59.0,56.0,2046620,1940603,106017,5.2
2017,Mar,59.1,56.0,2049770,1944029,105741,5.2
2017,Apr,59.1,56.1,2052310,1947010,105300,5.1
2017,May,59.2,56.2,2054272,1949791,104481,5.1
2017,Jun,59.2,56.2,2055675,1952394,103281,5.0
2017,Jul,59.2,56.3,2056677,1954955,101722,4.9
2017,Aug,59.2,56.3,2056964,1957375,99589,4.8
2017,Sep,59.1,56.4,2056448,1959496,96952,4.7
2017,Oct,59.1,56.4,2055337,1961150,94187,4.6
2017,Nov,59.0,56.4,2053900,1962173,91727,4.5
2017,Dec,59.0,56.4,2052740,1962812,89928,4.4
2018,Jan,59.0,56.4,2052556,1963545,89011,4.3
2018,Feb,59.0,56.5,2053707,1964826,88881,4.3
2018,Mar,59.1,56.5,2055810,1966703,89107,4.3
2018,Apr,59.1,56.5,2057822,1968419,89403,4.3
2018,May,59.1,56.6,2058987,1969243,89744,4.4
2018,Jun,59.1,56.5,2059249,1969330,89919,4.4
2018,Jul,59.1,56.5,2058845,1969006,89839,4.4
2018,Aug,59.1,56.5,2058438,1968800,89638,4.4
2018,Sep,59.0,56.5,2058455,1969164,89291,4.3
2018,Oct,59.0,56.5,2058983,1970167,88816,4.3
2018,Nov,59.0,56.5,2059935,1971621,88314,4.3
2018,Dec,59.1,56.5,2060868,1973067,87801,4.3
2019,Jan,59.1,56.6,2061457,1974101,87356,4.2
2019,Feb,59.1,56.6,2061672,1974520,87152,4.2
2019,Mar,59.1,56.6,2062224,1974793,87431,4.2
2019,Apr,59.1,56.6,2063803,1975754,88049,4.3
2019,May,59.2,56.6,2066550,1977916,88634,4.3
2019,Jun,59.3,56.7,2070301,1981147,89154,4.3
2019,Jul,59.4,56.8,2074764,1985146,89618,4.3
2019,Aug,59.5,56.9,2078630,1988713,89917,4.3
2019,Sep,59.5,57.0,2081590,1991454,90136,4.3
2019,Oct,59.6,57.0,2083132,1992837,90295,4.3
2019,Nov,59.5,57.0,2082697,1992397,90300,4.3
2019,Dec,59.5,56.9,2082207,1991923,90284,4.3
2020,Jan,59.6,57.0,2084752,1994520,90232,4.3
2020,Feb,59.6,57.0,2084089,1995951,88138,4.2
2020,Mar,59.0,56.0,2066275,1958322,107953,5.2
2020,Apr,58.6,48.9,2052263,1712526,339737,16.6
2020,May,58.0,51.7,2029333,1809019,220314,10.9
2020,Jun,54.8,52.4,1920657,1836096,84561,4.4
2020,Jul,52.5,50.1,1837401,1755265,82136,4.5
2020,Aug,57.4(P),53.0(P),2010838(P),1858326(P),152512(P),7.6(P)
