Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,60.6,56.1,2065028,1911282,153746,7.4
2010,Feb,60.8,56.2,2072458,1916327,156131,7.5
2010,Mar,61.0,56.3,2080069,1921681,158388,7.6
2010,Apr,60.8,56.1,2086900,1926189,160711,7.7
2010,May,60.9,56.1,2092101,1929083,163018,7.8
2010,Jun,60.9,56.1,2094979,1929545,165434,7.9
2010,Jul,60.8,56.0,2095489,1927347,168142,8.0
2010,Aug,60.7,55.8,2094171,1923376,170795,8.2
2010,Sep,60.6,55.6,2091694,1918710,172984,8.3
2010,Oct,60.5,55.4,2089158,1914750,174408,8.3
2010,Nov,60.4,55.3,2086945,1912139,174806,8.4
2010,Dec,60.3,55.2,2084897,1910814,174083,8.3
2011,Jan,60.1,55.2,2082966,1910437,172529,8.3
2011,Feb,60.0,55.1,2080850,1910324,170526,8.2
2011,Mar,59.9,55.1,2078080,1909919,168161,8.1
2011,Apr,59.8,55.0,2074660,1909053,165607,8.0
2011,May,59.6,54.9,2071476,1908068,163408,7.9
2011,Jun,59.5,54.9,2069314,1907671,161643,7.8
2011,Jul,59.4,54.8,2068547,1908367,160180,7.7
2011,Aug,59.4,54.9,2068989,1909945,159044,7.7
2011,Sep,59.4,54.9,2069983,1911840,158143,7.6
2011,Oct,59.4,54.9,2070931,1913517,157414,7.6
2011,Nov,59.4,54.9,2071370,1914670,156700,7.6
2011,Dec,59.4,54.9,2071368,1915529,155839,7.5
2012,Jan,59.3,54.9,2071658,1916726,154932,7.5
2012,Feb,59.3,54.9,2073080,1918815,154265,7.4
2012,Mar,59.4,55.0,2075571,1921592,153979,7.4
2012,Apr,59.4,55.0,2078081,1924525,153556,7.4
2012,May,59.5,55.1,2079852,1927516,152336,7.3
2012,Jun,59.4,55.2,2080624,1930777,149847,7.2
2012,Jul,59.4,55.2,2080660,1934486,146174,7.0
2012,Aug,59.4,55.3,2080892,1938467,142425,6.8
2012,Sep,59.4,55.4,2082392,1942392,140000,6.7
2012,Oct,59.4,55.4,2085197,1945682,139515,6.7
2012,Nov,59.5,55.5,2088848,1947834,141014,6.8
2012,Dec,59.6,55.5,2092629,1948748,143881,6.9
2013,Jan,59.6,55.4,2095766,1948681,147085,7.0
2013,Feb,59.7,55.4,2097870,1948351,149519,7.1
2013,Mar,59.7,55.4,2099138,1948749,150389,7.2
2013,Apr,59.7,55.4,2100337,1950743,149594,7.1
2013,May,59.7,55.5,2101514,1953900,147614,7.0
2013,Jun,59.7,55.6,2102566,1957422,145144,6.9
2013,Jul,59.7,55.6,2103477,1960947,142530,6.8
2013,Aug,59.6,55.7,2103643,1964537,139106,6.6
2013,Sep,59.6,55.8,2102914,1968399,134515,6.4
