Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,68.9,63.5,3045709,2809483,236226,7.8
2010,Feb,69.0,63.6,3052675,2814636,238039,7.8
2010,Mar,69.1,63.7,3059579,2821365,238214,7.8
2010,Apr,68.3,63.0,3066143,2828799,237344,7.7
2010,May,68.3,63.1,3071885,2836057,235828,7.7
2010,Jun,68.4,63.2,3076363,2842041,234322,7.6
2010,Jul,68.4,63.2,3079776,2846212,233564,7.6
2010,Aug,68.4,63.2,3082617,2848902,233715,7.6
2010,Sep,68.4,63.2,3085181,2850945,234236,7.6
2010,Oct,68.3,63.1,3087456,2853374,234082,7.6
2010,Nov,68.3,63.2,3089014,2856294,232720,7.5
2010,Dec,68.3,63.2,3089859,2859358,230501,7.5
2011,Jan,68.2,63.2,3090479,2862249,228230,7.4
2011,Feb,68.2,63.2,3091021,2864605,226416,7.3
2011,Mar,68.1,63.2,3091247,2866135,225112,7.3
2011,Apr,68.1,63.1,3091373,2866735,224638,7.3
2011,May,68.0,63.1,3092081,2866875,225206,7.3
2011,Jun,68.0,63.0,3093578,2867381,226197,7.3
2011,Jul,68.0,63.0,3095695,2869031,226664,7.3
2011,Aug,68.0,63.0,3098139,2871972,226167,7.3
2011,Sep,68.0,63.0,3100657,2875949,224708,7.2
2011,Oct,67.9,63.1,3103191,2880494,222697,7.2
2011,Nov,67.9,63.1,3105475,2884942,220533,7.1
2011,Dec,67.9,63.1,3107187,2888674,218513,7.0
2012,Jan,67.9,63.1,3108528,2891475,217053,7.0
2012,Feb,67.9,63.1,3109961,2893448,216513,7.0
2012,Mar,67.8,63.1,3111600,2894610,216990,7.0
2012,Apr,67.8,63.1,3113159,2895270,217889,7.0
2012,May,67.8,63.0,3114818,2896228,218590,7.0
2012,Jun,67.8,63.0,3116856,2898073,218783,7.0
2012,Jul,67.8,63.0,3119340,2900954,218386,7.0
2012,Aug,67.8,63.1,3122375,2904721,217654,7.0
2012,Sep,67.8,63.1,3125936,2908979,216957,6.9
2012,Oct,67.8,63.1,3129327,2912948,216379,6.9
2012,Nov,67.8,63.2,3132092,2916116,215976,6.9
2012,Dec,67.8,63.2,3133899,2918293,215606,6.9
2013,Jan,67.8,63.2,3134588,2919421,215167,6.9
2013,Feb,67.8,63.1,3134392,2919922,214470,6.8
2013,Mar,67.7,63.1,3133730,2920462,213268,6.8
2013,Apr,67.7,63.1,3132990,2921598,211392,6.7
2013,May,67.6,63.1,3132238,2922988,209250,6.7
2013,Jun,67.5,63.1,3131551,2924211,207340,6.6
2013,Jul,67.5,63.0,3130720,2925103,205617,6.6
2013,Aug,67.4,63.0,3129141,2925572,203569,6.5
2013,Sep,67.3,63.0,3126736,2925718,201018,6.4
2013,Oct,67.2,62.9,3124293,2925915,198378,6.3
2013,Nov,67.1,62.9,3122467,2926606,195861,6.3
2013,Dec,67.1,62.9,3121406,2927943,193463,6.2
2014,Jan,66.9,62.8,3115253,2924909,190344,6.1
2014,Feb,66.9,62.9,3115406,2927511,187895,6.0
2014,Mar,66.9,62.9,3116395,2930290,186105,6.0
2014,Apr,66.9,62.9,3117945,2932833,185112,5.9
2014,May,66.9,62.9,3119672,2935393,184279,5.9
2014,Jun,66.9,63.0,3121560,2938490,183070,5.9
2014,Jul,66.9,63.0,3123563,2942049,181514,5.8
2014,Aug,66.9,63.1,3125809,2945982,179827,5.8
2014,Sep,66.9,63.1,3128126,2950057,178069,5.7
2014,Oct,66.9,63.1,3129996,2953855,176141,5.6
2014,Nov,66.9,63.2,3131085,2957030,174055,5.6
2014,Dec,66.9,63.2,3131935,2959765,172170,5.5
2015,Jan,66.9,63.2,3132769,2962280,170489,5.4
2015,Feb,66.9,63.3,3134866,2965800,169066,5.4
2015,Mar,66.9,63.3,3137340,2969972,167368,5.3
2015,Apr,66.9,63.4,3139824,2974548,165276,5.3
2015,May,67.0,63.5,3141809,2978836,162973,5.2
2015,Jun,66.9,63.5,3142875,2982227,160648,5.1
2015,Jul,66.9,63.5,3143255,2984790,158465,5.0
2015,Aug,66.9,63.6,3143328,2986966,156362,5.0
2015,Sep,66.9,63.6,3143475,2989353,154122,4.9
2015,Oct,66.9,63.6,3144384,2992627,151757,4.8
2015,Nov,66.9,63.7,3146374,2996933,149441,4.7
2015,Dec,66.9,63.8,3148903,3001702,147201,4.7
2016,Jan,67.0,63.9,3151182,3006161,145021,4.6
2016,Feb,67.0,64.0,3152907,3009793,143114,4.5
2016,Mar,67.0,64.0,3154121,3012566,141555,4.5
2016,Apr,67.0,64.0,3155461,3014940,140521,4.5
2016,May,67.1,64.1,3157689,3017580,140109,4.4
2016,Jun,67.1,64.1,3161020,3020855,140165,4.4
2016,Jul,67.2,64.2,3165311,3024916,140395,4.4
2016,Aug,67.3,64.3,3170346,3029620,140726,4.4
2016,Sep,67.3,64.3,3175756,3034632,141124,4.4
2016,Oct,67.4,64.4,3180773,3039575,141198,4.4
2016,Nov,67.5,64.5,3185102,3044368,140734,4.4
2016,Dec,67.5,64.6,3188861,3049016,139845,4.4
2017,Jan,67.6,64.6,3192342,3053498,138844,4.3
2017,Feb,67.6,64.7,3195617,3057764,137853,4.3
2017,Mar,67.7,64.8,3198457,3061471,136986,4.3
2017,Apr,67.7,64.8,3200983,3064767,136216,4.3
2017,May,67.7,64.9,3203310,3067910,135400,4.2
2017,Jun,67.7,64.9,3205514,3070819,134695,4.2
2017,Jul,67.8,64.9,3207616,3073260,134356,4.2
2017,Aug,67.8,64.9,3209188,3074875,134313,4.2
2017,Sep,67.8,64.9,3210100,3075642,134458,4.2
2017,Oct,67.7,64.9,3210572,3075870,134702,4.2
2017,Nov,67.7,64.9,3210715,3075849,134866,4.2
2017,Dec,67.7,64.9,3210795,3076150,134645,4.2
2018,Jan,67.7,64.9,3211332,3077302,134030,4.2
2018,Feb,67.7,64.9,3212769,3079632,133137,4.1
2018,Mar,67.8,65.0,3215039,3082972,132067,4.1
2018,Apr,67.8,65.0,3217255,3086407,130848,4.1
2018,May,67.8,65.1,3218813,3089248,129565,4.0
