Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,66.1,60.3,3476509,3171979,304530,8.8
2010,Feb,66.1,60.3,3482040,3178085,303955,8.7
2010,Mar,66.2,60.4,3485942,3183829,302113,8.7
2010,Apr,66.8,61.0,3487331,3188377,298954,8.6
2010,May,66.6,61.0,3486138,3191639,294499,8.4
2010,Jun,66.5,61.0,3482961,3193402,289559,8.3
2010,Jul,66.4,60.9,3479296,3194060,285236,8.2
2010,Aug,66.2,60.9,3476501,3194536,281965,8.1
2010,Sep,66.1,60.8,3474837,3195212,279625,8.0
2010,Oct,66.1,60.8,3474546,3196849,277697,8.0
2010,Nov,66.0,60.8,3474959,3199393,275566,7.9
2010,Dec,66.0,60.8,3474994,3202241,272753,7.8
2011,Jan,65.9,60.8,3474410,3205064,269346,7.8
2011,Feb,65.8,60.8,3472847,3207200,265647,7.6
2011,Mar,65.7,60.8,3470079,3208279,261800,7.5
2011,Apr,65.6,60.7,3466650,3208436,258214,7.4
2011,May,65.5,60.7,3463870,3208618,255252,7.4
2011,Jun,65.4,60.7,3462711,3210071,252640,7.3
2011,Jul,65.4,60.7,3463633,3213681,249952,7.2
2011,Aug,65.4,60.7,3466253,3219111,247142,7.1
2011,Sep,65.4,60.8,3469527,3225301,244226,7.0
2011,Oct,65.4,60.8,3472273,3230979,241294,6.9
2011,Nov,65.3,60.9,3473592,3235153,238439,6.9
2011,Dec,65.3,60.8,3473394,3237614,235780,6.8
2012,Jan,65.2,60.8,3472361,3238875,233486,6.7
2012,Feb,65.1,60.8,3471702,3240019,231683,6.7
2012,Mar,65.1,60.8,3472122,3241435,230687,6.6
2012,Apr,65.1,60.8,3473518,3243151,230367,6.6
2012,May,65.1,60.8,3476254,3245796,230458,6.6
2012,Jun,65.1,60.8,3480397,3249583,230814,6.6
2012,Jul,65.1,60.8,3485409,3254117,231292,6.6
2012,Aug,65.2,60.8,3490901,3258848,232053,6.6
2012,Sep,65.2,60.8,3496582,3263317,233265,6.7
2012,Oct,65.2,60.9,3501337,3266628,234709,6.7
2012,Nov,65.2,60.8,3504465,3268252,236213,6.7
2012,Dec,65.2,60.8,3505939,3268333,237606,6.8
2013,Jan,65.2,60.7,3506305,3267341,238964,6.8
2013,Feb,65.1,60.7,3506639,3266350,240289,6.9
2013,Mar,65.1,60.6,3507938,3266573,241365,6.9
2013,Apr,65.1,60.6,3510733,3268819,241914,6.9
2013,May,65.1,60.6,3514060,3272148,241912,6.9
2013,Jun,65.1,60.6,3516697,3275355,241342,6.9
2013,Jul,65.0,60.6,3517932,3277961,239971,6.8
2013,Aug,65.0,60.6,3517355,3280063,237292,6.7
2013,Sep,64.9,60.6,3515673,3282306,233367,6.6
2013,Oct,64.8,60.6,3514864,3285781,229083,6.5
2013,Nov,64.8,60.6,3516363,3291319,225044,6.4
2013,Dec,64.8,60.7,3520340,3298878,221462,6.3
2014,Jan,64.8,60.8,3524591,3305785,218806,6.2
2014,Feb,64.9,61.0,3532726,3317396,215330,6.1
2014,Mar,65.0,61.1,3541136,3328806,212330,6.0
2014,Apr,65.1,61.3,3548933,3338848,210085,5.9
2014,May,65.2,61.4,3556183,3347896,208287,5.9
2014,Jun,65.3,61.5,3563949,3357342,206607,5.8
2014,Jul,65.4,61.6,3572506,3367638,204868,5.7
2014,Aug,65.5,61.8,3581751,3378815,202936,5.7
2014,Sep,65.6,62.0,3590865,3390352,200513,5.6
2014,Oct,65.7,62.1,3598465,3401226,197239,5.5
2014,Nov,65.8,62.2,3603367,3410255,193112,5.4
2014,Dec,65.8,62.3,3605703,3416840,188863,5.2
2015,Jan,65.7,62.4,3605565,3420586,184979,5.1
2015,Feb,65.7,62.4,3604189,3421937,182252,5.1
2015,Mar,65.6,62.3,3601628,3421572,180056,5.0
2015,Apr,65.5,62.3,3598244,3420283,177961,4.9
2015,May,65.4,62.2,3594041,3418247,175794,4.9
2015,Jun,65.3,62.1,3589008,3415511,173497,4.8
2015,Jul,65.1,62.0,3583980,3412819,171161,4.8
2015,Aug,65.0,61.9,3580000,3411127,168873,4.7
2015,Sep,64.9,61.9,3577728,3411294,166434,4.7
2015,Oct,64.9,61.9,3577835,3414029,163806,4.6
2015,Nov,64.9,62.0,3580579,3419462,161117,4.5
2015,Dec,64.9,62.1,3585033,3426836,158197,4.4
2016,Jan,65.0,62.2,3589829,3435046,154783,4.3
2016,Feb,65.0,62.3,3594275,3443299,150976,4.2
2016,Mar,65.1,62.4,3598313,3451350,146963,4.1
2016,Apr,65.1,62.5,3602471,3459357,143114,4.0
2016,May,65.2,62.7,3607409,3467632,139777,3.9
2016,Jun,65.2,62.8,3613102,3475999,137103,3.8
2016,Jul,65.3,62.9,3619261,3484124,135137,3.7
2016,Aug,65.4,63.0,3625622,3491559,134063,3.7
2016,Sep,65.4,63.0,3632086,3497961,134125,3.7
2016,Oct,65.5,63.1,3638490,3503404,135086,3.7
2016,Nov,65.6,63.1,3644912,3508570,136342,3.7
2016,Dec,65.7,63.2,3651575,3514023,137552,3.8
2017,Jan,65.7,63.3,3658490,3519862,138628,3.8
2017,Feb,65.8,63.3,3665221,3525821,139400,3.8
2017,Mar,65.9,63.4,3671099,3531228,139871,3.8
2017,Apr,66.0,63.4,3676244,3536178,140066,3.8
2017,May,66.0,63.5,3680990,3541090,139900,3.8
2017,Jun,66.0,63.5,3685642,3546165,139477,3.8
2017,Jul,66.1,63.6,3690606,3551639,138967,3.8
2017,Aug,66.1,63.7,3695906,3557650,138256,3.7
2017,Sep,66.2,63.8,3701711,3564432,137279,3.7
2017,Oct,66.3,63.9,3708326,3572182,136144,3.7
