Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,65.8,59.3,3044035,2746214,297821,9.8
2010,Feb,65.9,59.4,3050406,2752092,298314,9.8
2010,Mar,66.0,59.5,3055657,2758039,297618,9.7
2010,Apr,66.2,59.8,3058868,2763038,295830,9.7
2010,May,66.2,59.9,3059887,2766767,293120,9.6
2010,Jun,66.2,59.9,3059038,2768613,290425,9.5
2010,Jul,66.1,59.8,3057515,2768607,288908,9.4
2010,Aug,66.0,59.8,3056769,2767659,289110,9.5
2010,Sep,66.0,59.7,3056905,2766458,290447,9.5
2010,Oct,66.0,59.7,3057770,2766309,291461,9.5
2010,Nov,66.0,59.7,3058401,2767747,290654,9.5
2010,Dec,65.9,59.7,3057994,2770483,287511,9.4
2011,Jan,65.9,59.8,3057319,2774185,283134,9.3
2011,Feb,65.9,59.9,3056187,2778184,278003,9.1
2011,Mar,65.8,59.9,3054008,2781464,272544,8.9
2011,Apr,65.7,59.9,3050784,2783078,267706,8.8
2011,May,65.6,59.9,3047588,2783392,264196,8.7
2011,Jun,65.5,59.9,3045445,2783829,261616,8.6
2011,Jul,65.5,59.9,3044731,2785616,259115,8.5
2011,Aug,65.5,60.0,3044873,2789075,255798,8.4
2011,Sep,65.4,60.0,3044857,2794010,250847,8.2
2011,Oct,65.4,60.1,3044159,2799733,244426,8.0
2011,Nov,65.3,60.2,3042107,2804880,237227,7.8
2011,Dec,65.2,60.3,3038534,2808573,229961,7.6
2012,Jan,65.1,60.3,3033914,2810674,223240,7.4
2012,Feb,65.0,60.3,3029635,2811627,218008,7.2
2012,Mar,64.9,60.3,3026396,2811472,214924,7.1
2012,Apr,64.8,60.3,3023540,2810596,212944,7.0
2012,May,64.8,60.2,3021371,2810192,211179,7.0
2012,Jun,64.7,60.2,3020302,2811126,209176,6.9
2012,Jul,64.7,60.3,3020759,2813834,206925,6.9
2012,Aug,64.7,60.3,3023006,2817607,205399,6.8
2012,Sep,64.7,60.4,3026333,2820827,205506,6.8
2012,Oct,64.8,60.3,3028386,2821739,206647,6.8
2012,Nov,64.7,60.3,3027506,2819833,207673,6.9
2012,Dec,64.6,60.2,3023527,2815590,207937,6.9
2013,Jan,64.7,60.3,3028433,2820950,207483,6.9
2013,Feb,64.6,60.1,3022164,2815634,206530,6.8
2013,Mar,64.5,60.1,3018206,2812786,205420,6.8
2013,Apr,64.4,60.1,3018139,2813392,204747,6.8
2013,May,64.5,60.1,3020703,2816017,204686,6.8
2013,Jun,64.5,60.1,3023445,2818684,204761,6.8
2013,Jul,64.5,60.1,3024493,2820140,204353,6.8
2013,Aug,64.4,60.1,3022915,2820313,202602,6.7
2013,Sep,64.3,60.1,3020000,2820028,199972,6.6
2013,Oct,64.3,60.1,3018648,2820136,198512,6.6
2013,Nov,64.3,60.1,3020515,2821486,199029,6.6
2013,Dec,64.4,60.1,3025140,2824308,200832,6.6
2014,Jan,64.5,60.2,3030438,2827730,202708,6.7
2014,Feb,64.6,60.2,3035586,2832780,202806,6.7
2014,Mar,64.6,60.3,3039018,2838142,200876,6.6
2014,Apr,64.6,60.4,3040435,2843215,197220,6.5
2014,May,64.6,60.5,3040778,2848392,192386,6.3
2014,Jun,64.6,60.6,3041836,2854494,187342,6.2
2014,Jul,64.6,60.7,3044284,2861346,182938,6.0
2014,Aug,64.7,60.9,3048411,2868825,179586,5.9
2014,Sep,64.8,61.0,3053732,2876710,177022,5.8
2014,Oct,64.8,61.1,3058716,2884305,174411,5.7
2014,Nov,64.9,61.2,3062698,2890714,171984,5.6
2014,Dec,64.9,61.3,3066576,2895898,170678,5.6
2015,Jan,65.0,61.4,3070254,2899964,170290,5.5
2015,Feb,65.1,61.5,3074251,2903830,170421,5.5
2015,Mar,65.1,61.5,3077662,2907806,169856,5.5
2015,Apr,65.1,61.6,3079601,2912128,167473,5.4
