Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,64.9,60.2,500111,463719,36392,7.3
2010,Feb,64.9,60.2,500537,463715,36822,7.4
2010,Mar,64.9,60.1,500852,463843,37009,7.4
2010,Apr,64.4,59.7,501056,464095,36961,7.4
2010,May,64.4,59.7,501155,464415,36740,7.3
2010,Jun,64.4,59.7,501110,464658,36452,7.3
2010,Jul,64.3,59.7,500905,464705,36200,7.2
2010,Aug,64.2,59.6,500619,464543,36076,7.2
2010,Sep,64.2,59.5,500334,464216,36118,7.2
2010,Oct,64.1,59.4,500103,463831,36272,7.3
2010,Nov,64.0,59.4,499959,463507,36452,7.3
2010,Dec,64.0,59.3,499925,463359,36566,7.3
2011,Jan,64.0,59.3,500012,463453,36559,7.3
2011,Feb,63.9,59.3,500123,463721,36402,7.3
2011,Mar,63.9,59.3,500168,464042,36126,7.2
2011,Apr,63.9,59.3,500186,464387,35799,7.2
2011,May,63.9,59.3,500285,464791,35494,7.1
2011,Jun,63.9,59.4,500562,465336,35226,7.0
2011,Jul,63.9,59.4,501016,466076,34940,7.0
2011,Aug,63.9,59.5,501574,467018,34556,6.9
2011,Sep,63.9,59.6,502148,468110,34038,6.8
2011,Oct,63.9,59.7,502636,469230,33406,6.6
2011,Nov,63.9,59.8,502954,470237,32717,6.5
2011,Dec,63.9,59.8,503131,471075,32056,6.4
2012,Jan,63.9,59.9,503294,471779,31515,6.3
2012,Feb,63.9,59.9,503616,472467,31149,6.2
2012,Mar,63.9,60.0,504198,473238,30960,6.1
2012,Apr,64.0,60.1,504977,474093,30884,6.1
2012,May,64.1,60.2,505872,475038,30834,6.1
2012,Jun,64.1,60.2,506766,476037,30729,6.1
2012,Jul,64.2,60.3,507498,476991,30507,6.0
2012,Aug,64.2,60.4,507991,477822,30169,5.9
2012,Sep,64.1,60.4,508298,478528,29770,5.9
2012,Oct,64.1,60.4,508529,479170,29359,5.8
2012,Nov,64.1,60.4,508777,479779,28998,5.7
2012,Dec,64.1,60.5,509093,480377,28716,5.6
2013,Jan,64.1,60.5,509413,480899,28514,5.6
2013,Feb,64.1,60.5,509850,481468,28382,5.6
2013,Mar,64.1,60.5,510186,481898,28288,5.5
2013,Apr,64.0,60.5,510345,482166,28179,5.5
2013,May,64.0,60.5,510327,482291,28036,5.5
2013,Jun,63.9,60.4,510270,482407,27863,5.5
2013,Jul,63.9,60.4,510389,482699,27690,5.4
2013,Aug,63.8,60.4,510712,483211,27501,5.4
2013,Sep,63.8,60.4,511146,483891,27255,5.3
2013,Oct,63.8,60.5,511592,484636,26956,5.3
2013,Nov,63.8,60.5,511924,485311,26613,5.2
2013,Dec,63.8,60.5,512004,485779,26225,5.1
2014,Jan,63.8,60.6,512419,486623,25796,5.0
2014,Feb,63.7,60.6,512047,486714,25333,4.9
2014,Mar,63.7,60.6,511775,486896,24879,4.9
2014,Apr,63.6,60.6,511753,487271,24482,4.8
2014,May,63.6,60.6,511978,487843,24135,4.7
2014,Jun,63.6,60.6,512321,488472,23849,4.7
2014,Jul,63.6,60.6,512578,488948,23630,4.6
2014,Aug,63.5,60.6,512666,489222,23444,4.6
2014,Sep,63.5,60.6,512662,489404,23258,4.5
2014,Oct,63.4,60.5,512676,489663,23013,4.5
2014,Nov,63.4,60.6,512874,490199,22675,4.4
2014,Dec,63.4,60.6,513368,491087,22281,4.3
2015,Jan,63.4,60.7,514152,492201,21951,4.3
2015,Feb,63.5,60.8,515011,493352,21659,4.2
2015,Mar,63.6,60.9,515785,494300,21485,4.2
2015,Apr,63.6,60.9,516343,494913,21430,4.2
2015,May,63.6,60.9,516695,495227,21468,4.2
2015,Jun,63.6,60.9,516971,495441,21530,4.2
2015,Jul,63.6,60.9,517370,495812,21558,4.2
2015,Aug,63.6,60.9,518002,496427,21575,4.2
2015,Sep,63.6,61.0,518785,497183,21602,4.2
2015,Oct,63.6,61.0,519628,497967,21661,4.2
2015,Nov,63.7,61.0,520439,498677,21762,4.2
2015,Dec,63.7,61.0,521130,499243,21887,4.2
2016,Jan,63.7,61.0,521657,499647,22010,4.2
2016,Feb,63.7,61.0,522007,499902,22105,4.2
2016,Mar,63.7,61.0,522190,500041,22149,4.2
2016,Apr,63.6,60.9,522300,500176,22124,4.2
2016,May,63.6,60.9,522398,500358,22040,4.2
2016,Jun,63.5,60.9,522465,500585,21880,4.2
2016,Jul,63.5,60.8,522518,500854,21664,4.1
2016,Aug,63.4,60.8,522601,501159,21442,4.1
2016,Sep,63.4,60.8,522740,501496,21244,4.1
2016,Oct,63.3,60.7,522905,501814,21091,4.0
2016,Nov,63.3,60.7,523088,502106,20982,4.0
2016,Dec,63.2,60.7,523331,502422,20909,4.0
2017,Jan,63.2,60.7,523682,502819,20863,4.0
2017,Feb,63.2,60.7,524142,503310,20832,4.0
2017,Mar,63.2,60.7,524653,503847,20806,4.0
2017,Apr,63.2,60.7,525152,504360,20792,4.0
2017,May,63.2,60.7,525591,504808,20783,4.0
2017,Jun,63.2,60.7,525939,505142,20797,4.0
2017,Jul,63.1,60.6,526155,505332,20823,4.0
2017,Aug,63.1,60.6,526236,505442,20794,4.0
2017,Sep,63.0,60.5,526271,505558,20713,3.9
2017,Oct,62.9,60.5,526359,505766,20593,3.9
2017,Nov,62.9,60.5,526503,506057,20446,3.9
2017,Dec,62.9,60.5,526665,506396,20269,3.8
2018,Jan,62.9,60.5,526863,506795,20068,3.8
2018,Feb,62.8,60.5,527149,507281,19868,3.8
2018,Mar,62.8,60.5,527522,507839,19683,3.7
2018,Apr,62.8,60.5,527913,508392,19521,3.7
2018,May,62.8,60.5,528265,508873,19392,3.7
2018,Jun,62.8,60.5,528573,509288,19285,3.6
2018,Jul,62.8,60.5,528881,509696,19185,3.6
2018,Aug,62.8,60.5,529238,510153,19085,3.6
2018,Sep,62.8,60.5,529646,510687,18959,3.6
2018,Oct,62.7,60.5,530058,511240,18818,3.6
2018,Nov,62.7,60.5,530431,511732,18699,3.5
2018,Dec,62.7,60.5,530733,512115,18618,3.5
2019,Jan,62.7,60.5,530894,512326,18568,3.5
2019,Feb,62.7,60.5,530934,512411,18523,3.5
2019,Mar,62.6,60.5,531051,512569,18482,3.5
2019,Apr,62.6,60.5,531418,512970,18448,3.5
2019,May,62.7,60.5,532100,513669,18431,3.5
2019,Jun,62.7,60.6,533068,514618,18450,3.5
2019,Jul,62.8,60.6,534199,515685,18514,3.5
2019,Aug,62.9,60.7,535105,516494,18611,3.5
2019,Sep,62.9,60.7,535725,517014,18711,3.5
2019,Oct,62.8,60.6,535978,517221,18757,3.5
2019,Nov,62.8,60.6,535823,517084,18739,3.5
2019,Dec,62.7,60.5,535694,516978,18716,3.5
2020,Jan,62.8,60.6,536520,517842,18678,3.5
2020,Feb,62.8,60.6,537336,518642,18694,3.5
2020,Mar,62.9,60.7,538777,519559,19218,3.6
2020,Apr,60.8,53.5,520588,458407,62181,11.9
2020,May,61.1,55.6,523851,476592,47259,9.0
2020,Jun,62.4,57.9,535115,496827,38288,7.2
2020,Jul,62.2,58.2,534260,499687,34573,6.5
2020,Aug,61.7(P),58.2(P),530097(P),500400(P),29697(P),5.6(P)
