Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,67.2,58.5,1349605,1174472,175133,13.0
2010,Feb,67.3,58.4,1352271,1173869,178402,13.2
2010,Mar,67.3,58.4,1354628,1173685,180943,13.4
2010,Apr,65.4,56.6,1356407,1173783,182624,13.5
2010,May,65.4,56.6,1357537,1174008,183529,13.5
2010,Jun,65.4,56.6,1358197,1174164,184033,13.5
2010,Jul,65.4,56.5,1358774,1174135,184639,13.6
2010,Aug,65.4,56.5,1359599,1174110,185489,13.6
2010,Sep,65.4,56.5,1360805,1174463,186342,13.7
2010,Oct,65.5,56.5,1362445,1175584,186861,13.7
2010,Nov,65.5,56.6,1364404,1177569,186835,13.7
2010,Dec,65.6,56.6,1366432,1180211,186221,13.6
2011,Jan,65.6,56.8,1368322,1183161,185161,13.5
2011,Feb,65.7,56.9,1369845,1185981,183864,13.4
2011,Mar,65.7,57.0,1370856,1188271,182585,13.3
2011,Apr,65.7,57.0,1371469,1189900,181569,13.2
2011,May,65.7,57.0,1371958,1191123,180835,13.2
2011,Jun,65.7,57.1,1372579,1192333,180246,13.1
2011,Jul,65.7,57.1,1373493,1193897,179596,13.1
2011,Aug,65.7,57.1,1374552,1195921,178631,13.0
2011,Sep,65.6,57.2,1375393,1198323,177070,12.9
2011,Oct,65.5,57.2,1375745,1200974,174771,12.7
2011,Nov,65.4,57.2,1375441,1203644,171797,12.5
2011,Dec,65.3,57.3,1374611,1206169,168442,12.3
2012,Jan,65.2,57.3,1373690,1208579,165111,12.0
2012,Feb,65.1,57.4,1373171,1210993,162178,11.8
2012,Mar,65.0,57.4,1373279,1213419,159860,11.6
2012,Apr,64.9,57.5,1373957,1215881,158076,11.5
2012,May,64.9,57.5,1375065,1218477,156588,11.4
2012,Jun,64.9,57.6,1376318,1221283,155035,11.3
2012,Jul,64.9,57.6,1377379,1224257,153122,11.1
2012,Aug,64.8,57.7,1378208,1227229,150979,11.0
2012,Sep,64.8,57.8,1378948,1229993,148955,10.8
2012,Oct,64.7,57.8,1379538,1232349,147189,10.7
2012,Nov,64.6,57.8,1379951,1234261,145690,10.6
2012,Dec,64.6,57.8,1380159,1235804,144355,10.5
2013,Jan,64.5,57.8,1379414,1236301,143113,10.4
2013,Feb,64.4,57.8,1379565,1237734,141831,10.3
2013,Mar,64.4,57.8,1379976,1239648,140328,10.2
2013,Apr,64.3,57.9,1380739,1242168,138571,10.0
2013,May,64.3,57.9,1381585,1244919,136666,9.9
2013,Jun,64.2,58.0,1382208,1247511,134697,9.7
2013,Jul,64.2,58.0,1382407,1249781,132626,9.6
2013,Aug,64.1,58.0,1382095,1251766,130329,9.4
2013,Sep,63.9,58.0,1381434,1253656,127778,9.2
2013,Oct,63.8,58.0,1381065,1255762,125303,9.1
2013,Nov,63.7,58.1,1381503,1258373,123130,8.9
2013,Dec,63.7,58.1,1382896,1261619,121277,8.8
2014,Jan,63.5,58.0,1379343,1260310,119033,8.6
2014,Feb,63.5,58.1,1381570,1264204,117366,8.5
2014,Mar,63.5,58.2,1383581,1267875,115706,8.4
2014,Apr,63.5,58.2,1385086,1271134,113952,8.2
2014,May,63.4,58.3,1386183,1274154,112029,8.1
2014,Jun,63.4,58.4,1387247,1277188,110059,7.9
2014,Jul,63.4,58.4,1388551,1280279,108272,7.8
2014,Aug,63.3,58.5,1390282,1283502,106780,7.7
2014,Sep,63.3,58.5,1392415,1286848,105567,7.6
2014,Oct,63.3,58.5,1394557,1290161,104396,7.5
2014,Nov,63.3,58.6,1396435,1293269,103166,7.4
2014,Dec,63.2,58.6,1398150,1296171,101979,7.3
2015,Jan,63.2,58.7,1399890,1299134,100756,7.2
2015,Feb,63.2,58.7,1401425,1301874,99551,7.1
2015,Mar,63.2,58.7,1402953,1304571,98382,7.0
2015,Apr,63.1,58.8,1404463,1307118,97345,6.9
2015,May,63.1,58.8,1405868,1309405,96463,6.9
2015,Jun,63.0,58.8,1407100,1311456,95644,6.8
2015,Jul,63.0,58.8,1408293,1313516,94777,6.7
2015,Aug,62.9,58.8,1409569,1315771,93798,6.7
2015,Sep,62.9,58.8,1410925,1318283,92642,6.6
2015,Oct,62.9,58.8,1412381,1321029,91352,6.5
2015,Nov,62.8,58.8,1413842,1323861,89981,6.4
2015,Dec,62.8,58.8,1415073,1326531,88542,6.3
2016,Jan,62.7,58.9,1416059,1328885,87174,6.2
2016,Feb,62.7,58.9,1416961,1331038,85923,6.1
2016,Mar,62.6,58.9,1418018,1333260,84758,6.0
2016,Apr,62.6,58.9,1419439,1335810,83629,5.9
2016,May,62.6,58.9,1421354,1338817,82537,5.8
2016,Jun,62.6,59.0,1423662,1342159,81503,5.7
2016,Jul,62.6,59.0,1426082,1345586,80496,5.6
2016,Aug,62.6,59.1,1428422,1348914,79508,5.6
2016,Sep,62.5,59.1,1430692,1352116,78576,5.5
2016,Oct,62.5,59.1,1432980,1355305,77675,5.4
2016,Nov,62.5,59.2,1435438,1358635,76803,5.4
2016,Dec,62.5,59.2,1438200,1362175,76025,5.3
2017,Jan,62.6,59.3,1441360,1365954,75406,5.2
2017,Feb,62.6,59.4,1444847,1369897,74950,5.2
2017,Mar,62.7,59.4,1448446,1373828,74618,5.2
2017,Apr,62.7,59.5,1452048,1377714,74334,5.1
2017,May,62.8,59.6,1455550,1381585,73965,5.1
