Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,69.8,65.5,740503,694080,46423,6.3
2010,Feb,69.8,65.5,740114,694365,45749,6.2
2010,Mar,69.7,65.5,739712,694801,44911,6.1
2010,Apr,70.3,66.1,739270,695252,44018,6.0
2010,May,70.2,66.1,738781,695590,43191,5.8
2010,Jun,70.1,66.1,738284,695719,42565,5.8
2010,Jul,70.1,66.1,737836,695646,42190,5.7
2010,Aug,70.0,66.0,737475,695472,42003,5.7
2010,Sep,69.9,65.9,737180,695336,41844,5.7
2010,Oct,69.8,65.9,736866,695327,41539,5.6
2010,Nov,69.8,65.9,736510,695498,41012,5.6
2010,Dec,69.7,65.9,736148,695820,40328,5.5
2011,Jan,69.6,65.9,735798,696173,39625,5.4
2011,Feb,69.6,65.9,735494,696432,39062,5.3
2011,Mar,69.5,65.9,735262,696494,38768,5.3
2011,Apr,69.5,65.8,735163,696357,38806,5.3
2011,May,69.4,65.7,735239,696096,39143,5.3
2011,Jun,69.4,65.7,735486,695842,39644,5.4
2011,Jul,69.4,65.6,735882,695758,40124,5.5
2011,Aug,69.4,65.6,736403,695970,40433,5.5
2011,Sep,69.4,65.6,737009,696479,40530,5.5
2011,Oct,69.4,65.6,737613,697158,40455,5.5
2011,Nov,69.4,65.6,738103,697841,40262,5.5
2011,Dec,69.4,65.6,738371,698353,40018,5.4
2012,Jan,69.4,65.6,738461,698642,39819,5.4
2012,Feb,69.3,65.6,738519,698761,39758,5.4
2012,Mar,69.3,65.6,738719,698832,39887,5.4
2012,Apr,69.3,65.5,739195,699024,40171,5.4
2012,May,69.3,65.5,739978,699439,40539,5.5
2012,Jun,69.4,65.5,740968,700079,40889,5.5
2012,Jul,69.4,65.6,741974,700822,41152,5.5
2012,Aug,69.5,65.6,742776,701475,41301,5.6
2012,Sep,69.5,65.6,743229,701908,41321,5.6
2012,Oct,69.4,65.6,743310,702080,41230,5.5
2012,Nov,69.4,65.5,743091,702013,41078,5.5
2012,Dec,69.3,65.5,742764,701898,40866,5.5
2013,Jan,69.3,65.5,742467,701920,40547,5.5
2013,Feb,69.2,65.5,742191,702103,40088,5.4
2013,Mar,69.2,65.5,741926,702439,39487,5.3
2013,Apr,69.1,65.5,741676,702866,38810,5.2
2013,May,69.1,65.5,741427,703277,38150,5.1
2013,Jun,69.0,65.5,741194,703602,37592,5.1
2013,Jul,68.9,65.5,741005,703834,37171,5.0
2013,Aug,68.9,65.5,740857,704023,36834,5.0
2013,Sep,68.8,65.4,740755,704241,36514,4.9
2013,Oct,68.8,65.4,740709,704550,36159,4.9
2013,Nov,68.7,65.4,740742,705001,35741,4.8
2013,Dec,68.7,65.4,740786,705512,35274,4.8
2014,Jan,68.9,65.6,743270,708392,34878,4.7
2014,Feb,68.8,65.7,743292,708936,34356,4.6
2014,Mar,68.8,65.7,743279,709442,33837,4.6
2014,Apr,68.7,65.7,743113,709802,33311,4.5
2014,May,68.7,65.6,742895,710151,32744,4.4
2014,Jun,68.6,65.6,742727,710602,32125,4.3
2014,Jul,68.6,65.7,742693,711220,31473,4.2
2014,Aug,68.5,65.7,742886,712048,30838,4.2
2014,Sep,68.5,65.8,743298,713030,30268,4.1
2014,Oct,68.6,65.8,743825,714068,29757,4.0
2014,Nov,68.6,65.9,744336,715053,29283,3.9
2014,Dec,68.6,65.9,744760,715937,28823,3.9
2015,Jan,68.6,66.0,745311,716971,28340,3.8
2015,Feb,68.6,66.1,745425,717598,27827,3.7
2015,Mar,68.6,66.1,745492,718224,27268,3.7
2015,Apr,68.6,66.1,745560,718910,26650,3.6
2015,May,68.6,66.2,745533,719539,25994,3.5
2015,Jun,68.5,66.2,745433,720097,25336,3.4
2015,Jul,68.5,66.2,745346,720643,24703,3.3
2015,Aug,68.4,66.2,745333,721229,24104,3.2
2015,Sep,68.4,66.2,745512,721983,23529,3.2
2015,Oct,68.4,66.3,745968,722983,22985,3.1
2015,Nov,68.4,66.4,746718,724223,22495,3.0
2015,Dec,68.5,66.4,747675,725600,22075,3.0
2016,Jan,68.5,66.5,748628,726884,21744,2.9
2016,Feb,68.5,66.6,749434,727904,21530,2.9
2016,Mar,68.6,66.6,750040,728596,21444,2.9
2016,Apr,68.6,66.6,750556,729086,21470,2.9
2016,May,68.6,66.6,751093,729549,21544,2.9
2016,Jun,68.6,66.6,751637,730044,21593,2.9
2016,Jul,68.6,66.6,752170,730592,21578,2.9
2016,Aug,68.6,66.6,752662,731153,21509,2.9
2016,Sep,68.5,66.6,753002,731579,21423,2.8
2016,Oct,68.5,66.6,753096,731748,21348,2.8
2016,Nov,68.4,66.5,752976,731697,21279,2.8
2016,Dec,68.4,66.5,752757,731555,21202,2.8
2017,Jan,68.3,66.4,752635,731535,21100,2.8
2017,Feb,68.3,66.4,752715,731771,20944,2.8
2017,Mar,68.3,66.4,752975,732242,20733,2.8
2017,Apr,68.3,66.4,753375,732862,20513,2.7
2017,May,68.3,66.4,753864,733522,20342,2.7
2017,Jun,68.3,66.4,754385,734128,20257,2.7
2017,Jul,68.3,66.4,754886,734628,20258,2.7
2017,Aug,68.3,66.4,755342,735038,20304,2.7
2017,Sep,68.3,66.4,755799,735450,20349,2.7
2017,Oct,68.3,66.4,756335,735975,20360,2.7
2017,Nov,68.3,66.5,756948,736606,20342,2.7
2017,Dec,68.3,66.5,757622,737320,20302,2.7
2018,Jan,68.4,66.5,758385,738133,20252,2.7
2018,Feb,68.4,66.6,759267,739058,20209,2.7
2018,Mar,68.5,66.7,760233,740073,20160,2.7
2018,Apr,68.5,66.7,761142,741076,20066,2.6
2018,May,68.6,66.8,761892,741989,19903,2.6
2018,Jun,68.6,66.8,762514,742836,19678,2.6
2018,Jul,68.6,66.8,763061,743636,19425,2.5
2018,Aug,68.6,66.9,763634,744434,19200,2.5
2018,Sep,68.6,66.9,764355,745306,19049,2.5
2018,Oct,68.6,66.9,765272,746283,18989,2.5
2018,Nov,68.7,67.0,766392,747376,19016,2.5
