Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,62.3,56.7,9589044,8737735,851309,8.9
2010,Feb,62.4,56.9,9605948,8757142,848806,8.8
2010,Mar,62.4,57.0,9621227,8776986,844241,8.8
2010,Apr,62.8,57.3,9630479,8792421,838058,8.7
2010,May,62.8,57.4,9631529,8801543,829986,8.6
2010,Jun,62.7,57.3,9623572,8801658,821914,8.5
2010,Jul,62.6,57.2,9609354,8792951,816403,8.5
2010,Aug,62.4,57.1,9593332,8779428,813904,8.5
2010,Sep,62.2,57.0,9577587,8764345,813242,8.5
2010,Oct,62.1,56.8,9563891,8752287,811604,8.5
2010,Nov,62.0,56.8,9551431,8744834,806597,8.4
2010,Dec,61.9,56.7,9539098,8740995,798103,8.4
2011,Jan,61.8,56.7,9528314,8739920,788394,8.3
2011,Feb,61.7,56.6,9517986,8738380,779606,8.2
2011,Mar,61.6,56.6,9506231,8733288,772943,8.1
2011,Apr,61.4,56.5,9493559,8723458,770101,8.1
2011,May,61.3,56.3,9483635,8711503,772132,8.1
2011,Jun,61.3,56.3,9480227,8702587,777640,8.2
2011,Jul,61.3,56.2,9486165,8701473,784692,8.3
2011,Aug,61.3,56.2,9500945,8708594,792351,8.3
2011,Sep,61.4,56.3,9521336,8721554,799782,8.4
2011,Oct,61.6,56.3,9543711,8736516,807195,8.5
2011,Nov,61.6,56.4,9562510,8748504,814006,8.5
2011,Dec,61.7,56.4,9574444,8754959,819485,8.6
2012,Jan,61.7,56.4,9581121,8757122,823999,8.6
2012,Feb,61.7,56.4,9586612,8758084,828528,8.6
2012,Mar,61.7,56.4,9591657,8757816,833841,8.7
2012,Apr,61.7,56.3,9594584,8756373,838211,8.7
2012,May,61.7,56.3,9597583,8757979,839604,8.7
2012,Jun,61.7,56.3,9602266,8765976,836290,8.7
2012,Jul,61.7,56.4,9608455,8780838,827617,8.6
2012,Aug,61.8,56.5,9617913,8801370,816543,8.5
2012,Sep,61.8,56.6,9631758,8824815,806943,8.4
2012,Oct,61.9,56.7,9645555,8845696,799859,8.3
2012,Nov,61.9,56.8,9655584,8860603,794981,8.2
2012,Dec,61.9,56.8,9659771,8868947,790824,8.2
2013,Jan,61.9,56.8,9655271,8869350,785921,8.1
2013,Feb,61.8,56.8,9651505,8872227,779278,8.1
2013,Mar,61.8,56.9,9651758,8880955,770803,8.0
2013,Apr,61.8,57.0,9660078,8897969,762109,7.9
2013,May,61.9,57.1,9672985,8917413,755572,7.8
2013,Jun,61.9,57.1,9685182,8932756,752426,7.8
2013,Jul,62.0,57.2,9692150,8941331,750819,7.7
2013,Aug,61.9,57.2,9687837,8942726,745111,7.7
2013,Sep,61.8,57.1,9671445,8938974,732471,7.6
2013,Oct,61.6,57.1,9650536,8934550,715986,7.4
2013,Nov,61.5,57.0,9631855,8933068,698787,7.3
2013,Dec,61.4,57.0,9617388,8934768,682620,7.1
