Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,73.4,70.5,372147,357286,14861,4.0
2010,Feb,73.7,70.8,373754,358981,14773,4.0
2010,Mar,73.9,71.0,375337,360682,14655,3.9
2010,Apr,72.0,69.2,376728,362204,14524,3.9
2010,May,72.2,69.4,377828,363433,14395,3.8
2010,Jun,72.2,69.5,378633,364357,14276,3.8
2010,Jul,72.3,69.6,379228,365054,14174,3.7
2010,Aug,72.3,69.6,379763,365670,14093,3.7
2010,Sep,72.3,69.6,380374,366342,14032,3.7
2010,Oct,72.3,69.7,381116,367162,13954,3.7
2010,Nov,72.4,69.8,381964,368119,13845,3.6
2010,Dec,72.5,69.9,382864,369132,13732,3.6
2011,Jan,72.5,70.0,383753,370131,13622,3.5
2011,Feb,72.6,70.1,384575,371059,13516,3.5
2011,Mar,72.7,70.1,385333,371889,13444,3.5
2011,Apr,72.7,70.2,386114,372677,13437,3.5
2011,May,72.8,70.3,386995,373491,13504,3.5
2011,Jun,72.9,70.3,387988,374372,13616,3.5
2011,Jul,73.0,70.4,389060,375345,13715,3.5
2011,Aug,73.1,70.5,390144,376405,13739,3.5
2011,Sep,73.1,70.6,391160,377505,13655,3.5
2011,Oct,73.2,70.6,392024,378566,13458,3.4
2011,Nov,73.2,70.7,392693,379527,13166,3.4
2011,Dec,73.2,70.8,393205,380385,12820,3.3
2012,Jan,73.1,70.8,393660,381180,12480,3.2
2012,Feb,73.1,70.8,394174,381964,12210,3.1
2012,Mar,73.1,70.9,394788,382755,12033,3.0
2012,Apr,73.1,70.9,395496,383552,11944,3.0
2012,May,73.1,70.9,396309,384374,11935,3.0
2012,Jun,73.2,71.0,397207,385218,11989,3.0
2012,Jul,73.2,71.0,398143,386061,12082,3.0
2012,Aug,73.2,71.0,399078,386881,12197,3.1
2012,Sep,73.2,71.0,399994,387687,12307,3.1
2012,Oct,73.2,71.0,400894,388519,12375,3.1
2012,Nov,73.2,70.9,401779,389375,12404,3.1
2012,Dec,73.2,70.9,402642,390233,12409,3.1
2013,Jan,73.1,70.8,402891,390510,12381,3.1
2013,Feb,73.1,70.8,403668,391355,12313,3.1
2013,Mar,73.1,70.8,404388,392174,12214,3.0
2013,Apr,73.0,70.8,405056,392959,12097,3.0
2013,May,73.0,70.8,405653,393686,11967,3.0
2013,Jun,72.9,70.8,406196,394364,11832,2.9
2013,Jul,72.8,70.7,406698,394991,11707,2.9
2013,Aug,72.8,70.7,407135,395535,11600,2.8
2013,Sep,72.7,70.6,407517,395998,11519,2.8
2013,Oct,72.6,70.6,407874,396414,11460,2.8
2013,Nov,72.6,70.6,408253,396865,11388,2.8
2013,Dec,72.5,70.5,408710,397430,11280,2.8
2014,Jan,72.4,70.4,408496,397358,11138,2.7
2014,Feb,72.4,70.5,409283,398255,11028,2.7
2014,Mar,72.5,70.6,410270,399334,10936,2.7
2014,Apr,72.6,70.7,411375,400499,10876,2.6
2014,May,72.7,70.7,412512,401649,10863,2.6
2014,Jun,72.7,70.8,413619,402712,10907,2.6
2014,Jul,72.8,70.9,414646,403648,10998,2.7
2014,Aug,72.8,70.9,415557,404458,11099,2.7
2014,Sep,72.8,70.9,416266,405103,11163,2.7
2014,Oct,72.8,70.8,416697,405528,11169,2.7
2014,Nov,72.7,70.7,416803,405688,11115,2.7
2014,Dec,72.5,70.6,416590,405551,11039,2.6
2015,Jan,72.3,70.4,415928,404928,11000,2.6
2015,Feb,72.1,70.2,415263,404214,11049,2.7
2015,Mar,71.9,69.9,414521,403334,11187,2.7
2015,Apr,71.6,69.7,413808,402421,11387,2.8
2015,May,71.4,69.4,413172,401589,11583,2.8
2015,Jun,71.2,69.2,412612,400901,11711,2.8
2015,Jul,71.0,69.0,412143,400406,11737,2.8
2015,Aug,70.9,68.9,411807,400103,11704,2.8
2015,Sep,70.9,68.9,411636,399941,11695,2.8
2015,Oct,70.9,68.9,411638,399835,11803,2.9
2015,Nov,70.9,68.9,411785,399710,12075,2.9
2015,Dec,71.0,68.9,412017,399545,12472,3.0
2016,Jan,71.1,68.8,412241,399340,12901,3.1
2016,Feb,71.1,68.8,412403,399138,13265,3.2
2016,Mar,71.1,68.8,412508,399025,13483,3.3
2016,Apr,71.2,68.8,412596,399083,13513,3.3
2016,May,71.2,68.9,412696,399332,13364,3.2
2016,Jun,71.2,69.0,412789,399704,13085,3.2
2016,Jul,71.2,69.0,412830,400070,12760,3.1
2016,Aug,71.2,69.1,412784,400315,12469,3.0
2016,Sep,71.2,69.1,412648,400406,12242,3.0
2016,Oct,71.2,69.1,412441,400363,12078,2.9
2016,Nov,71.1,69.1,412209,400270,11939,2.9
2016,Dec,71.1,69.1,411997,400214,11783,2.9
2017,Jan,71.1,69.1,411825,400253,11572,2.8
2017,Feb,71.1,69.1,411676,400375,11301,2.7
2017,Mar,71.1,69.2,411474,400473,11001,2.7
2017,Apr,71.0,69.2,411179,400441,10738,2.6
2017,May,71.0,69.1,410788,400217,10571,2.6
2017,Jun,70.9,69.1,410317,399784,10533,2.6
2017,Jul,70.8,69.0,409790,399175,10615,2.6
2017,Aug,70.7,68.8,409222,398467,10755,2.6
2017,Sep,70.5,68.7,408624,397731,10893,2.7
2017,Oct,70.4,68.5,408014,397043,10971,2.7
2017,Nov,70.3,68.4,407395,396404,10991,2.7
2017,Dec,70.2,68.3,406774,395797,10977,2.7
2018,Jan,70.1,68.2,406159,395224,10935,2.7
2018,Feb,70.0,68.1,405555,394685,10870,2.7
2018,Mar,69.8,68.0,404957,394168,10789,2.7
2018,Apr,69.7,67.9,404346,393648,10698,2.6
2018,May,69.6,67.8,403744,393132,10612,2.6
2018,Jun,69.5,67.7,403209,392679,10530,2.6
2018,Jul,69.4,67.6,402786,392352,10434,2.6
2018,Aug,69.3,67.6,402507,392194,10313,2.6
2018,Sep,69.3,67.5,402385,392224,10161,2.5
2018,Oct,69.3,67.5,402400,392421,9979,2.5
2018,Nov,69.3,67.6,402505,392744,9761,2.4
2018,Dec,69.3,67.6,402661,393123,9538,2.4
2019,Jan,69.3,67.7,402833,393461,9372,2.3
2019,Feb,69.3,67.7,403000,393695,9305,2.3
