Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,65.5,58.2,5874018,5223099,650919,11.1
2010,Feb,65.6,58.3,5878946,5230996,647950,11.0
2010,Mar,65.5,58.4,5878360,5239969,638391,10.9
2010,Apr,65.5,58.6,5872041,5247840,624201,10.6
2010,May,65.4,58.6,5861236,5253608,607628,10.4
2010,Jun,65.2,58.6,5848419,5256057,592362,10.1
2010,Jul,65.1,58.6,5837074,5255283,581791,10.0
2010,Aug,65.0,58.6,5829341,5252992,576349,9.9
2010,Sep,64.9,58.5,5824295,5250596,573699,9.9
2010,Oct,64.8,58.5,5820234,5250167,570067,9.8
2010,Nov,64.7,58.5,5814602,5252119,562483,9.7
2010,Dec,64.6,58.5,5806257,5255372,550885,9.5
2011,Jan,64.5,58.5,5797017,5258819,538198,9.3
2011,Feb,64.4,58.5,5788374,5260723,527651,9.1
2011,Mar,64.3,58.5,5781009,5259952,521057,9.0
2011,Apr,64.3,58.5,5775861,5256742,519119,9.0
2011,May,64.2,58.4,5774028,5252741,521287,9.0
2011,Jun,64.2,58.4,5774385,5250245,524140,9.1
2011,Jul,64.2,58.4,5775030,5251205,523825,9.1
2011,Aug,64.2,58.4,5773898,5255540,518358,9.0
2011,Sep,64.1,58.5,5769214,5261969,507245,8.8
2011,Oct,64.0,58.5,5760967,5268990,491977,8.5
2011,Nov,63.8,58.6,5750052,5274910,475142,8.3
2011,Dec,63.7,58.6,5737855,5278780,459075,8.0
2012,Jan,63.6,58.6,5726309,5281141,445168,7.8
2012,Feb,63.5,58.6,5717633,5283067,434566,7.6
2012,Mar,63.4,58.6,5712035,5284062,427973,7.5
2012,Apr,63.3,58.6,5707355,5283236,424119,7.4
2012,May,63.3,58.6,5703147,5281931,421216,7.4
2012,Jun,63.2,58.6,5699647,5281583,418064,7.3
2012,Jul,63.2,58.6,5696911,5282661,414250,7.3
2012,Aug,63.1,58.6,5696245,5284952,411293,7.2
2012,Sep,63.1,58.6,5699086,5287654,411432,7.2
2012,Oct,63.1,58.5,5703560,5288767,414793,7.3
2012,Nov,63.2,58.5,5707413,5287330,420083,7.4
2012,Dec,63.2,58.5,5709772,5284153,425619,7.5
2013,Jan,63.2,58.4,5710874,5280284,430590,7.5
2013,Feb,63.2,58.4,5711661,5277748,433913,7.6
2013,Mar,63.2,58.4,5713245,5278662,434583,7.6
2013,Apr,63.2,58.4,5717068,5283842,433226,7.6
2013,May,63.2,58.4,5721942,5290204,431738,7.5
2013,Jun,63.2,58.5,5726408,5294634,431774,7.5
2013,Jul,63.2,58.5,5729085,5296371,432714,7.6
2013,Aug,63.2,58.4,5727598,5296246,431352,7.5
2013,Sep,63.1,58.4,5721899,5296165,425734,7.4
2013,Oct,63.0,58.4,5715124,5298160,416964,7.3
2013,Nov,62.9,58.4,5709479,5303537,405942,7.1
2013,Dec,62.9,58.5,5704631,5311621,393010,6.9
2014,Jan,62.8,58.6,5702385,5323236,379149,6.6
2014,Feb,62.7,58.7,5697246,5332728,364518,6.4
2014,Mar,62.7,58.8,5693592,5341352,352240,6.2
2014,Apr,62.6,58.9,5691768,5348475,343293,6.0
2014,May,62.6,58.9,5692261,5355757,336504,5.9
2014,Jun,62.6,59.0,5695866,5365244,330622,5.8
2014,Jul,62.7,59.1,5701831,5376512,325319,5.7
2014,Aug,62.7,59.2,5709359,5388778,320581,5.6
2014,Sep,62.8,59.3,5716109,5400643,315466,5.5
2014,Oct,62.8,59.4,5719019,5410057,308962,5.4
2014,Nov,62.8,59.4,5716727,5415040,301687,5.3
2014,Dec,62.7,59.4,5711628,5415759,295869,5.2
2015,Jan,62.6,59.4,5708153,5415427,292726,5.1
2015,Feb,62.6,59.4,5704245,5412504,291741,5.1
2015,Mar,62.6,59.4,5702389,5411497,290892,5.1
2015,Apr,62.5,59.4,5701740,5413145,288595,5.1
2015,May,62.5,59.4,5700411,5416208,284203,5.0
2015,Jun,62.5,59.4,5696864,5418766,278098,4.9
2015,Jul,62.4,59.4,5692230,5420280,271950,4.8
2015,Aug,62.3,59.4,5688561,5420997,267564,4.7
2015,Sep,62.3,59.4,5687967,5422086,265881,4.7
2015,Oct,62.3,59.4,5692968,5425494,267474,4.7
2015,Nov,62.4,59.5,5704311,5431999,272312,4.8
2015,Dec,62.6,59.5,5719018,5440497,278521,4.9
2016,Jan,62.7,59.6,5732680,5448886,283794,5.0
2016,Feb,62.8,59.7,5742076,5455245,286831,5.0
2016,Mar,62.8,59.7,5745542,5458418,287124,5.0
2016,Apr,62.8,59.7,5744589,5458776,285813,5.0
2016,May,62.8,59.7,5742242,5457642,284600,5.0
2016,Jun,62.7,59.6,5740347,5455998,284349,5.0
2016,Jul,62.7,59.6,5739558,5454491,285067,5.0
2016,Aug,62.7,59.5,5740581,5453338,287243,5.0
2016,Sep,62.7,59.5,5744036,5452649,291387,5.1
2016,Oct,62.7,59.5,5748843,5452613,296230,5.2
2016,Nov,62.8,59.5,5753886,5454263,299623,5.2
2016,Dec,62.8,59.5,5758839,5458134,300705,5.2
2017,Jan,62.8,59.6,5763952,5464013,299939,5.2
2017,Feb,62.9,59.6,5769047,5471173,297874,5.2
2017,Mar,62.9,59.7,5773554,5477830,295724,5.1
2017,Apr,62.9,59.7,5777686,5483584,294102,5.1
2017,May,63.0,59.8,5781512,5488731,292781,5.1
2017,Jun,63.0,59.8,5785124,5493398,291726,5.0
2017,Jul,63.0,59.8,5788356,5497817,290539,5.0
2017,Aug,63.0,59.8,5789224,5501447,287777,5.0
2017,Sep,62.9,59.8,5786273,5503784,282489,4.9
2017,Oct,62.8,59.8,5780053,5504884,275169,4.8
2017,Nov,62.7,59.8,5772303,5504517,267786,4.6
2017,Dec,62.6,59.8,5765539,5503581,261958,4.5
2018,Jan,62.6,59.8,5762656,5503461,259195,4.5
2018,Feb,62.6,59.8,5765139,5505283,259856,4.5
2018,Mar,62.7,59.8,5771374,5509047,262327,4.5
2018,Apr,62.7,59.9,5777036,5512758,264278,4.6
2018,May,62.8,59.9,5779646,5515053,264593,4.6
2018,Jun,62.7,59.9,5779539,5516710,262829,4.5
2018,Jul,62.7,59.9,5778266,5518711,259555,4.5
2018,Aug,62.7,59.9,5779120,5522416,256704,4.4
2018,Sep,62.7,60.0,5783736,5528589,255147,4.4
2018,Oct,62.8,60.0,5791192,5536571,254621,4.4
2018,Nov,62.9,60.1,5799083,5545158,253925,4.4
2018,Dec,62.9,60.2,5804145,5552187,251958,4.3
2019,Jan,62.9,60.2,5803806,5555676,248130,4.3
2019,Feb,62.8,60.2,5798120,5555168,242952,4.2
2019,Mar,62.7,60.2,5791235,5552692,238543,4.1
2019,Apr,62.7,60.1,5787762,5551351,236411,4.1
2019,May,62.7,60.1,5789490,5552734,236756,4.1
2019,Jun,62.7,60.2,5795568,5556712,238856,4.1
2019,Jul,62.8,60.2,5804123,5563089,241034,4.2
2019,Aug,62.9,60.3,5810621,5569183,241438,4.2
2019,Sep,62.9,60.3,5814117,5574031,240086,4.1
2019,Oct,62.9,60.3,5814465,5576321,238144,4.1
2019,Nov,62.8,60.3,5812596,5575626,236970,4.1
2019,Dec,62.8,60.3,5811750,5574862,236888,4.1
2020,Jan,62.9,60.3,5818790,5580352,238438,4.1
2020,Feb,63.0,60.4,5829126,5588285,240841,4.1
2020,Mar,62.4,58.8,5776221,5441767,334454,5.8
2020,Apr,61.3,50.5,5672068,4672850,999218,17.6
2020,May,62.2,53.6,5755881,4958653,797228,13.9
2020,Jun,62.7,55.8,5801502,5165821,635681,11.0
2020,Jul,61.2,55.7,5663958,5153696,510262,9.0
2020,Aug,62.2(P),56.7(P),5757583(P),5247720(P),509863(P),8.9(P)
