Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,67.1,59.7,566147,503346,62801,11.1
2010,Feb,67.1,59.7,566578,503581,62997,11.1
2010,Mar,67.2,59.7,567057,503755,63302,11.2
2010,Apr,67.5,60.0,567548,503899,63649,11.2
2010,May,67.5,59.9,567916,503983,63933,11.3
2010,Jun,67.5,59.9,568033,503956,64077,11.3
2010,Jul,67.4,59.8,567869,503804,64065,11.3
2010,Aug,67.3,59.8,567424,503510,63914,11.3
2010,Sep,67.2,59.7,566704,503057,63647,11.2
2010,Oct,67.1,59.6,565780,502465,63315,11.2
2010,Nov,67.0,59.5,564740,501809,62931,11.1
2010,Dec,66.8,59.4,563679,501190,62489,11.1
2011,Jan,66.7,59.4,562727,500696,62031,11.0
2011,Feb,66.6,59.3,561956,500342,61614,11.0
2011,Mar,66.5,59.3,561290,500025,61265,10.9
2011,Apr,66.5,59.2,560646,499638,61008,10.9
2011,May,66.4,59.2,560052,499151,60901,10.9
2011,Jun,66.3,59.1,559558,498569,60989,10.9
2011,Jul,66.3,59.0,559187,497918,61269,11.0
2011,Aug,66.2,58.9,558961,497262,61699,11.0
2011,Sep,66.2,58.8,558926,496721,62205,11.1
2011,Oct,66.1,58.7,559077,496418,62659,11.2
2011,Nov,66.1,58.7,559300,496393,62907,11.2
2011,Dec,66.1,58.7,559436,496594,62842,11.2
2012,Jan,66.1,58.7,559376,496950,62426,11.2
2012,Feb,66.1,58.8,559086,497366,61720,11.0
2012,Mar,66.0,58.8,558645,497791,60854,10.9
2012,Apr,65.9,58.8,558234,498266,59968,10.7
2012,May,65.9,58.9,558003,498852,59151,10.6
2012,Jun,65.8,58.9,557986,499563,58423,10.5
2012,Jul,65.8,59.0,558147,500419,57728,10.3
2012,Aug,65.8,59.1,558414,501417,56997,10.2
2012,Sep,65.8,59.2,558651,502462,56189,10.1
2012,Oct,65.8,59.3,558715,503422,55293,9.9
2012,Nov,65.8,59.4,558557,504183,54374,9.7
2012,Dec,65.7,59.4,558181,504668,53513,9.6
2013,Jan,65.7,59.4,557653,504878,52775,9.5
2013,Feb,65.6,59.4,557115,504900,52215,9.4
2013,Mar,65.5,59.4,556680,504832,51848,9.3
2013,Apr,65.5,59.4,556398,504748,51650,9.3
2013,May,65.5,59.4,556300,504724,51576,9.3
2013,Jun,65.5,59.4,556409,504847,51562,9.3
2013,Jul,65.5,59.4,556682,505112,51570,9.3
2013,Aug,65.5,59.4,556982,505429,51553,9.3
2013,Sep,65.5,59.4,557190,505754,51436,9.2
2013,Oct,65.5,59.4,557269,506084,51185,9.2
2013,Nov,65.4,59.5,557240,506472,50768,9.1
2013,Dec,65.4,59.5,557167,507012,50155,9.0
2014,Jan,65.5,59.7,558138,508797,49341,8.8
2014,Feb,65.5,59.8,557926,509607,48319,8.7
2014,Mar,65.4,59.9,557675,510558,47117,8.4
2014,Apr,65.4,60.0,557385,511571,45814,8.2
2014,May,65.3,60.1,557041,512556,44485,8.0
2014,Jun,65.3,60.2,556644,513458,43186,7.8
2014,Jul,65.2,60.3,556231,514293,41938,7.5
2014,Aug,65.1,60.4,555912,515156,40756,7.3
2014,Sep,65.1,60.4,555710,516056,39654,7.1
2014,Oct,65.0,60.5,555568,516910,38658,7.0
2014,Nov,65.0,60.6,555424,517652,37772,6.8
2014,Dec,65.0,60.7,555298,518282,37016,6.7
2015,Jan,65.0,60.7,555165,518752,36413,6.6
2015,Feb,65.0,60.8,555238,519298,35940,6.5
2015,Mar,65.0,60.8,555376,519874,35502,6.4
2015,Apr,65.0,60.9,555442,520457,34985,6.3
2015,May,65.0,61.0,555324,520997,34327,6.2
2015,Jun,64.9,61.0,554996,521442,33554,6.0
2015,Jul,64.8,61.0,554507,521766,32741,5.9
2015,Aug,64.8,61.0,553938,521967,31971,5.8
2015,Sep,64.7,61.0,553433,522123,31310,5.7
2015,Oct,64.6,61.0,553167,522374,30793,5.6
2015,Nov,64.6,61.1,553188,522760,30428,5.5
2015,Dec,64.6,61.1,553375,523181,30194,5.5
2016,Jan,64.6,61.1,553553,523523,30030,5.4
2016,Feb,64.6,61.1,553657,523745,29912,5.4
2016,Mar,64.6,61.1,553684,523860,29824,5.4
2016,Apr,64.6,61.1,553676,523921,29755,5.4
2016,May,64.6,61.1,553680,523987,29693,5.4
2016,Jun,64.6,61.1,553669,524110,29559,5.3
2016,Jul,64.6,61.1,553569,524307,29262,5.3
2016,Aug,64.5,61.2,553355,524592,28763,5.2
