Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,66.0,60.6,12068751,11067039,1001712,8.3
2010,Feb,66.2,60.7,12116512,11112513,1003999,8.3
2010,Mar,66.4,60.9,12160592,11157088,1003504,8.3
2010,Apr,65.8,60.4,12196433,11196606,999827,8.2
2010,May,65.8,60.5,12222758,11230124,992634,8.1
2010,Jun,65.8,60.5,12241226,11256000,985226,8.0
2010,Jul,65.8,60.5,12256847,11274789,982058,8.0
2010,Aug,65.8,60.5,12275032,11290591,984441,8.0
2010,Sep,65.8,60.5,12297212,11306452,990760,8.1
2010,Oct,65.8,60.5,12323904,11326471,997433,8.1
2010,Nov,65.9,60.5,12351634,11350972,1000662,8.1
2010,Dec,65.9,60.6,12376187,11377594,998593,8.1
2011,Jan,65.9,60.6,12398361,11405419,992942,8.0
2011,Feb,65.9,60.7,12418190,11431874,986316,7.9
2011,Mar,65.9,60.7,12434400,11453932,980468,7.9
2011,Apr,65.9,60.7,12448436,11470598,977838,7.9
2011,May,65.9,60.7,12464746,11484860,979886,7.9
2011,Jun,65.9,60.7,12485494,11501815,983679,7.9
2011,Jul,65.9,60.7,12510889,11526050,984839,7.9
2011,Aug,66.0,60.8,12538173,11557468,980705,7.8
2011,Sep,66.0,60.9,12562867,11592874,969993,7.7
2011,Oct,66.0,61.0,12582374,11628674,953700,7.6
2011,Nov,65.9,61.0,12594608,11660707,933901,7.4
2011,Dec,65.8,61.1,12599720,11686379,913341,7.2
2012,Jan,65.7,61.1,12600830,11705732,895098,7.1
2012,Feb,65.7,61.1,12603733,11721887,881846,7.0
2012,Mar,65.6,61.0,12611236,11736127,875109,6.9
2012,Apr,65.6,61.0,12621391,11749382,872009,6.9
2012,May,65.5,61.0,12634585,11766133,868452,6.9
2012,Jun,65.5,61.0,12651081,11789580,861501,6.8
2012,Jul,65.5,61.1,12670049,11820135,849914,6.7
2012,Aug,65.5,61.2,12691669,11854807,836862,6.6
2012,Sep,65.5,61.3,12715945,11888879,827066,6.5
2012,Oct,65.5,61.3,12738355,11915952,822403,6.5
2012,Nov,65.5,61.3,12755964,11932919,823045,6.5
2012,Dec,65.5,61.2,12768962,11941642,827320,6.5
2013,Jan,65.5,61.2,12782095,11950350,831745,6.5
2013,Feb,65.4,61.1,12791417,11955951,835466,6.5
2013,Mar,65.4,61.1,12804276,11969681,834595,6.5
2013,Apr,65.4,61.2,12823913,11994866,829047,6.5
2013,May,65.4,61.2,12846262,12024923,821339,6.4
2013,Jun,65.4,61.3,12866183,12052275,813908,6.3
2013,Jul,65.4,61.3,12881306,12073900,807406,6.3
2013,Aug,65.3,61.3,12889379,12090790,798589,6.2
2013,Sep,65.2,61.3,12892798,12106935,785863,6.1
2013,Oct,65.1,61.2,12899050,12126701,772349,6.0
2013,Nov,65.1,61.3,12912799,12153454,759345,5.9
2013,Dec,65.1,61.3,12932783,12186304,746479,5.8
2014,Jan,65.1,61.5,12965427,12232666,732761,5.7
2014,Feb,65.1,61.5,12985475,12268181,717294,5.5
2014,Mar,65.1,61.6,13003115,12299831,703284,5.4
2014,Apr,65.1,61.6,13016630,12324725,691905,5.3
2014,May,65.0,61.6,13027345,12345743,681602,5.2
2014,Jun,65.0,61.6,13039482,12367837,671645,5.2
2014,Jul,64.9,61.6,13052806,12391017,661789,5.1
2014,Aug,64.9,61.6,13066919,12414967,651952,5.0
2014,Sep,64.8,61.6,13079290,12438299,640991,4.9
2014,Oct,64.7,61.6,13084576,12457796,626780,4.8
2014,Nov,64.6,61.6,13080363,12470156,610207,4.7
2014,Dec,64.4,61.5,13071141,12475844,595297,4.6
2015,Jan,64.2,61.4,13053525,12469536,583989,4.5
2015,Feb,64.1,61.3,13048430,12469746,578684,4.4
2015,Mar,64.0,61.2,13049082,12472470,576612,4.4
2015,Apr,63.9,61.1,13054746,12479211,575535,4.4
2015,May,63.8,61.0,13062607,12487773,574834,4.4
2015,Jun,63.8,61.0,13069936,12495242,574694,4.4
2015,Jul,63.7,60.9,13078000,12501778,576222,4.4
2015,Aug,63.6,60.8,13088345,12508795,579550,4.4
2015,Sep,63.6,60.8,13101981,12519355,582626,4.4
2015,Oct,63.6,60.8,13122196,12537645,584551,4.5
2015,Nov,63.6,60.8,13149639,12564036,585603,4.5
2015,Dec,63.7,60.8,13179976,12594665,585311,4.4
2016,Jan,63.7,60.9,13208828,12624562,584266,4.4
2016,Feb,63.7,60.9,13234764,12649925,584839,4.4
2016,Mar,63.7,60.9,13257970,12669432,588538,4.4
2016,Apr,63.8,60.9,13280901,12684335,596566,4.5
2016,May,63.8,60.9,13305802,12697623,608179,4.6
2016,Jun,63.8,60.8,13331528,12711478,620050,4.7
2016,Jul,63.8,60.8,13356210,12726964,629246,4.7
2016,Aug,63.8,60.8,13378885,12743432,635453,4.7
2016,Sep,63.8,60.8,13399340,12759137,640203,4.8
2016,Oct,63.8,60.8,13416647,12773301,643346,4.8
2016,Nov,63.8,60.7,13432470,12788698,643772,4.8
2016,Dec,63.8,60.8,13449886,12808057,641829,4.8
2017,Jan,63.8,60.8,13469939,12832003,637936,4.7
2017,Feb,63.8,60.8,13490852,12860135,630717,4.7
2017,Mar,63.8,60.9,13509998,12889646,620352,4.6
2017,Apr,63.8,61.0,13527910,12919986,607924,4.5
2017,May,63.8,61.0,13545404,12951366,594038,4.4
2017,Jun,63.8,61.1,13563216,12982307,580909,4.3
2017,Jul,63.8,61.2,13582350,13011793,570557,4.2
2017,Aug,63.8,61.2,13601714,13038893,562821,4.1
2017,Sep,63.8,61.2,13621164,13063996,557168,4.1
2017,Oct,63.9,61.3,13641289,13087950,553339,4.1
2017,Nov,63.9,61.3,13661966,13110303,551663,4.0
2017,Dec,63.9,61.3,13683655,13132506,551149,4.0
2018,Jan,63.9,61.4,13707892,13156374,551518,4.0
2018,Feb,64.0,61.4,13735386,13182948,552438,4.0
2018,Mar,64.0,61.5,13762997,13211042,551955,4.0
2018,Apr,64.1,61.5,13784494,13236243,548251,4.0
2018,May,64.0,61.5,13798149,13256169,541980,3.9
2018,Jun,64.0,61.5,13807325,13273403,533922,3.9
2018,Jul,64.0,61.5,13815834,13290921,524913,3.8
2018,Aug,63.9,61.5,13829344,13311213,518131,3.7
2018,Sep,63.9,61.6,13850222,13334935,515287,3.7
2018,Oct,64.0,61.6,13876594,13360885,515709,3.7
2018,Nov,64.0,61.6,13903768,13386988,516780,3.7
2018,Dec,64.0,61.7,13925197,13409628,515569,3.7
2019,Jan,64.0,61.7,13936827,13426550,510277,3.7
2019,Feb,63.9,61.6,13939304,13437974,501330,3.6
2019,Mar,63.9,61.6,13939677,13447760,491917,3.5
2019,Apr,63.8,61.6,13946357,13461899,484458,3.5
2019,May,63.8,61.6,13964638,13483946,480692,3.4
2019,Jun,63.9,61.7,13996248,13514401,481847,3.4
2019,Jul,64.0,61.8,14042579,13555554,487025,3.5
2019,Aug,64.1,61.9,14090993,13598543,492450,3.5
2019,Sep,64.2,62.0,14133202,13637428,495774,3.5
2019,Oct,64.2,62.0,14160862,13663754,497108,3.5
2019,Nov,64.2,61.9,14161219,13664882,496337,3.5
2019,Dec,64.1,61.8,14155916,13660124,495792,3.5
2020,Jan,64.1,61.9,14180789,13686397,494392,3.5
2020,Feb,64.1,61.9,14199564,13707110,492454,3.5
2020,Mar,63.1,59.9,14004479,13288652,715827,5.1
2020,Apr,58.4,50.5,12960683,11216661,1744022,13.5
2020,May,60.7,52.8,13498250,11745046,1753204,13.0
2020,Jun,61.9,56.8,13794279,12639427,1154852,8.4
2020,Jul,62.0,57.0,13834694,12721089,1113605,8.0
2020,Aug,64.4(P),60.0(P),14378010(P),13403380(P),974630(P),6.8(P)
