Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,68.0,63.0,4111141,3805371,305770,7.4
2010,Feb,68.2,63.1,4124601,3817085,307516,7.5
2010,Mar,68.3,63.3,4137711,3830874,306837,7.4
2010,Apr,67.5,62.5,4148999,3844786,304213,7.3
2010,May,67.6,62.7,4157743,3857567,300176,7.2
2010,Jun,67.6,62.8,4163295,3867279,296016,7.1
2010,Jul,67.5,62.8,4166373,3873305,293068,7.0
2010,Aug,67.5,62.8,4168725,3877131,291594,7.0
2010,Sep,67.5,62.8,4171404,3880460,290944,7.0
2010,Oct,67.5,62.8,4175430,3885597,289833,6.9
2010,Nov,67.5,62.8,4180277,3892824,287453,6.9
2010,Dec,67.5,62.9,4184771,3900973,283798,6.8
2011,Jan,67.5,63.0,4188985,3909237,279748,6.7
2011,Feb,67.5,63.0,4192419,3916211,276208,6.6
2011,Mar,67.4,63.0,4194471,3920687,273784,6.5
2011,Apr,67.4,63.0,4195672,3922364,273308,6.5
2011,May,67.4,63.0,4197759,3922591,275168,6.6
2011,Jun,67.4,62.9,4202228,3923950,278278,6.6
2011,Jul,67.4,62.9,4209618,3928498,281120,6.7
2011,Aug,67.5,63.0,4218678,3936029,282649,6.7
2011,Sep,67.5,63.0,4227345,3945096,282249,6.7
2011,Oct,67.6,63.1,4233999,3954022,279977,6.6
2011,Nov,67.5,63.1,4236996,3960885,276111,6.5
2011,Dec,67.5,63.1,4235857,3964606,271251,6.4
2012,Jan,67.3,63.1,4231959,3965563,266396,6.3
2012,Feb,67.2,63.0,4227576,3964867,262709,6.2
2012,Mar,67.1,62.9,4223386,3962491,260895,6.2
2012,Apr,66.9,62.8,4219059,3958783,260276,6.2
2012,May,66.8,62.7,4215862,3955951,259911,6.2
2012,Jun,66.7,62.6,4214807,3955826,258981,6.1
2012,Jul,66.7,62.6,4216026,3959188,256838,6.1
2012,Aug,66.7,62.7,4219676,3965800,253876,6.0
2012,Sep,66.7,62.8,4225316,3974214,251102,5.9
2012,Oct,66.7,62.8,4230738,3981872,248866,5.9
2012,Nov,66.7,62.8,4234388,3986946,247442,5.8
