Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,55.7,50.9,810979,741429,69550,8.6
2010,Feb,55.7,50.9,811352,741553,69799,8.6
2010,Mar,55.7,50.9,811333,741758,69575,8.6
2010,Apr,54.8,50.1,811023,741898,69125,8.5
2010,May,54.7,50.1,810631,741930,68701,8.5
2010,Jun,54.7,50.0,810305,741731,68574,8.5
2010,Jul,54.6,50.0,810258,741281,68977,8.5
2010,Aug,54.6,49.9,810584,740714,69870,8.6
2010,Sep,54.7,49.9,811033,740150,70883,8.7
2010,Oct,54.7,49.8,811378,739783,71595,8.8
2010,Nov,54.7,49.8,811476,739694,71782,8.8
2010,Dec,54.6,49.8,811158,739807,71351,8.8
2011,Jan,54.6,49.8,810420,740067,70353,8.7
2011,Feb,54.5,49.8,809255,740310,68945,8.5
2011,Mar,54.4,49.8,807674,740350,67324,8.3
2011,Apr,54.3,49.8,805973,740138,65835,8.2
2011,May,54.2,49.8,804653,739845,64808,8.1
2011,Jun,54.1,49.8,804111,739808,64303,8.0
2011,Jul,54.1,49.8,804494,740334,64160,8.0
2011,Aug,54.2,49.9,805556,741468,64088,8.0
2011,Sep,54.3,50.0,806802,743018,63784,7.9
2011,Oct,54.3,50.1,807723,744664,63059,7.8
2011,Nov,54.3,50.2,807925,746031,61894,7.7
2011,Dec,54.3,50.2,807497,746935,60562,7.5
2012,Jan,54.2,50.3,806904,747452,59452,7.4
2012,Feb,54.2,50.3,806692,747779,58913,7.3
2012,Mar,54.3,50.3,807060,747980,59080,7.3
2012,Apr,54.3,50.3,807745,747982,59763,7.4
2012,May,54.4,50.3,808536,747879,60657,7.5
2012,Jun,54.4,50.3,809176,747721,61455,7.6
2012,Jul,54.4,50.2,809458,747538,61920,7.6
2012,Aug,54.4,50.2,809418,747379,62039,7.7
2012,Sep,54.4,50.2,809186,747295,61891,7.6
2012,Oct,54.3,50.2,808673,747207,61466,7.6
2012,Nov,54.3,50.2,807834,747059,60775,7.5
2012,Dec,54.2,50.2,806563,746816,59747,7.4
2013,Jan,54.1,50.2,804599,746201,58398,7.3
2013,Feb,54.0,50.2,802673,745783,56890,7.1
2013,Mar,53.9,50.1,800945,745534,55411,6.9
2013,Apr,53.8,50.2,799753,745613,54140,6.8
2013,May,53.8,50.2,798997,745774,53223,6.7
2013,Jun,53.7,50.2,798464,745717,52747,6.6
2013,Jul,53.7,50.1,797952,745311,52641,6.6
2013,Aug,53.6,50.1,797285,744561,52724,6.6
2013,Sep,53.6,50.0,796583,743643,52940,6.6
2013,Oct,53.6,50.0,796163,742819,53344,6.7
2013,Nov,53.6,50.0,796140,742286,53854,6.8
2013,Dec,53.6,49.9,796384,742039,54345,6.8
2014,Jan,53.7,50.0,797245,742595,54650,6.9
2014,Feb,53.7,50.0,796881,742369,54512,6.8
2014,Mar,53.6,50.0,795812,741741,54071,6.8
2014,Apr,53.5,49.9,793946,740500,53446,6.7
2014,May,53.3,49.8,791576,738838,52738,6.7
2014,Jun,53.2,49.7,789173,737102,52071,6.6
2014,Jul,53.0,49.6,786998,735431,51567,6.6
2014,Aug,52.9,49.5,785214,733968,51246,6.5
2014,Sep,52.8,49.4,783758,732752,51006,6.5
2014,Oct,52.7,49.3,782472,731658,50814,6.5
2014,Nov,52.7,49.3,781369,730568,50801,6.5
2014,Dec,52.7,49.2,780638,729513,51125,6.5
2015,Jan,52.6,49.1,779937,728175,51762,6.6
2015,Feb,52.7,49.1,780294,727492,52802,6.8
2015,Mar,52.8,49.1,781163,727238,53925,6.9
2015,Apr,52.8,49.1,782246,727425,54821,7.0
2015,May,52.9,49.2,783039,727849,55190,7.0
2015,Jun,52.9,49.2,783146,728276,54870,7.0
2015,Jul,52.9,49.3,782598,728662,53936,6.9
2015,Aug,52.9,49.3,781703,729024,52679,6.7
2015,Sep,52.8,49.3,780938,729435,51503,6.6
2015,Oct,52.8,49.4,780717,730032,50685,6.5
2015,Nov,52.9,49.5,781075,730797,50278,6.4
2015,Dec,52.9,49.5,781797,731590,50207,6.4
2016,Jan,53.0,49.6,782601,732293,50308,6.4
2016,Feb,53.1,49.7,783165,732842,50323,6.4
2016,Mar,53.1,49.7,783326,733270,50056,6.4
2016,Apr,53.1,49.8,783171,733639,49532,6.3
2016,May,53.1,49.8,782961,734039,48922,6.2
2016,Jun,53.1,49.9,782852,734503,48349,6.2
2016,Jul,53.1,49.9,782797,734988,47809,6.1
2016,Aug,53.2,50.0,782636,735395,47241,6.0
2016,Sep,53.2,50.0,782160,735663,46497,5.9
2016,Oct,53.1,50.0,781278,735807,45471,5.8
2016,Nov,53.1,50.1,780202,735999,44203,5.7
2016,Dec,53.0,50.1,779111,736338,42773,5.5
