Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,69.6,63.1,3083443,2797679,285764,9.3
2010,Feb,69.6,63.2,3086109,2801443,284666,9.2
2010,Mar,69.6,63.3,3087194,2806064,281130,9.1
2010,Apr,69.7,63.5,3086430,2810586,275844,8.9
2010,May,69.6,63.5,3084376,2814523,269853,8.7
2010,Jun,69.5,63.6,3081690,2817143,264547,8.6
2010,Jul,69.4,63.6,3079144,2818271,260873,8.5
2010,Aug,69.4,63.5,3077421,2818765,258656,8.4
2010,Sep,69.3,63.5,3076644,2819440,257204,8.4
2010,Oct,69.3,63.5,3076808,2821200,255608,8.3
2010,Nov,69.3,63.6,3077385,2824124,253261,8.2
2010,Dec,69.2,63.6,3077956,2827631,250325,8.1
2011,Jan,69.2,63.7,3078616,2831223,247393,8.0
2011,Feb,69.2,63.7,3079198,2834085,245113,8.0
2011,Mar,69.2,63.7,3079171,2835621,243550,7.9
2011,Apr,69.2,63.7,3078538,2835798,242740,7.9
2011,May,69.1,63.7,3078037,2835461,242576,7.9
2011,Jun,69.1,63.6,3078180,2835790,242390,7.9
2011,Jul,69.1,63.7,3079161,2837754,241407,7.8
2011,Aug,69.1,63.7,3080439,2841227,239212,7.8
2011,Sep,69.0,63.8,3081117,2845317,235800,7.7
2011,Oct,69.0,63.8,3080722,2849043,231679,7.5
2011,Nov,68.9,63.8,3078927,2851605,227322,7.4
2011,Dec,68.8,63.8,3076083,2852907,223176,7.3
2012,Jan,68.8,63.8,3073271,2853474,219797,7.2
2012,Feb,68.7,63.8,3071805,2853968,217837,7.1
2012,Mar,68.7,63.8,3071871,2854197,217674,7.1
2012,Apr,68.7,63.8,3072550,2853844,218706,7.1
2012,May,68.7,63.7,3073221,2853486,219735,7.1
2012,Jun,68.6,63.7,3073578,2853821,219757,7.1
2012,Jul,68.6,63.7,3073583,2855276,218307,7.1
2012,Aug,68.6,63.7,3073682,2857759,215923,7.0
2012,Sep,68.5,63.8,3074429,2860850,213579,6.9
2012,Oct,68.5,63.8,3075396,2863615,211781,6.9
2012,Nov,68.5,63.8,3076462,2865210,211252,6.9
2012,Dec,68.5,63.8,3077345,2865352,211993,6.9
2013,Jan,68.5,63.7,3078665,2864372,214293,7.0
2013,Feb,68.5,63.7,3078497,2863492,215005,7.0
2013,Mar,68.5,63.7,3078567,2864048,214519,7.0
2013,Apr,68.5,63.7,3079492,2866689,212803,6.9
2013,May,68.5,63.8,3080726,2870274,210452,6.8
2013,Jun,68.4,63.8,3081531,2873381,208150,6.8
2013,Jul,68.4,63.8,3081684,2875314,206370,6.7
2013,Aug,68.4,63.8,3080854,2876301,204553,6.6
2013,Sep,68.3,63.8,3079146,2877163,201983,6.6
2013,Oct,68.2,63.8,3077519,2878666,198853,6.5
2013,Nov,68.2,63.8,3076633,2881455,195178,6.3
2013,Dec,68.1,63.9,3076376,2885410,190966,6.2
2014,Jan,68.1,64.0,3075754,2888662,187092,6.1
2014,Feb,68.1,64.0,3075596,2893150,182446,5.9
2014,Mar,68.1,64.1,3075543,2897466,178077,5.8
2014,Apr,68.0,64.2,3075632,2901422,174210,5.7
2014,May,68.0,64.2,3076283,2905645,170638,5.5
2014,Jun,68.0,64.3,3078205,2911033,167172,5.4
2014,Jul,68.1,64.4,3081046,2917317,163729,5.3
2014,Aug,68.1,64.6,3084415,2923857,160558,5.2
2014,Sep,68.2,64.7,3087720,2929859,157861,5.1
2014,Oct,68.2,64.7,3089888,2934560,155328,5.0
2014,Nov,68.2,64.8,3090268,2937453,152815,4.9
2014,Dec,68.1,64.8,3089507,2938840,150667,4.9
2015,Jan,68.1,64.8,3087779,2938795,148984,4.8
2015,Feb,68.0,64.8,3086842,2939106,147736,4.8
2015,Mar,68.0,64.8,3086429,2939995,146434,4.7
2015,Apr,68.0,64.8,3086529,2941835,144694,4.7
2015,May,68.0,64.8,3086842,2944400,142442,4.6
2015,Jun,68.0,64.9,3087109,2947161,139948,4.5
2015,Jul,68.0,64.9,3087842,2950100,137742,4.5
2015,Aug,68.0,65.0,3089588,2953443,136145,4.4
2015,Sep,68.0,65.0,3092592,2957552,135040,4.4
2015,Oct,68.1,65.1,3097272,2962934,134338,4.3
2015,Nov,68.2,65.2,3103488,2969478,134010,4.3
2015,Dec,68.3,65.4,3110041,2976432,133609,4.3
2016,Jan,68.4,65.5,3115613,2982875,132738,4.3
2016,Feb,68.5,65.6,3119468,2988038,131430,4.2
2016,Mar,68.5,65.6,3121563,2991754,129809,4.2
2016,Apr,68.5,65.7,3122575,2994376,128199,4.1
2016,May,68.5,65.7,3123329,2996485,126844,4.1
2016,Jun,68.5,65.7,3124225,2998533,125692,4.0
2016,Jul,68.5,65.7,3125250,3000738,124512,4.0
2016,Aug,68.5,65.8,3126201,3002890,123311,3.9
2016,Sep,68.4,65.8,3126951,3004679,122272,3.9
2016,Oct,68.4,65.8,3127183,3006067,121116,3.9
2016,Nov,68.4,65.8,3126992,3007705,119287,3.8
2016,Dec,68.3,65.8,3126899,3010266,116633,3.7
2017,Jan,68.3,65.8,3127391,3013979,113412,3.6
2017,Feb,68.3,65.9,3128569,3018688,109881,3.5
2017,Mar,68.3,66.0,3130104,3023461,106643,3.4
2017,Apr,68.4,66.1,3132004,3027791,104213,3.3
2017,May,68.4,66.1,3134228,3031530,102698,3.3
2017,Jun,68.4,66.2,3136337,3034318,102019,3.3
2017,Jul,68.4,66.2,3137927,3036064,101863,3.2
2017,Aug,68.4,66.2,3138347,3036889,101458,3.2
2017,Sep,68.3,66.1,3137353,3037173,100180,3.2
2017,Oct,68.2,66.1,3135391,3037272,98119,3.1
2017,Nov,68.2,66.1,3132930,3037053,95877,3.1
2017,Dec,68.1,66.0,3130606,3036632,93974,3.0
2018,Jan,68.0,66.0,3129139,3036181,92958,3.0
2018,Feb,68.0,66.0,3128762,3035713,93049,3.0
2018,Mar,68.0,65.9,3128769,3034914,93855,3.0
2018,Apr,67.9,65.9,3127690,3033030,94660,3.0
2018,May,67.8,65.8,3124755,3029703,95052,3.0
2018,Jun,67.7,65.7,3120433,3025633,94800,3.0
2018,Jul,67.6,65.5,3115579,3021673,93906,3.0
2018,Aug,67.4,65.4,3111545,3018569,92976,3.0
2018,Sep,67.4,65.4,3109070,3016588,92482,3.0
2018,Oct,67.3,65.3,3108080,3015479,92601,3.0
2018,Nov,67.3,65.3,3108131,3014771,93360,3.0
2018,Dec,67.3,65.2,3108207,3013527,94680,3.0
2019,Jan,67.2,65.1,3107365,3011087,96278,3.1
2019,Feb,67.2,65.0,3105384,3007474,97910,3.2
2019,Mar,67.1,64.9,3103060,3003443,99617,3.2
2019,Apr,67.0,64.8,3101367,2999990,101377,3.3
2019,May,67.0,64.8,3100758,2997743,103015,3.3
2019,Jun,67.0,64.7,3101295,2996909,104386,3.4
2019,Jul,67.0,64.7,3103095,2997498,105597,3.4
2019,Aug,67.0,64.7,3104935,2998455,106480,3.4
2019,Sep,67.0,64.7,3106837,2999745,107092,3.4
2019,Oct,67.0,64.7,3108148,3000585,107563,3.5
2019,Nov,66.9,64.6,3108239,3000639,107600,3.5
2019,Dec,66.9,64.6,3108122,3000569,107553,3.5
2020,Jan,66.9,64.6,3110114,3000511,109603,3.5
2020,Feb,66.9,64.5,3108814,2999939,108875,3.5
2020,Mar,66.4,64.4,3088813,2992488,96325,3.1
2020,Apr,65.5,56.6,3048647,2633090,415557,13.6
2020,May,66.7,58.6,3103238,2726588,376650,12.1
2020,Jun,65.8,60.1,3062803,2798171,264632,8.6
2020,Jul,65.0,60.3,3026513,2810714,215799,7.1
2020,Aug,65.4(P),61.3(P),3048370(P),2858414(P),189956(P),6.2(P)
