Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,71.7,66.6,301774,280222,21552,7.1
2010,Feb,71.8,66.7,302123,280793,21330,7.1
2010,Mar,71.8,66.8,302337,281479,20858,6.9
2010,Apr,69.8,65.2,302446,282195,20251,6.7
2010,May,69.8,65.3,302531,282900,19631,6.5
2010,Jun,69.8,65.4,302704,283583,19121,6.3
2010,Jul,69.8,65.5,303001,284227,18774,6.2
2010,Aug,69.9,65.6,303421,284841,18580,6.1
2010,Sep,70.0,65.7,303969,285423,18546,6.1
2010,Oct,70.1,65.8,304600,285972,18628,6.1
2010,Nov,70.2,65.9,305218,286461,18757,6.1
2010,Dec,70.2,65.9,305701,286854,18847,6.2
2011,Jan,70.3,66.0,305969,287153,18816,6.1
2011,Feb,70.3,66.0,306064,287421,18643,6.1
2011,Mar,70.2,66.0,306066,287721,18345,6.0
2011,Apr,70.2,66.1,306051,288070,17981,5.9
2011,May,70.2,66.2,306102,288452,17650,5.8
2011,Jun,70.2,66.2,306270,288849,17421,5.7
2011,Jul,70.2,66.3,306582,289259,17323,5.7
2011,Aug,70.2,66.3,307001,289658,17343,5.6
2011,Sep,70.2,66.2,307425,290022,17403,5.7
2011,Oct,70.2,66.2,307757,290332,17425,5.7
2011,Nov,70.1,66.2,307944,290592,17352,5.6
2011,Dec,70.0,66.1,307983,290823,17160,5.6
2012,Jan,69.9,66.1,307909,291027,16882,5.5
2012,Feb,69.8,66.0,307765,291172,16593,5.4
2012,Mar,69.6,65.9,307605,291232,16373,5.3
2012,Apr,69.5,65.8,307476,291207,16269,5.3
2012,May,69.4,65.7,307387,291112,16275,5.3
2012,Jun,69.3,65.6,307332,290981,16351,5.3
2012,Jul,69.2,65.5,307263,290838,16425,5.3
2012,Aug,69.1,65.4,307166,290725,16441,5.4
2012,Sep,69.0,65.3,307068,290689,16379,5.3
2012,Oct,68.9,65.3,306980,290753,16227,5.3
2012,Nov,68.8,65.2,306920,290901,16019,5.2
2012,Dec,68.8,65.2,306883,291091,15792,5.1
2013,Jan,68.7,65.2,306849,291304,15545,5.1
2013,Feb,68.6,65.2,306804,291528,15276,5.0
2013,Mar,68.6,65.2,306746,291757,14989,4.9
2013,Apr,68.5,65.2,306679,291974,14705,4.8
2013,May,68.4,65.2,306617,292152,14465,4.7
2013,Jun,68.4,65.2,306561,292274,14287,4.7
2013,Jul,68.3,65.1,306532,292348,14184,4.6
2013,Aug,68.3,65.1,306522,292385,14137,4.6
2013,Sep,68.3,65.1,306498,292395,14103,4.6
2013,Oct,68.3,65.1,306442,292400,14042,4.6
2013,Nov,68.2,65.1,306338,292432,13906,4.5
2013,Dec,68.2,65.2,306198,292523,13675,4.5
2014,Jan,68.1,65.1,305825,292432,13393,4.4
2014,Feb,68.1,65.2,305785,292662,13123,4.3
2014,Mar,68.1,65.3,305801,292916,12885,4.2
2014,Apr,68.1,65.3,305880,293160,12720,4.2
2014,May,68.2,65.4,306008,293379,12629,4.1
2014,Jun,68.2,65.4,306172,293549,12623,4.1
2014,Jul,68.2,65.4,306316,293648,12668,4.1
2014,Aug,68.2,65.4,306355,293681,12674,4.1
2014,Sep,68.1,65.3,306253,293668,12585,4.1
2014,Oct,68.1,65.3,306036,293633,12403,4.1
2014,Nov,68.0,65.3,305775,293590,12185,4.0
2014,Dec,67.9,65.2,305527,293518,12009,3.9
2015,Jan,67.8,65.1,305125,293147,11978,3.9
2015,Feb,67.7,65.1,304974,292866,12108,4.0
2015,Mar,67.7,65.0,304861,292482,12379,4.1
2015,Apr,67.7,64.8,304751,292036,12715,4.2
2015,May,67.6,64.7,304602,291577,13025,4.3
2015,Jun,67.5,64.6,304380,291150,13230,4.3
2015,Jul,67.4,64.5,304080,290778,13302,4.4
2015,Aug,67.4,64.4,303764,290436,13328,4.4
2015,Sep,67.3,64.3,303488,290074,13414,4.4
2015,Oct,67.3,64.2,303291,289645,13646,4.5
2015,Nov,67.2,64.1,303212,289125,14087,4.6
2015,Dec,67.3,64.0,303261,288508,14753,4.9
2016,Jan,67.3,63.9,303381,287824,15557,5.1
2016,Feb,67.3,63.7,303454,287103,16351,5.4
2016,Mar,67.3,63.6,303335,286366,16969,5.6
2016,Apr,67.2,63.4,302924,285641,17283,5.7
2016,May,67.1,63.2,302195,284943,17252,5.7
2016,Jun,66.9,63.1,301187,284286,16901,5.6
2016,Jul,66.6,63.0,300061,283685,16376,5.5
2016,Aug,66.4,62.9,298981,283148,15833,5.3
2016,Sep,66.2,62.8,298032,282683,15349,5.2
2016,Oct,66.1,62.7,297247,282295,14952,5.0
2016,Nov,66.0,62.7,296564,281982,14582,4.9
2016,Dec,65.8,62.7,295893,281742,14151,4.8
2017,Jan,65.7,62.7,295208,281572,13636,4.6
2017,Feb,65.6,62.7,294529,281452,13077,4.4
2017,Mar,65.5,62.7,293902,281354,12548,4.3
2017,Apr,65.5,62.8,293398,281264,12134,4.1
2017,May,65.4,62.8,293071,281175,11896,4.1
2017,Jun,65.4,62.8,292919,281071,11848,4.0
2017,Jul,65.4,62.8,292842,280937,11905,4.1
2017,Aug,65.4,62.7,292734,280774,11960,4.1
2017,Sep,65.4,62.7,292566,280584,11982,4.1
2017,Oct,65.3,62.6,292320,280372,11948,4.1
2017,Nov,65.2,62.6,292024,280158,11866,4.1
2017,Dec,65.2,62.5,291730,279971,11759,4.0
2018,Jan,65.1,62.5,291480,279834,11646,4.0
2018,Feb,65.1,62.5,291319,279768,11551,4.0
2018,Mar,65.1,62.5,291252,279766,11486,3.9
2018,Apr,65.1,62.5,291237,279782,11455,3.9
2018,May,65.1,62.5,291244,279789,11455,3.9
2018,Jun,65.1,62.5,291278,279808,11470,3.9
2018,Jul,65.1,62.5,291346,279865,11481,3.9
2018,Aug,65.1,62.5,291434,279981,11453,3.9
2018,Sep,65.0,62.5,291506,280171,11335,3.9
2018,Oct,65.0,62.5,291554,280435,11119,3.8
2018,Nov,65.0,62.6,291572,280731,10841,3.7
2018,Dec,65.0,62.6,291555,281011,10544,3.6
2019,Jan,65.0,62.7,291512,281239,10273,3.5
2019,Feb,64.9,62.7,291491,281400,10091,3.5
2019,Mar,64.9,62.7,291572,281521,10051,3.4
2019,Apr,64.9,62.7,291796,281644,10152,3.5
2019,May,65.0,62.7,292132,281782,10350,3.5
2019,Jun,65.0,62.7,292490,281906,10584,3.6
2019,Jul,65.1,62.7,292785,281998,10787,3.7
2019,Aug,65.1,62.7,292901,281995,10906,3.7
2019,Sep,65.0,62.6,292889,281961,10928,3.7
2019,Oct,65.0,62.6,292785,281900,10885,3.7
2019,Nov,64.9,62.5,292684,281856,10828,3.7
2019,Dec,64.9,62.5,292662,281857,10805,3.7
2020,Jan,65.0,62.6,293281,282542,10739,3.7
2020,Feb,65.2,62.8,294176,283296,10880,3.7
2020,Mar,65.5,63.0,295500,284302,11198,3.8
2020,Apr,65.7,59.4,296644,268301,28343,9.6
2020,May,65.2,59.5,294481,268691,25790,8.8
2020,Jun,65.5,60.5,295786,273334,22452,7.6
2020,Jul,65.2,60.5,294527,273685,20842,7.1
2020,Aug,64.6(P),60.4(P),292189(P),272976(P),19213(P),6.6(P)
