Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,72.3,68.8,990571,942479,48092,4.9
2010,Feb,72.3,68.8,991163,943140,48023,4.8
2010,Mar,72.3,68.8,991850,944146,47704,4.8
2010,Apr,71.5,68.1,992450,945347,47103,4.7
2010,May,71.5,68.2,992876,946557,46319,4.7
2010,Jun,71.5,68.2,993203,947587,45616,4.6
2010,Jul,71.4,68.2,993503,948377,45126,4.5
2010,Aug,71.4,68.2,993853,948999,44854,4.5
2010,Sep,71.4,68.2,994284,949521,44763,4.5
2010,Oct,71.4,68.2,994820,950047,44773,4.5
2010,Nov,71.4,68.2,995539,950702,44837,4.5
2010,Dec,71.4,68.2,996477,951543,44934,4.5
2011,Jan,71.5,68.3,997569,952553,45016,4.5
2011,Feb,71.5,68.3,998640,953632,45008,4.5
2011,Mar,71.6,68.4,999604,954698,44906,4.5
2011,Apr,71.6,68.4,1000483,955737,44746,4.5
2011,May,71.6,68.4,1001361,956782,44579,4.5
2011,Jun,71.6,68.5,1002264,957893,44371,4.4
2011,Jul,71.7,68.5,1003308,959144,44164,4.4
2011,Aug,71.7,68.6,1004521,960555,43966,4.4
2011,Sep,71.7,68.6,1005810,962115,43695,4.3
2011,Oct,71.8,68.7,1007072,963766,43306,4.3
2011,Nov,71.8,68.8,1008200,965397,42803,4.2
2011,Dec,71.8,68.8,1009155,966920,42235,4.2
2012,Jan,71.9,68.9,1009980,968337,41643,4.1
2012,Feb,71.9,68.9,1010781,969660,41121,4.1
2012,Mar,71.9,69.0,1011635,970874,40761,4.0
2012,Apr,71.9,69.0,1012540,971999,40541,4.0
2012,May,71.9,69.1,1013516,973082,40434,4.0
2012,Jun,72.0,69.1,1014563,974158,40405,4.0
2012,Jul,72.0,69.1,1015617,975232,40385,4.0
2012,Aug,72.0,69.1,1016654,976300,40354,4.0
2012,Sep,72.0,69.2,1017753,977347,40406,4.0
2012,Oct,72.0,69.2,1018741,978283,40458,4.0
2012,Nov,72.1,69.2,1019439,978999,40440,4.0
2012,Dec,72.0,69.2,1019812,979480,40332,4.0
2013,Jan,72.0,69.2,1019936,979763,40173,3.9
2013,Feb,72.0,69.2,1019913,979931,39982,3.9
2013,Mar,72.0,69.1,1019828,980071,39757,3.9
2013,Apr,71.9,69.1,1019729,980226,39503,3.9
2013,May,71.9,69.1,1019559,980340,39219,3.8
2013,Jun,71.8,69.1,1019251,980370,38881,3.8
2013,Jul,71.7,69.0,1018741,980287,38454,3.8
2013,Aug,71.6,68.9,1017998,980104,37894,3.7
2013,Sep,71.5,68.9,1017086,979887,37199,3.7
2013,Oct,71.4,68.8,1016348,979736,36612,3.6
2013,Nov,71.3,68.8,1015997,979703,36294,3.6
2013,Dec,71.3,68.7,1015897,979743,36154,3.6
2014,Jan,71.2,68.6,1014757,978822,35935,3.5
2014,Feb,71.1,68.6,1014563,978828,35735,3.5
2014,Mar,71.0,68.6,1014074,978669,35405,3.5
2014,Apr,70.9,68.5,1013244,978319,34925,3.4
2014,May,70.8,68.4,1012164,977880,34284,3.4
2014,Jun,70.7,68.3,1011009,977472,33537,3.3
2014,Jul,70.6,68.3,1009947,977155,32792,3.2
2014,Aug,70.5,68.2,1009109,976965,32144,3.2
2014,Sep,70.4,68.2,1008462,976879,31583,3.1
2014,Oct,70.3,68.1,1007821,976836,30985,3.1
2014,Nov,70.2,68.1,1007099,976775,30324,3.0
2014,Dec,70.1,68.0,1006442,976659,29783,3.0
2015,Jan,70.0,68.0,1005660,976214,29446,2.9
2015,Feb,70.0,67.9,1005327,975984,29343,2.9
2015,Mar,69.9,67.9,1005252,975810,29442,2.9
2015,Apr,69.9,67.9,1005480,975754,29726,3.0
2015,May,69.9,67.8,1005922,975826,30096,3.0
2015,Jun,69.9,67.8,1006479,976017,30462,3.0
