Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,67.0,60.4,4549452,4104096,445356,9.8
2010,Feb,67.0,60.5,4555278,4112020,443258,9.7
2010,Mar,67.1,60.6,4559927,4119791,440136,9.7
2010,Apr,66.4,60.1,4562426,4125865,436561,9.6
2010,May,66.4,60.1,4562235,4129579,432656,9.5
2010,Jun,66.3,60.1,4559450,4130185,429265,9.4
2010,Jul,66.2,60.0,4555437,4128028,427409,9.4
2010,Aug,66.1,59.9,4551948,4124659,427289,9.4
2010,Sep,66.1,59.8,4549867,4121354,428513,9.4
2010,Oct,66.0,59.8,4549879,4119800,430079,9.5
2010,Nov,66.0,59.8,4551299,4120337,430962,9.5
2010,Dec,66.0,59.8,4553174,4122269,430905,9.5
2011,Jan,66.0,59.8,4555359,4125018,430341,9.4
2011,Feb,66.0,59.8,4557018,4127495,429523,9.4
2011,Mar,66.0,59.8,4557107,4128833,428274,9.4
2011,Apr,66.0,59.8,4556028,4128987,427041,9.4
2011,May,65.9,59.7,4555600,4129075,426525,9.4
2011,Jun,65.9,59.7,4557176,4130621,426555,9.4
2011,Jul,65.9,59.8,4561230,4134490,426740,9.4
2011,Aug,66.0,59.8,4566927,4140177,426750,9.3
2011,Sep,66.0,59.9,4572793,4146653,426140,9.3
2011,Oct,66.1,59.9,4577450,4152800,424650,9.3
2011,Nov,66.1,60.0,4579959,4157197,422762,9.2
2011,Dec,66.1,60.0,4580274,4158972,421302,9.2
2012,Jan,66.0,60.0,4579827,4158773,421054,9.2
2012,Feb,66.0,59.9,4580547,4157820,422727,9.2
2012,Mar,66.0,59.9,4582440,4155993,426447,9.3
2012,Apr,66.0,59.8,4584234,4153426,430808,9.4
2012,May,66.0,59.8,4585463,4151747,433716,9.5
2012,Jun,66.0,59.8,4586476,4152120,434356,9.5
2012,Jul,66.0,59.8,4587732,4154797,432935,9.4
2012,Aug,66.0,59.8,4590156,4159373,430783,9.4
2012,Sep,66.1,59.9,4594086,4164815,429271,9.3
2012,Oct,66.1,59.9,4597516,4169473,428043,9.3
2012,Nov,66.1,59.9,4598151,4172301,425850,9.3
2012,Dec,66.0,59.9,4594449,4172901,421548,9.2
2013,Jan,66.0,60.0,4594280,4178849,415431,9.0
2013,Feb,65.8,60.0,4584049,4176045,408004,8.9
2013,Mar,65.7,59.9,4574555,4174535,400020,8.7
2013,Apr,65.6,59.9,4567974,4175392,392582,8.6
2013,May,65.5,59.9,4563611,4176838,386773,8.5
2013,Jun,65.4,59.9,4559345,4177318,382027,8.4
2013,Jul,65.3,59.9,4552908,4176414,376494,8.3
2013,Aug,65.1,59.8,4542657,4174222,368435,8.1
2013,Sep,64.9,59.8,4529217,4171484,357733,7.9
2013,Oct,64.7,59.7,4516243,4169309,346934,7.7
2013,Nov,64.5,59.7,4507052,4169278,337774,7.5
2013,Dec,64.5,59.7,4502856,4172420,330436,7.3
2014,Jan,63.9,59.3,4467170,4145028,322142,7.2
2014,Feb,64.0,59.4,4468826,4153001,315825,7.1
2014,Mar,64.0,59.6,4471808,4161622,310186,6.9
2014,Apr,64.0,59.7,4474887,4169393,305494,6.8
2014,May,64.1,59.7,4477992,4176500,301492,6.7
2014,Jun,64.1,59.8,4482119,4183543,298576,6.7
2014,Jul,64.2,59.9,4487413,4190050,297363,6.6
2014,Aug,64.2,60.0,4493750,4195985,297765,6.6
2014,Sep,64.3,60.0,4500035,4201222,298813,6.6
2014,Oct,64.3,60.1,4504389,4205462,298927,6.6
2014,Nov,64.3,60.1,4505707,4208297,297410,6.6
2014,Dec,64.3,60.1,4505141,4210147,294994,6.5
2015,Jan,64.3,60.1,4501741,4209904,291837,6.5
2015,Feb,64.2,60.1,4500552,4211785,288767,6.4
2015,Mar,64.2,60.2,4499373,4214616,284757,6.3
2015,Apr,64.2,60.2,4497565,4218352,279213,6.2
2015,May,64.1,60.2,4494259,4222145,272114,6.1
2015,Jun,64.0,60.3,4489166,4225326,263840,5.9
2015,Jul,63.9,60.3,4483529,4228258,255271,5.7
2015,Aug,63.9,60.3,4478486,4231467,247019,5.5
2015,Sep,63.8,60.4,4474724,4235571,239153,5.3
2015,Oct,63.7,60.4,4473418,4241085,232333,5.2
2015,Nov,63.8,60.5,4474986,4247347,227639,5.1
2015,Dec,63.8,60.6,4478075,4252744,225331,5.0
2016,Jan,63.8,60.6,4480839,4255861,224978,5.0
2016,Feb,63.8,60.6,4482215,4256223,225992,5.0
2016,Mar,63.8,60.6,4481577,4254203,227374,5.1
2016,Apr,63.8,60.5,4479689,4251164,228525,5.1
2016,May,63.7,60.5,4477760,4248677,229083,5.1
2016,Jun,63.7,60.4,4475906,4247446,228460,5.1
2016,Jul,63.7,60.4,4473967,4247606,226361,5.1
2016,Aug,63.6,60.4,4472131,4248751,223380,5.0
2016,Sep,63.6,60.4,4470616,4250177,220439,4.9
2016,Oct,63.5,60.4,4468604,4251355,217249,4.9
2016,Nov,63.4,60.4,4465906,4252582,213324,4.8
2016,Dec,63.4,60.4,4463317,4254125,209192,4.7
2017,Jan,63.3,60.4,4461746,4256013,205733,4.6
2017,Feb,63.3,60.4,4461245,4257961,203284,4.6
2017,Mar,63.3,60.5,4461144,4258943,202201,4.5
2017,Apr,63.3,60.4,4461194,4258672,202522,4.5
2017,May,63.3,60.4,4460983,4257252,203731,4.6
2017,Jun,63.3,60.3,4460352,4254705,205647,4.6
2017,Jul,63.2,60.3,4459059,4251211,207848,4.7
2017,Aug,63.2,60.2,4456259,4246868,209391,4.7
2017,Sep,63.1,60.1,4451899,4242119,209780,4.7
2017,Oct,63.0,60.0,4446491,4237472,209019,4.7
2017,Nov,62.9,60.0,4440412,4233062,207350,4.7
2017,Dec,62.8,59.9,4434158,4229695,204463,4.6
2018,Jan,62.7,59.9,4429148,4228216,200932,4.5
2018,Feb,62.7,59.9,4426833,4229220,197613,4.5
2018,Mar,62.7,60.0,4427229,4232626,194603,4.4
2018,Apr,62.7,60.0,4428470,4236980,191490,4.3
2018,May,62.7,60.1,4429065,4241062,188003,4.2
2018,Jun,62.7,60.1,4428816,4245082,183734,4.1
2018,Jul,62.7,60.2,4428176,4249462,178714,4.0
2018,Aug,62.7,60.2,4428823,4254763,174060,3.9
2018,Sep,62.7,60.3,4431853,4261271,170582,3.8
2018,Oct,62.8,60.4,4437542,4268824,168718,3.8
2018,Nov,62.9,60.5,4445042,4277081,167961,3.8
2018,Dec,63.0,60.6,4452190,4284903,167287,3.8
2019,Jan,63.1,60.7,4456587,4291177,165410,3.7
2019,Feb,63.1,60.8,4457146,4295671,161475,3.6
2019,Mar,63.0,60.8,4455781,4299568,156213,3.5
2019,Apr,63.0,60.9,4455716,4304824,150892,3.4
2019,May,63.1,61.0,4459791,4312707,147084,3.3
2019,Jun,63.2,61.2,4469516,4323243,146273,3.3
2019,Jul,63.5,61.3,4486272,4336736,149536,3.3
2019,Aug,63.7,61.5,4505661,4350169,155492,3.5
2019,Sep,64.0,61.7,4523734,4361752,161982,3.6
2019,Oct,64.1,61.8,4536222,4369115,167107,3.7
2019,Nov,64.1,61.7,4537131,4368963,168168,3.7
2019,Dec,64.1,61.7,4535046,4367342,167704,3.7
2020,Jan,64.3,61.9,4551684,4379423,172261,3.8
2020,Feb,64.5,62.0,4564128,4390255,173873,3.8
2020,Mar,64.8,62.5,4588196,4419828,168368,3.7
2020,Apr,63.4,53.0,4483327,3751422,731905,16.3
2020,May,64.0,54.2,4531245,3835528,695717,15.4
2020,Jun,64.3,53.4,4548773,3782601,766172,16.8
2020,Jul,64.8,55.6,4589169,3937803,651366,14.2
2020,Aug,64.5(P),57.5(P),4568483(P),4069620(P),498863(P),10.9(P)
