Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,61.1,56.2,933018,858746,74272,8.0
2010,Feb,61.2,56.2,934526,859339,75187,8.0
2010,Mar,61.2,56.3,936583,860436,76147,8.1
2010,Apr,60.0,55.1,938582,861587,76995,8.2
2010,May,60.0,55.1,939956,862388,77568,8.3
2010,Jun,60.0,55.0,940305,862544,77761,8.3
2010,Jul,59.9,54.9,939503,861960,77543,8.3
2010,Aug,59.7,54.8,937851,860864,76987,8.2
2010,Sep,59.5,54.7,935844,859656,76188,8.1
2010,Oct,59.3,54.6,933963,858795,75168,8.0
2010,Nov,59.2,54.5,932509,858547,73962,7.9
2010,Dec,59.1,54.5,931524,858872,72652,7.8
2011,Jan,59.0,54.5,930931,859575,71356,7.7
2011,Feb,58.9,54.5,930489,860328,70161,7.5
2011,Mar,58.9,54.5,930022,860844,69178,7.4
2011,Apr,58.8,54.5,929680,861100,68580,7.4
2011,May,58.8,54.4,929629,861139,68490,7.4
2011,Jun,58.7,54.4,929808,860961,68847,7.4
2011,Jul,58.7,54.3,930174,860671,69503,7.5
2011,Aug,58.7,54.3,930567,860318,70249,7.5
2011,Sep,58.7,54.2,930760,859914,70846,7.6
2011,Oct,58.6,54.2,930768,859611,71157,7.6
2011,Nov,58.6,54.1,930568,859530,71038,7.6
2011,Dec,58.5,54.1,930015,859620,70395,7.6
2012,Jan,58.5,54.1,929176,859841,69335,7.5
2012,Feb,58.4,54.1,928263,860138,68125,7.3
2012,Mar,58.3,54.1,927370,860339,67031,7.2
2012,Apr,58.2,54.1,926402,860239,66163,7.1
2012,May,58.2,54.0,925588,860026,65562,7.1
2012,Jun,58.1,54.0,925359,860128,65231,7.0
2012,Jul,58.1,54.0,925878,860752,65126,7.0
2012,Aug,58.2,54.1,927017,861828,65189,7.0
2012,Sep,58.2,54.1,928458,863079,65379,7.0
2012,Oct,58.3,54.1,929564,864022,65542,7.1
2012,Nov,58.2,54.1,929901,864319,65582,7.1
2012,Dec,58.2,54.1,929497,864032,65465,7.0
2013,Jan,58.1,54.0,928424,863259,65165,7.0
2013,Feb,58.0,53.9,926830,862128,64702,7.0
2013,Mar,57.9,53.9,925144,860995,64149,6.9
2013,Apr,57.8,53.8,923860,860204,63656,6.9
2013,May,57.7,53.7,923102,859685,63417,6.9
2013,Jun,57.7,53.7,922686,859209,63477,6.9
2013,Jul,57.6,53.6,922517,858771,63746,6.9
2013,Aug,57.6,53.6,922566,858535,64031,6.9
2013,Sep,57.6,53.6,922837,858644,64193,7.0
2013,Oct,57.6,53.6,923343,859094,64249,7.0
2013,Nov,57.6,53.6,923958,859733,64225,7.0
