Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,64.0,56.7,4585775,4064556,521219,11.4
2010,Feb,64.2,56.9,4606035,4080476,525559,11.4
2010,Mar,64.4,57.1,4622114,4097183,524931,11.4
2010,Apr,63.5,56.3,4631285,4112003,519282,11.2
2010,May,63.4,56.4,4632515,4123402,509113,11.0
2010,Jun,63.2,56.4,4627292,4129971,497321,10.7
2010,Jul,63.0,56.4,4619653,4131890,487763,10.6
2010,Aug,62.9,56.3,4613366,4130990,482376,10.5
2010,Sep,62.7,56.2,4609741,4128946,480795,10.4
2010,Oct,62.7,56.1,4609416,4128264,481152,10.4
2010,Nov,62.6,56.1,4611258,4129762,481496,10.4
2010,Dec,62.6,56.1,4613405,4132989,480416,10.4
2011,Jan,62.6,56.1,4615841,4137620,478221,10.4
2011,Feb,62.5,56.1,4618086,4142264,475822,10.3
2011,Mar,62.5,56.1,4619330,4145282,474048,10.3
2011,Apr,62.5,56.1,4620259,4145987,474272,10.3
2011,May,62.4,56.0,4622639,4145350,477289,10.3
2011,Jun,62.4,55.9,4626858,4145399,481459,10.4
2011,Jul,62.4,55.9,4632545,4148330,484215,10.5
2011,Aug,62.5,55.9,4638876,4154816,484060,10.4
2011,Sep,62.5,56.0,4644899,4164506,480393,10.3
2011,Oct,62.5,56.1,4650085,4176228,473857,10.2
2011,Nov,62.5,56.2,4653103,4187931,465172,10.0
2011,Dec,62.4,56.3,4653712,4198153,455559,9.8
2012,Jan,62.3,56.4,4653376,4206727,446649,9.6
2012,Feb,62.3,56.4,4654035,4214099,439936,9.5
2012,Mar,62.3,56.4,4656332,4219648,436684,9.4
2012,Apr,62.3,56.4,4659384,4223431,435953,9.4
2012,May,62.3,56.4,4663979,4227719,436260,9.4
2012,Jun,62.3,56.5,4670723,4234462,436261,9.3
2012,Jul,62.3,56.5,4679032,4243930,435102,9.3
2012,Aug,62.4,56.6,4688766,4255583,433183,9.2
2012,Sep,62.5,56.8,4699769,4268377,431392,9.2
2012,Oct,62.6,56.8,4709793,4280257,429536,9.1
2012,Nov,62.6,56.9,4716950,4289646,427304,9.1
2012,Dec,62.6,56.9,4719804,4295807,423997,9.0
2013,Jan,62.3,56.8,4706939,4287015,419924,8.9
2013,Feb,62.2,56.7,4702054,4288636,413418,8.8
2013,Mar,62.1,56.7,4696913,4291728,405185,8.6
2013,Apr,62.0,56.8,4694011,4298091,395920,8.4
2013,May,61.9,56.8,4693173,4306304,386869,8.2
2013,Jun,61.9,56.9,4693545,4314695,378850,8.1
2013,Jul,61.8,56.9,4694477,4322873,371604,7.9
2013,Aug,61.7,56.9,4693963,4330674,363289,7.7
2013,Sep,61.6,57.0,4690536,4337411,353125,7.5
2013,Oct,61.5,57.0,4685769,4343095,342674,7.3
2013,Nov,61.4,57.0,4681782,4348539,333243,7.1
2013,Dec,61.3,57.0,4679576,4354118,325458,7.0
2014,Jan,61.2,57.0,4676153,4357486,318667,6.8
2014,Feb,61.2,57.1,4678000,4365137,312863,6.7
2014,Mar,61.1,57.1,4681233,4372743,308490,6.6
2014,Apr,61.1,57.1,4684752,4379091,305661,6.5
2014,May,61.1,57.2,4688207,4384962,303245,6.5
2014,Jun,61.1,57.2,4692464,4392084,300380,6.4
2014,Jul,61.1,57.2,4697035,4400328,296707,6.3
2014,Aug,61.1,57.3,4702276,4409779,292497,6.2
2014,Sep,61.1,57.4,4708604,4420712,287892,6.1
2014,Oct,61.1,57.4,4714927,4432433,282494,6.0
2014,Nov,61.1,57.5,4720031,4443170,276861,5.9
2014,Dec,61.1,57.6,4725372,4452362,273010,5.8
2015,Jan,61.1,57.6,4731408,4460266,271142,5.7
2015,Feb,61.2,57.6,4740319,4466965,273354,5.8
2015,Mar,61.2,57.7,4750452,4473614,276838,5.8
2015,Apr,61.3,57.7,4760422,4480674,279748,5.9
2015,May,61.4,57.7,4768384,4487508,280876,5.9
2015,Jun,61.3,57.7,4772869,4493230,279639,5.9
2015,Jul,61.3,57.7,4774945,4498453,276492,5.8
2015,Aug,61.2,57.7,4776483,4504148,272335,5.7
2015,Sep,61.2,57.8,4779107,4511413,267694,5.6
2015,Oct,61.2,57.8,4785180,4521814,263366,5.5
2015,Nov,61.2,57.9,4795756,4535703,260053,5.4
2015,Dec,61.3,58.0,4808514,4551337,257177,5.3
2016,Jan,61.4,58.1,4820427,4566317,254110,5.3
2016,Feb,61.4,58.2,4829889,4578941,250948,5.2
2016,Mar,61.4,58.3,4836197,4588514,247683,5.1
2016,Apr,61.4,58.3,4840535,4595687,244848,5.1
2016,May,61.4,58.3,4845206,4601914,243292,5.0
2016,Jun,61.4,58.3,4851555,4608317,243238,5.0
2016,Jul,61.4,58.4,4859953,4615733,244220,5.0
2016,Aug,61.5,58.4,4869942,4624070,245872,5.0
2016,Sep,61.5,58.4,4880584,4632733,247851,5.1
2016,Oct,61.6,58.4,4890145,4641160,248985,5.1
2016,Nov,61.6,58.5,4897719,4649715,248004,5.1
2016,Dec,61.6,58.5,4903564,4658756,244808,5.0
2017,Jan,61.6,58.5,4908232,4668246,239986,4.9
2017,Feb,61.5,58.6,4912098,4678040,234058,4.8
2017,Mar,61.5,58.7,4915480,4687202,228278,4.6
2017,Apr,61.5,58.7,4919929,4696347,223582,4.5
2017,May,61.5,58.8,4926285,4706367,219918,4.5
2017,Jun,61.5,58.8,4934301,4716865,217436,4.4
2017,Jul,61.6,58.9,4943175,4726877,216298,4.4
2017,Aug,61.6,58.9,4950706,4735061,215645,4.4
2017,Sep,61.6,58.9,4955417,4740683,214734,4.3
2017,Oct,61.5,58.9,4957257,4743871,213386,4.3
2017,Nov,61.4,58.8,4956898,4745105,211793,4.3
2017,Dec,61.3,58.7,4956077,4746307,209770,4.2
2018,Jan,61.3,58.7,4957181,4749545,207636,4.2
2018,Feb,61.3,58.7,4961922,4756173,205749,4.1
2018,Mar,61.3,58.8,4969833,4766016,203817,4.1
2018,Apr,61.3,58.9,4977177,4775695,201482,4.0
2018,May,61.3,58.9,4981319,4782348,198971,4.0
2018,Jun,61.3,58.9,4982889,4786558,196331,3.9
2018,Jul,61.2,58.8,4983233,4789518,193715,3.9
2018,Aug,61.2,58.8,4985447,4793151,192296,3.9
2018,Sep,61.2,58.8,4991872,4799281,192591,3.9
2018,Oct,61.2,58.8,5002802,4808352,194450,3.9
2018,Nov,61.3,58.9,5017079,4819777,197302,3.9
2018,Dec,61.5,59.0,5031958,4831516,200442,4.0
2019,Jan,61.5,59.1,5044457,4841346,203111,4.0
2019,Feb,61.6,59.1,5052626,4847960,204666,4.1
