Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,65.0,57.9,1967463,1752287,215176,10.9
2010,Feb,65.1,58.0,1972219,1756351,215868,10.9
2010,Mar,65.2,58.1,1976473,1760547,215926,10.9
2010,Apr,65.5,58.3,1979679,1764584,215095,10.9
2010,May,65.5,58.4,1981748,1768359,213389,10.8
2010,Jun,65.5,58.5,1983223,1771808,211415,10.7
2010,Jul,65.5,58.5,1984774,1774965,209809,10.6
2010,Aug,65.4,58.6,1986782,1778138,208644,10.5
2010,Sep,65.5,58.6,1989230,1781560,207670,10.4
2010,Oct,65.5,58.7,1991833,1785539,206294,10.4
2010,Nov,65.5,58.8,1994009,1790046,203963,10.2
2010,Dec,65.5,58.9,1995337,1794730,200607,10.1
2011,Jan,65.4,59.0,1995928,1799192,196736,9.9
2011,Feb,65.4,59.0,1995957,1802805,193152,9.7
2011,Mar,65.3,59.1,1995613,1805065,190548,9.5
2011,Apr,65.2,59.0,1995145,1805872,189273,9.5
2011,May,65.1,59.0,1994847,1805535,189312,9.5
2011,Jun,65.1,58.9,1994642,1804653,189989,9.5
2011,Jul,65.0,58.8,1994457,1804031,190426,9.5
2011,Aug,64.9,58.7,1994112,1803997,190115,9.5
2011,Sep,64.8,58.7,1993268,1804394,188874,9.5
2011,Oct,64.7,58.7,1991813,1804859,186954,9.4
2011,Nov,64.6,58.6,1989605,1804848,184757,9.3
2011,Dec,64.5,58.5,1986580,1804002,182578,9.2
2012,Jan,64.3,58.4,1982713,1802207,180506,9.1
2012,Feb,64.1,58.3,1978231,1799565,178666,9.0
2012,Mar,63.9,58.2,1973317,1796114,177203,9.0
2012,Apr,63.7,58.0,1967875,1791931,175944,8.9
2012,May,63.4,57.8,1962194,1787555,174639,8.9
2012,Jun,63.2,57.6,1956474,1783319,173155,8.9
2012,Jul,63.0,57.4,1950606,1779137,171469,8.8
2012,Aug,62.7,57.2,1944745,1774907,169838,8.7
2012,Sep,62.5,57.1,1939239,1770720,168519,8.7
2012,Oct,62.3,56.9,1933900,1766539,167361,8.7
2012,Nov,62.0,56.7,1928581,1762465,166116,8.6
2012,Dec,61.8,56.5,1923380,1758815,164565,8.6
2013,Jan,61.6,56.4,1918564,1755911,162653,8.5
2013,Feb,61.5,56.3,1914533,1754171,160362,8.4
2013,Mar,61.3,56.3,1911585,1753830,157755,8.3
2013,Apr,61.3,56.3,1909970,1754910,155060,8.1
2013,May,61.2,56.3,1909278,1756713,152565,8.0
2013,Jun,61.1,56.3,1908985,1758586,150399,7.9
2013,Jul,61.1,56.3,1908801,1760355,148446,7.8
2013,Aug,61.0,56.3,1908410,1762092,146318,7.7
2013,Sep,60.9,56.3,1907949,1763894,144055,7.6
2013,Oct,60.9,56.3,1908135,1765905,142230,7.5
2013,Nov,60.8,56.3,1909513,1768430,141083,7.4
2013,Dec,60.9,56.4,1912046,1771555,140491,7.3
2014,Jan,61.0,56.5,1917578,1776888,140690,7.3
2014,Feb,61.1,56.6,1921448,1781627,139821,7.3
2014,Mar,61.1,56.7,1925161,1786730,138431,7.2
2014,Apr,61.2,56.8,1928463,1791853,136610,7.1
2014,May,61.2,56.9,1931550,1797101,134449,7.0
2014,Jun,61.2,57.1,1934959,1802732,132227,6.8
2014,Jul,61.3,57.2,1938696,1808486,130210,6.7
2014,Aug,61.3,57.3,1942628,1814176,128452,6.6
2014,Sep,61.4,57.4,1946418,1819691,126727,6.5
2014,Oct,61.4,57.5,1949453,1824864,124589,6.4
2014,Nov,61.4,57.5,1951316,1829375,121941,6.2
2014,Dec,61.3,57.6,1952579,1833334,119245,6.1
2015,Jan,61.3,57.6,1953568,1836649,116919,6.0
2015,Feb,61.3,57.7,1955891,1840534,115357,5.9
2015,Mar,61.3,57.7,1959313,1844888,114425,5.8
2015,Apr,61.4,57.8,1963714,1849906,113808,5.8
2015,May,61.5,57.9,1968658,1855485,113173,5.7
2015,Jun,61.5,58.0,1973643,1861429,112214,5.7
2015,Jul,61.6,58.1,1978665,1867764,110901,5.6
2015,Aug,61.6,58.2,1983882,1874540,109342,5.5
2015,Sep,61.7,58.4,1989537,1881908,107629,5.4
2015,Oct,61.8,58.5,1996251,1890275,105976,5.3
2015,Nov,61.9,58.7,2004236,1899646,104590,5.2
2015,Dec,62.1,58.9,2012757,1909296,103461,5.1
2016,Jan,62.2,59.1,2020960,1918358,102602,5.1
