Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,63.8,58.2,6354075,5801663,552412,8.7
2010,Feb,63.9,58.3,6367507,5809093,558414,8.8
2010,Mar,64.0,58.4,6379694,5819200,560494,8.8
2010,Apr,63.5,58.0,6388079,5830330,557749,8.7
2010,May,63.5,58.1,6391191,5841003,550188,8.6
2010,Jun,63.5,58.1,6389281,5848796,540485,8.5
2010,Jul,63.4,58.1,6385131,5852928,532203,8.3
2010,Aug,63.3,58.1,6381818,5854796,527022,8.3
2010,Sep,63.3,58.1,6380096,5855882,524214,8.2
2010,Oct,63.3,58.1,6380163,5858306,521857,8.2
2010,Nov,63.2,58.1,6380798,5862475,518323,8.1
2010,Dec,63.2,58.1,6380401,5867689,512712,8.0
2011,Jan,63.2,58.2,6379705,5873507,506198,7.9
2011,Feb,63.2,58.2,6379241,5878342,500899,7.9
2011,Mar,63.1,58.2,6378192,5880105,498087,7.8
2011,Apr,63.1,58.2,6377273,5878324,498949,7.8
2011,May,63.1,58.1,6378414,5874930,503484,7.9
2011,Jun,63.1,58.1,6382416,5872911,509505,8.0
2011,Jul,63.1,58.1,6389493,5875164,514329,8.0
2011,Aug,63.2,58.1,6398775,5882243,516532,8.1
2011,Sep,63.3,58.2,6408564,5893142,515422,8.0
2011,Oct,63.3,58.3,6417731,5906149,511582,8.0
2011,Nov,63.4,58.4,6424755,5918716,506039,7.9
2011,Dec,63.4,58.5,6428949,5928933,500016,7.8
2012,Jan,63.4,58.5,6431325,5936304,495021,7.7
2012,Feb,63.4,58.6,6434181,5941533,492648,7.7
2012,Mar,63.5,58.6,6438829,5944629,494200,7.7
2012,Apr,63.5,58.6,6444694,5945882,498812,7.7
2012,May,63.6,58.6,6452177,5947225,504952,7.8
2012,Jun,63.6,58.6,6461050,5950592,510458,7.9
2012,Jul,63.7,58.7,6469778,5956532,513246,7.9
2012,Aug,63.8,58.7,6478052,5964269,513783,7.9
2012,Sep,63.8,58.8,6486259,5972524,513735,7.9
2012,Oct,63.9,58.8,6492311,5978763,513548,7.9
2012,Nov,63.9,58.8,6494440,5981227,513213,7.9
2012,Dec,63.8,58.8,6492123,5979822,512301,7.9
2013,Jan,63.8,58.8,6485609,5975489,510120,7.9
2013,Feb,63.7,58.7,6476720,5970873,505847,7.8
2013,Mar,63.6,58.7,6468145,5968960,499185,7.7
2013,Apr,63.5,58.7,6462138,5971194,490944,7.6
2013,May,63.5,58.7,6457576,5974768,482808,7.5
2013,Jun,63.4,58.7,6452910,5976455,476455,7.4
2013,Jul,63.3,58.7,6446904,5974715,472189,7.3
2013,Aug,63.2,58.6,6437449,5970378,467071,7.3
2013,Sep,63.1,58.6,6424324,5965324,459000,7.1
2013,Oct,62.9,58.5,6411110,5962001,449109,7.0
2013,Nov,62.8,58.5,6401238,5962844,438394,6.8
2013,Dec,62.8,58.6,6395638,5968052,427586,6.7
2014,Jan,62.7,58.6,6390718,5974568,416150,6.5
2014,Feb,62.7,58.7,6390130,5984257,405873,6.4
2014,Mar,62.7,58.8,6390445,5993141,397304,6.2
2014,Apr,62.7,58.8,6389690,5999356,390334,6.1
2014,May,62.6,58.9,6387859,6004290,383569,6.0
2014,Jun,62.6,58.9,6386672,6010539,376133,5.9
2014,Jul,62.6,59.0,6386798,6018503,368295,5.8
2014,Aug,62.6,59.1,6389457,6028063,361394,5.7
2014,Sep,62.6,59.2,6394458,6038377,356081,5.6
2014,Oct,62.7,59.2,6399147,6047558,351589,5.5
2014,Nov,62.7,59.3,6401135,6053488,347647,5.4
2014,Dec,62.7,59.3,6401465,6056206,345259,5.4
2015,Jan,62.7,59.3,6399152,6054716,344436,5.4
2015,Feb,62.7,59.3,6401333,6055615,345718,5.4
2015,Mar,62.7,59.3,6405295,6058467,346828,5.4
2015,Apr,62.8,59.4,6410460,6063733,346727,5.4
2015,May,62.8,59.4,6414874,6069891,344983,5.4
2015,Jun,62.8,59.5,6416605,6074841,341764,5.3
2015,Jul,62.8,59.5,6416096,6078208,337888,5.3
2015,Aug,62.8,59.5,6414557,6080455,334102,5.2
2015,Sep,62.8,59.5,6413808,6082884,330924,5.2
2015,Oct,62.8,59.6,6416898,6087539,329359,5.1
2015,Nov,62.9,59.6,6425117,6094701,330416,5.1
2015,Dec,63.0,59.7,6436000,6102351,333649,5.2
2016,Jan,63.1,59.8,6445838,6107965,337873,5.2
2016,Feb,63.1,59.8,6452328,6110021,342307,5.3
2016,Mar,63.1,59.8,6454582,6108468,346114,5.4
2016,Apr,63.1,59.7,6453865,6104727,349138,5.4
2016,May,63.1,59.7,6452585,6101029,351556,5.4
2016,Jun,63.1,59.6,6451948,6098796,353152,5.5
2016,Jul,63.1,59.6,6451697,6098351,353346,5.5
2016,Aug,63.1,59.6,6451194,6098909,352285,5.5
2016,Sep,63.0,59.6,6449916,6099486,350430,5.4
2016,Oct,63.0,59.6,6447013,6099457,347556,5.4
2016,Nov,62.9,59.6,6443076,6099876,343200,5.3
2016,Dec,62.9,59.6,6439878,6101979,337899,5.2
2017,Jan,62.9,59.6,6438537,6105806,332731,5.2
2017,Feb,62.9,59.7,6438587,6110693,327894,5.1
2017,Mar,62.9,59.7,6438280,6114675,323605,5.0
2017,Apr,62.9,59.7,6436939,6117208,319731,5.0
2017,May,62.8,59.8,6433906,6118328,315578,4.9
2017,Jun,62.8,59.7,6429454,6117991,311463,4.8
2017,Jul,62.7,59.7,6424959,6116627,308332,4.8
2017,Aug,62.7,59.7,6420622,6114524,306098,4.8
2017,Sep,62.6,59.6,6416554,6112224,304330,4.7
2017,Oct,62.6,59.6,6412816,6110386,302430,4.7
2017,Nov,62.5,59.6,6409039,6108932,300107,4.7
2017,Dec,62.5,59.6,6405191,6108667,296524,4.6
2018,Jan,62.4,59.6,6402605,6110928,291677,4.6
2018,Feb,62.4,59.6,6403044,6116640,286404,4.5
2018,Mar,62.5,59.7,6406524,6125296,281228,4.4
2018,Apr,62.5,59.8,6410857,6134305,276552,4.3
2018,May,62.5,59.9,6414949,6141775,273174,4.3
2018,Jun,62.6,59.9,6419058,6148154,270904,4.2
2018,Jul,62.6,60.0,6423003,6154096,268907,4.2
2018,Aug,62.6,60.0,6428005,6160593,267412,4.2
2018,Sep,62.7,60.1,6434391,6168060,266331,4.1
2018,Oct,62.7,60.1,6441664,6176061,265603,4.1
2018,Nov,62.8,60.2,6448723,6183700,265023,4.1
2018,Dec,62.8,60.3,6453700,6189089,264611,4.1
2019,Jan,62.8,60.3,6455146,6190720,264426,4.1
2019,Feb,62.8,60.3,6452662,6188346,264316,4.1
2019,Mar,62.8,60.2,6449431,6184335,265096,4.1
2019,Apr,62.8,60.2,6449195,6182165,267030,4.1
2019,May,62.8,60.2,6454236,6183946,270290,4.2
2019,Jun,62.9,60.3,6465538,6190327,275211,4.3
2019,Jul,63.1,60.4,6484491,6202028,282463,4.4
2019,Aug,63.3,60.5,6505764,6215256,290508,4.5
2019,Sep,63.5,60.6,6525482,6227604,297878,4.6
2019,Oct,63.6,60.6,6539128,6235732,303396,4.6
2019,Nov,63.6,60.6,6540059,6235989,304070,4.6
2019,Dec,63.6,60.6,6537907,6234518,303389,4.6
2020,Jan,63.7,60.7,6549144,6242115,307029,4.7
