Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,61.1,53.9,2145645,1894376,251269,11.7
2010,Feb,61.1,54.0,2149682,1898964,250718,11.7
2010,Mar,61.2,54.1,2152972,1904386,248586,11.5
2010,Apr,60.4,53.5,2155305,1909849,245456,11.4
2010,May,60.4,53.6,2156277,1914770,241507,11.2
2010,Jun,60.3,53.7,2156087,1918470,237617,11.0
2010,Jul,60.3,53.7,2155664,1920713,234951,10.9
2010,Aug,60.2,53.7,2155740,1921853,233887,10.8
2010,Sep,60.2,53.6,2156437,1922440,233997,10.9
2010,Oct,60.2,53.6,2157730,1923333,234397,10.9
2010,Nov,60.1,53.6,2159330,1925054,234276,10.8
2010,Dec,60.1,53.6,2161062,1927611,233451,10.8
2011,Jan,60.2,53.7,2163248,1930858,232390,10.7
2011,Feb,60.2,53.8,2165830,1934318,231512,10.7
2011,Mar,60.2,53.8,2168282,1937403,230879,10.6
2011,Apr,60.2,53.8,2170590,1939862,230728,10.6
2011,May,60.3,53.9,2173259,1941840,231419,10.6
2011,Jun,60.3,53.9,2176264,1943742,232522,10.7
2011,Jul,60.3,53.9,2179012,1945895,233117,10.7
2011,Aug,60.3,53.9,2180986,1948447,232539,10.7
2011,Sep,60.3,53.9,2181994,1951575,230419,10.6
2011,Oct,60.2,54.0,2182409,1955385,227024,10.4
2011,Nov,60.2,54.0,2182445,1959639,222806,10.2
2011,Dec,60.1,54.1,2182210,1963918,218292,10.0
2012,Jan,60.0,54.2,2182119,1968013,214106,9.8
2012,Feb,60.0,54.2,2182773,1971778,210995,9.7
2012,Mar,60.0,54.2,2184266,1974823,209443,9.6
2012,Apr,60.0,54.2,2185696,1977014,208682,9.5
2012,May,59.9,54.2,2186565,1978892,207673,9.5
2012,Jun,59.9,54.3,2186785,1981245,205540,9.4
2012,Jul,59.8,54.3,2186911,1984885,202026,9.2
2012,Aug,59.8,54.4,2187515,1989646,197869,9.0
2012,Sep,59.7,54.4,2188492,1994465,194027,8.9
2012,Oct,59.7,54.5,2188992,1998136,190856,8.7
2012,Nov,59.6,54.5,2188449,1999979,188470,8.6
2012,Dec,59.5,54.4,2186741,2000091,186650,8.5
2013,Jan,59.6,54.6,2194191,2009163,185028,8.4
2013,Feb,59.5,54.5,2191419,2008325,183094,8.4
