Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,68.0,62.7,1355042,1247979,107063,7.9
2010,Feb,68.0,62.6,1355856,1248210,107646,7.9
2010,Mar,67.9,62.5,1356837,1248856,107981,8.0
2010,Apr,69.6,64.0,1357702,1249619,108083,8.0
2010,May,69.5,64.0,1358240,1250301,107939,7.9
2010,Jun,69.4,63.9,1358279,1250702,107577,7.9
2010,Jul,69.3,63.8,1357782,1250758,107024,7.9
2010,Aug,69.1,63.7,1356853,1250576,106277,7.8
2010,Sep,69.0,63.6,1355732,1250305,105427,7.8
2010,Oct,68.8,63.5,1354775,1250248,104527,7.7
2010,Nov,68.7,63.4,1354026,1250532,103494,7.6
2010,Dec,68.6,63.4,1353411,1251055,102356,7.6
2011,Jan,68.4,63.3,1352758,1251698,101060,7.5
2011,Feb,68.3,63.3,1351854,1252350,99504,7.4
2011,Mar,68.2,63.2,1350661,1252983,97678,7.2
2011,Apr,68.0,63.2,1349388,1253673,95715,7.1
2011,May,67.9,63.1,1348372,1254595,93777,7.0
2011,Jun,67.8,63.1,1347853,1255940,91913,6.8
2011,Jul,67.7,63.1,1347981,1257868,90113,6.7
2011,Aug,67.6,63.2,1348691,1260385,88306,6.5
2011,Sep,67.6,63.2,1349818,1263369,86449,6.4
2011,Oct,67.5,63.3,1351199,1266619,84580,6.3
2011,Nov,67.5,63.4,1352773,1269973,82800,6.1
2011,Dec,67.5,63.5,1354655,1273494,81161,6.0
2012,Jan,67.5,63.6,1357156,1277412,79744,5.9
2012,Feb,67.6,63.7,1360331,1281733,78598,5.8
2012,Mar,67.7,63.8,1363728,1286115,77613,5.7
2012,Apr,67.7,64.0,1366813,1290232,76581,5.6
2012,May,67.8,64.1,1369443,1293997,75446,5.5
2012,Jun,67.8,64.1,1371758,1297527,74231,5.4
2012,Jul,67.8,64.2,1373996,1300979,73017,5.3
2012,Aug,67.8,64.3,1376447,1304435,72012,5.2
2012,Sep,67.8,64.3,1379310,1307993,71317,5.2
2012,Oct,67.9,64.4,1382469,1311679,70790,5.1
2012,Nov,67.9,64.5,1385729,1315424,70305,5.1
2012,Dec,68.0,64.6,1388824,1319092,69732,5.0
2013,Jan,68.0,64.7,1391627,1322501,69126,5.0
2013,Feb,68.1,64.7,1394091,1325786,68305,4.9
2013,Mar,68.1,64.8,1396655,1329253,67402,4.8
2013,Apr,68.1,64.9,1399488,1332981,66507,4.8
2013,May,68.2,65.0,1402385,1336692,65693,4.7
2013,Jun,68.2,65.0,1405140,1340161,64979,4.6
2013,Jul,68.2,65.1,1407731,1343422,64309,4.6
2013,Aug,68.2,65.1,1410108,1346638,63470,4.5
2013,Sep,68.2,65.2,1412304,1349876,62428,4.4
2013,Oct,68.2,65.3,1414439,1353091,61348,4.3
2013,Nov,68.2,65.3,1416452,1356215,60237,4.3
2013,Dec,68.2,65.4,1418146,1359114,59032,4.2
2014,Jan,68.2,65.4,1419160,1361596,57564,4.1
2014,Feb,68.1,65.4,1419938,1363612,56326,4.0
2014,Mar,68.1,65.4,1420471,1365208,55263,3.9
2014,Apr,68.0,65.4,1421071,1366570,54501,3.8
2014,May,67.9,65.4,1422094,1368063,54031,3.8
2014,Jun,67.9,65.4,1423798,1369960,53838,3.8
2014,Jul,67.9,65.4,1426066,1372207,53859,3.8
2014,Aug,68.0,65.4,1428747,1374813,53934,3.8
2014,Sep,68.0,65.4,1431682,1377823,53859,3.8
2014,Oct,68.0,65.5,1434712,1381195,53517,3.7
2014,Nov,68.0,65.5,1437708,1384724,52984,3.7
2014,Dec,68.1,65.6,1440711,1388215,52496,3.6
2015,Jan,68.1,65.6,1443389,1391016,52373,3.6
2015,Feb,68.1,65.7,1446487,1394143,52344,3.6
2015,Mar,68.2,65.7,1449729,1397198,52531,3.6
2015,Apr,68.2,65.8,1453015,1400188,52827,3.6
2015,May,68.3,65.8,1456167,1403065,53102,3.6
2015,Jun,68.3,65.8,1459024,1405780,53244,3.6
2015,Jul,68.3,65.8,1461671,1408428,53243,3.6
2015,Aug,68.3,65.8,1464257,1411098,53159,3.6
2015,Sep,68.3,65.8,1466908,1413861,53047,3.6
2015,Oct,68.2,65.8,1469870,1416885,52985,3.6
2015,Nov,68.3,65.8,1473367,1420301,53066,3.6
2015,Dec,68.3,65.9,1477364,1424113,53251,3.6
2016,Jan,68.4,65.9,1481650,1428215,53435,3.6
2016,Feb,68.4,66.0,1486078,1432542,53536,3.6
2016,Mar,68.5,66.0,1490527,1437096,53431,3.6
2016,Apr,68.6,66.1,1494995,1441914,53081,3.6
2016,May,68.6,66.2,1499573,1447004,52569,3.5
2016,Jun,68.7,66.3,1504205,1452230,51975,3.5
2016,Jul,68.8,66.4,1508689,1457308,51381,3.4
2016,Aug,68.8,66.5,1512882,1461959,50923,3.4
2016,Sep,68.8,66.5,1516761,1466066,50695,3.3
2016,Oct,68.8,66.5,1520334,1469678,50656,3.3
2016,Nov,68.9,66.6,1523755,1473056,50699,3.3
2016,Dec,68.9,66.6,1527197,1476432,50765,3.3
2017,Jan,68.9,66.6,1530749,1479893,50856,3.3
2017,Feb,68.9,66.6,1534344,1483394,50950,3.3
2017,Mar,68.9,66.6,1537790,1486736,51054,3.3
2017,Apr,68.9,66.7,1540998,1489857,51141,3.3
2017,May,68.9,66.7,1543901,1492770,51131,3.3
