Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,70.5,66.1,358889,336293,22596,6.3
2010,Feb,70.6,66.1,359206,336679,22527,6.3
2010,Mar,70.6,66.2,359488,337067,22421,6.2
2010,Apr,71.0,66.6,359650,337367,22283,6.2
2010,May,71.0,66.6,359676,337561,22115,6.1
2010,Jun,71.0,66.6,359582,337664,21918,6.1
2010,Jul,70.9,66.6,359413,337695,21718,6.0
2010,Aug,70.8,66.6,359276,337710,21566,6.0
2010,Sep,70.8,66.5,359252,337779,21473,6.0
2010,Oct,70.7,66.5,359347,337959,21388,6.0
2010,Nov,70.7,66.5,359482,338211,21271,5.9
2010,Dec,70.7,66.5,359583,338459,21124,5.9
2011,Jan,70.7,66.5,359600,338684,20916,5.8
2011,Feb,70.6,66.6,359462,338839,20623,5.7
2011,Mar,70.5,66.5,359114,338856,20258,5.6
2011,Apr,70.4,66.5,358632,338757,19875,5.5
2011,May,70.2,66.4,358156,338583,19573,5.5
2011,Jun,70.1,66.3,357806,338394,19412,5.4
2011,Jul,70.0,66.3,357628,338273,19355,5.4
2011,Aug,70.0,66.2,357560,338229,19331,5.4
2011,Sep,70.0,66.2,357501,338220,19281,5.4
2011,Oct,70.0,66.2,357373,338215,19158,5.4
2011,Nov,69.9,66.2,357092,338179,18913,5.3
2011,Dec,69.8,66.2,356626,338085,18541,5.2
2012,Jan,69.7,66.1,356060,337924,18136,5.1
2012,Feb,69.6,66.1,355564,337735,17829,5.0
2012,Mar,69.5,66.1,355263,337573,17690,5.0
2012,Apr,69.5,66.0,355193,337472,17721,5.0
2012,May,69.5,66.0,355266,337429,17837,5.0
2012,Jun,69.5,66.0,355347,337423,17924,5.0
2012,Jul,69.5,66.0,355337,337423,17914,5.0
2012,Aug,69.5,66.0,355150,337388,17762,5.0
2012,Sep,69.4,65.9,354731,337260,17471,4.9
2012,Oct,69.2,65.9,354098,337000,17098,4.8
2012,Nov,69.0,65.8,353371,336655,16716,4.7
2012,Dec,68.9,65.7,352681,336295,16386,4.6
2013,Jan,68.8,65.6,352098,335962,16136,4.6
2013,Feb,68.7,65.6,351601,335640,15961,4.5
2013,Mar,68.6,65.5,351208,335359,15849,4.5
2013,Apr,68.5,65.4,350902,335131,15771,4.5
2013,May,68.5,65.4,350653,334953,15700,4.5
2013,Jun,68.4,65.3,350450,334828,15622,4.5
